"term","definition","contextual_explanation"
"SA","Semaines d'aménorrhée (âge gestationnel)","Le document indique une moyenne de 40 SA pour l'adaptation à la vie extra-utérine, avec un seuil moyennement accepté à 37 SA."
"surfactant","Substance tensio-active libérée dans la lumière alvéolaire par les pneumocytes de type II","Le surfactant aide les alvéoles à ne pas se collaber (propriétés tensio-actives). Il peut être détruit par l'asphyxie périnatale ou l'infection néonatale bactérienne."
"pneumocytes de type II","Cellules de la paroi alvéolaire responsables de la libération du surfactant","Dans le document, les pneumocytes de type II libèrent massivement le surfactant dans la lumière alvéolaire à la naissance."
"asphyxie périnatale","Manque d'oxygène survenant pendant la période péri-natale","C'est un phénomène pouvant détruire le surfactant, selon le document."
"infection néonatale bactérienne","Infection bactérienne chez le nouveau-né","L'inflammation associée à cette infection détruit le surfactant, comme mentionné dans le document."
"prématurité","Naissance avant 37 SA","L'évacuation du liquide pulmonaire est ralentie en cas de prématurité."
"césarienne","Accouchement par voie abdominale","Les enfants nés par césarienne ont un ralentissement de l'évacuation du liquide pulmonaire."
"foramen ovale","Shunt fœtal également appelé trou de Botale","Fait partie des 3 shunts de la circulation fœtale. Se ferme après la naissance par l'effet de l'aération alvéolaire (pression OG > OD)."
"canal artériel","Shunt fœtal (CA)","Sa fermeture définitive est provoquée par l'augmentation de la pression systémique et l'apport de sang oxygéné entraînant une vasoconstriction."
"canal d'Arantius","Shunt fœtal également appelé ductus venosus","Se ferme après clampage du cordon par disparition du retour veineux ombilical, au niveau du foie."
"ductus venosus","Autre nom du canal d'Arantius","Terme utilisé en parallèle dans le document pour désigner le canal d'Arantius."
"ventricules gauche et droit","Cavités cardiaques fœtales","Le document précise un fonctionnement en parallèle des ventricules gauche et droit dans la circulation fœtale."
"clampage du cordon","Section et clampage du cordon ombilical à la naissance","Déclenche plusieurs phénomènes : disparition du retour veineux ombilical, fermeture du canal d'Arantius, et mobilisation des réserves glycogéniques."
"résistances pulmonaires","Opposition au flux sanguin dans les vaisseaux pulmonaires","L'aération alvéolaire diminue les résistances pulmonaires, contribuant à la fermeture du foramen ovale."
"pression OG > OD","Pression dans l'oreillette gauche supérieure à celle de l'oreillette droite","Conséquence de l'aération alvéolaire, entraînant la fermeture du foramen ovale."
"vasoconstriction","Rétrécissement des vaisseaux sanguins","L'apport de sang oxygéné au niveau du canal artériel provoque une vasoconstriction, menant à sa fermeture définitive."
"thermogenèse","Production de chaleur","En post-natal, la thermogenèse se fait par lipolyse de la graisse, selon le document."
"lipolyse","Dégradation des lipides (graisses)","Mécanisme de production de chaleur chez le nouveau-né en post-natal."
"hypothermie","Température corporelle anormalement basse","Le document mentionne un risque d'hypothermie chez le nouveau-né en post-natal."
"conduction","Mécanisme de perte thermique par contact direct","La conduction dépend de la différence de température entre la peau du nouveau-né et la surface sur laquelle il est posé."
"convection","Mécanisme de perte thermique par l'air circulant","La convection dépend du gradient de température entre la peau du nouveau-né et l'air circulant autour de lui."
"radiation","Mécanisme de perte thermique par échange avec l'environnement","La radiation correspond à l'échange de chaleur avec les parois froides de l'environnement."
"évaporation","Mécanisme de perte thermique par vaporisation","L'évaporation se fait essentiellement par voie respiratoire et cutanée chez le nouveau-né."
"glycogène","Forme de stockage du glucose","Les réserves en glycogène sont mobilisées après clampage du cordon pour maintenir la glycémie."
"glucagon","Hormone hyperglycémiante","Le document mentionne l'équilibre entre glucagon et insuline dans la régulation glycémique."
"insuline","Hormone hypoglycémiante","Joue un rôle dans l'équilibre glucagon/insuline pour la régulation glycémique du nouveau-né."
"glycémie","Taux de glucose sanguin","Le nouveau-né à terme maintient une glycémie > 0,4 g/l (2,3 mmol/l) après clampage. Elle chute à 1 h puis se normalise à 4-6 h."
"glycogénolyse","Dégradation du glycogène en glucose","Mécanisme permettant la normalisation de la glycémie 4 à 6 heures après la naissance."
"néoglucogenèse","Synthèse de glucose à partir de précurseurs non glucidiques","Avec la glycogénolyse, permet la normalisation glycémique, relayée par une alimentation précoce."
"motricité intestinale","Mouvements de l'intestin","Avant 31 SA, très désordonnée ; à >34 SA, harmonieuse et efficace. La motricité postprandiale est détectable à partir de 31 SA."
"succion-déglutition","Coordination de la succion et de la déglutition","Mature à 34-36 SA, permettant la tétée."
"tétée","Action de téter","Rendue possible par la maturité de la succion-déglutition à 34-36 SA."
