"front","back","cognitive_level"
"À quel moment le diagnostic de grossesse est-il le plus souvent posé ?","Dans le courant du 2ème mois (entre 6 et 10 semaines d’aménorrhée).","Recall"
"Quel est le premier signe d’appel à l’interrogatoire évoquant une grossesse ?","La notion d’aménorrhée (absence de règles).","Recall"
"Citez quatre signes sympathiques de grossesse.","Nausées, vomissements, somnolence.","Recall"
"Quel est l’aspect des seins à l’examen clinique lors d’une grossesse ?","Seins tendus et sensibles (imprégnation hormonale).","Recall"
"Quel est l’aspect du col au spéculum lors d’une grossesse ?","Col bleu violacé (couleur du lilas).","Recall"
"Quel aspect des glaires cervicales retrouve-t-on au spéculum ?","Glaire coagulée.","Recall"
"Quel est l’aspect de l’utérus au toucher vaginal combiné au palper abdominal ?","Utérus augmenté de volume, globuleux, mou. Col fermé et mou.","Recall"
"Qu’est-ce que le signe de HEGAR ?","Signe clinique de grossesse : isthme très souple permettant de noter la séparation du col et du fond utérin (corps).","Recall"
"Quelle anomalie biologique physiologique peut être observée sur l’hémogramme d’une femme enceinte ?","Hyperleucocytose physiologique de la grossesse (PNN – polynucléaires neutrophiles) ne dépassant pas 15 000.","Recall"
"À partir de quand le dosage quantitatif de la β-hCG plasmatique devient-il positif ?","Dès le 10ème jour après la fécondation.","Recall"
"Quelle est la cinétique de la β-hCG en début de grossesse ?","Elle double toutes les 48 heures.","Recall"
"À partir de quand le test urinaire qualitatif de β-hCG devient-il positif ?","Dès le 4ème jour de retard des règles.","Recall"
"À quelle semaine d’aménorrhée le sac endo-utérin est-il visible en échographie endovaginale ?","Dès la 5ème semaine d’aménorrhée.","Recall"
"Quelles sont les conditions techniques pour réaliser une échographie endovaginale ?","Vessie et rectum vides.","Recall"
"À quelle semaine d’aménorrhée le sac endo-utérin est-il visible en échographie sus-pubienne ?","Dès la 7ème semaine d’aménorrhée.","Recall"
"Quelle est la condition technique pour une échographie pelvienne par voie sus-pubienne ?","Vessie pleine.","Recall"
"Quels sont les trois diagnostics différentiels des saignements inhabituels chez une femme suspecte de grossesse ?","1) GEU (grossesse extra-utérine). 2) Môle hydatiforme. 3) Causes locales ou cervicales (cervicite, endométrite).","Recall"
"Quels signes cliniques orientent vers une môle hydatiforme ?","Exagération des signes sympathiques de la grossesse (nausées, vomissements plus intenses que la normale).","Recall"
"Quel examen biologique élimine formellement une grossesse devant des saignements inhabituels ?","Un test HCG négatif élimine à 100 % une grossesse.","Recall"
"Quels examens paracliniques confirment le diagnostic de grossesse ?","Dosage de la β-hCG (plasmatique quantitatif ou urinaire qualitatif) et échographie (endovaginale ou sus-pubienne).","Recall"
"À l’examen clinique, quel signe retrouve-t-on parfois au niveau de l’état général ?","Bon état général, parfois état subfébrile.","Recall"
"Comment décrit-on la mobilité de l’utérus par rapport au col lors du TV combiné au palper abdominal ?","Mobilisation facile vers l’avant du corps utérin par la main abdominale par rapport au col.","Recall"
"Le diagnostic de grossesse repose sur quels types d’éléments ?","Éléments cliniques et/ou paracliniques.","Recall"
"Quelle est la limite supérieure normale de l’hyperleucocytose physiologique de grossesse ?","Ne dépasse pas les 15 000.","Recall"
"Quelle est la valeur du test HCG négatif dans le diagnostic différentiel ?","Un HCG négatif élimine à 100 % une grossesse.","Application"
