question, option1, option2, option3, option4, answer, explanation, difficulty
"À quel moment de la grossesse le diagnostic est-il le plus souvent posé ?", "Entre 4 et 6 SA", "Entre 6 et 10 SA", "Entre 10 et 12 SA", "Après 12 SA", "2", "Le document : 'Se fait le plus souvent dans le courant du 2ème mois (entre 6 et 10 SA)'", "Easy"
"Quel est le signe clinique majeur à l'interrogatoire évoquant une grossesse ?", "Mastodynie", "Notion d'aménorrhée", "Nausées", "Somnolence", "2", "Le document : 'Notion d'aménorrhée' comme premier signe", "Easy"
"Quel signe clinique au spéculum est évocateur d'une grossesse ?", "Col pâle", "Col bleu violacé (couleur du lilas)", "Col ouvert", "Col ulcéré", "2", "Le document : 'Col bleu violacé (couleur du lilas)'", "Easy"
"Quel est le signe de HEGAR ?", "Ramollissement du col", "Séparation facile du col et du fond utérin par un isthme très souple", "Utérus globuleux", "Mobilisation utérine douloureuse", "2", "Le document : 'Si isthme très souple : on note bien la séparation du col et du fond utérin (corps) : signe de HEGAR'", "Easy"
"À partir de quel jour après la fécondation la β-HCG plasmatique devient-elle positive ?", "5ème jour", "10ème jour", "15ème jour", "20ème jour", "2", "Le document : 'Bêta-HCG plasmatique quantitatif : positif dès 10ème jour après fécondation'", "Easy"
"Quel est le délai de doublement de la β-HCG plasmatique en début de grossesse normale ?", "24h", "48h", "72h", "96h", "2", "Le document : 'double en 48h'", "Easy"
"À partir de quel retard des règles la β-HCG urinaire qualitative devient-elle positive ?", "1er jour de retard", "4ème jour de retard des règles", "1 semaine de retard", "2 semaines de retard", "2", "Le document : 'Bêta-HCG urinaire qualitatif : positif dès 4ème jour de retard des règles'", "Easy"
"À quelle semaine le sac endo-utérin est-il visible par échographie endovaginale ?", "4ème semaine", "5ème semaine", "6ème semaine", "7ème semaine", "2", "Le document : 'Echographie endovaginale : Sac endo-utérin dès la 5ème semaine'", "Easy"
"À quelle semaine le sac endo-utérin est-il visible par échographie sus-pubienne ?", "5ème semaine", "6ème semaine", "7ème semaine", "8ème semaine", "3", "Le document : 'Echographie pelvienne par voie sus-pubienne : Sac endo-utérin dès la 7ème semaine'", "Easy"
"Quelle est la condition pour réaliser une échographie endovaginale ?", "Vessie pleine", "Vessie et rectum vides", "Rectum plein", "Vessie demi-pleine", "2", "Le document : 'Echographie endovaginale : Vessie et rectum vide'", "Easy"
"Quelle est la condition pour réaliser une échographie sus-pubienne ?", "Vessie vide", "Vessie pleine", "Rectum plein", "Aucune préparation", "2", "Le document : 'Echographie pelvienne par voie sus-pubienne : Vessie pleine'", "Easy"
"Quel est le signe clinique mammaire de grossesse ?", "Seins hypotrophiques", "Seins tendus et sensibles", "Galactorrhée", "Seins atrophiques", "2", "Le document : 'Seins tendus et sensibles (imprégnation hormonale)'", "Easy"
"Quel est l'aspect de l'utérus au toucher vaginal en début de grossesse ?", "Utérus dur et rétroversé", "Utérus augmenté de volume, globuleux, mou", "Utérus atrophique", "Utérus en position haute", "2", "Le document : 'Utérus augmenté de volume, globuleux, mou'", "Easy"
"L'examen au spéculum précède toujours :", "L'échographie", "Le toucher pelvien", "Le dosage HCG", "La palpation abdominale", "2", "Le document : 'A l'examen au spéculum : (précède toujours le toucher pelvien)'", "Easy"
"Quel est l'aspect de la glaire cervicale en début de grossesse ?", "Claire et filante", "Glaire coagulée", "Purulente", "Absente", "2", "Le document : 'Glaire coagulée'", "Easy"
