"term","definition","contextual_explanation"
"larynx","Organe de la voie aérienne supérieure divisé en trois étages (sus-glottique, glottique, sous-glottique)","Le document traite des tumeurs malignes intéressant les trois étages du larynx."
"laryngite chronique","Inflammation prolongée du larynx","Le cancer du larynx est le plus souvent dû à une dégénérescence d’une laryngite chronique."
"tabagisme","Consommation de tabac","Facteur favorisant majeur du cancer du larynx, associé à l’abus d’alcool."
"abus de boisson alcoolisée","Consommation excessive d’alcool","Facteur favorisant associé au tabac dans le cancer du larynx."
"facteurs professionnels","Expositions en milieu de travail","Acide sulfurique, amiante, formaldéhyde, poussières textiles, poussières de charbon sont cités."
"maladies autosomiques récessives","Maladies génétiques transmises sur les chromosomes non sexuels, nécessitant deux allèles mutés","Exemples donnés : anémie sidéropénique, anémie de Fanconi."
"fragilité chromosomique","Anomalies structurelles des chromosomes prédisposant au cancer","Observée dans les syndromes génétiques listés (Werner, Lynch, Li-Fraumeni)."
"virus Herpès Simplex","Virus à ADN responsable d’infections herpétiques","Facteur viral favorisant possible du cancer du larynx."
"papillomavirus humain (HPV)","Virus à ADN associé à certains cancers ORL","Facteur viral favorisant possible."
"RGO","Reflux gastro-œsophagien","Facteur favorisant du cancer du larynx, cité avec carence vitaminique et traumatisme vocal chronique."
"irradiation cervicale antérieure","Radiothérapie antérieure du cou","Peut causer un cancer radio-induit du larynx."
"carcinome épidermoïde","Cancer malin développé aux dépens de l’épithélium malpighien","Forme classique, 90% des tumeurs laryngées."
"carcinome verruqueux","Variété de carcinome épidermoïde","Papillome à large base d’implantation, localement agressif, ne donne pas de métastase à distance."
"carcinome à cellule fusiforme","Variété rare de carcinome","Tumeur d’aspect polypoïde, haut risque métastatique, siège surtout glottique."
"adénocarcinome","Tumeur maligne développée aux dépens d’un épithélium glandulaire","Représente <2% des cancers du larynx."
"carcinome adénoïde kystique","Tumeur maligne rare des glandes salivaires accessoires","Localisation possible au larynx."
"tumeur mucoépidermoïde","Tumeur maligne mixte","Citée parmi les tumeurs rares du larynx."
"lymphome","Cancer du tissu lymphoïde","Localisation possible au larynx."
"plasmocytome","Tumeur maligne des plasmocytes","Localisation laryngée possible."
