"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quel est le pourcentage des cancers du larynx chez l''homme ?","1%","3%","5%","10%","2","Le document indique : ''3% des cancers chez l''homme''","Easy"
"Quel est le pronostic global à 5 ans du cancer du larynx ?","30%","40%","50%","60%","3","Le document précise : ''Pronostic global à 5 ans : 50%''","Easy"
"Quel est le type histologique le plus fréquent du cancer du larynx ?","Adénocarcinome","Carcinome à cellules fusiformes","Carcinome verruqueux","Carcinome épidermoïde","4","Le document indique : ''Carcinome épidermoïde : Forme classique, 90% des tumeurs laryngées''","Easy"
"Quel est le pourcentage des adénocarcinomes dans les cancers du larynx ?","Moins de 2%","5%","10%","15%","1","Le document précise : ''Adénocarcinome : < 2% des cancers du larynx''","Easy"
"Quel examen est considéré comme l''examen spécifique pour le bilan lésionnel ?","IRM","TEP-scan","Tomodensitométrie","Échographie cervicale","3","Le document indique : ''Tomodensitométrie (examen spécifique)''","Easy"
"Quelle est la définition du Tis dans la classification TNM ?","Tumeur non détectable","Carcinome in situ","Tumeur primitive non évaluable","Métastase","2","Le document précise : ''Tis : carcinome in situ''","Easy"
"Quel est le premier signe de découverte du cancer du larynx le plus fréquent ?","Dysphagie","Dyspnée","Dysphonie chronique","Toux sèche","3","Le document indique : ''Signes de découverte : Dysphonie chronique (> 2 mois)''","Easy"
"Quel est le siège le plus fréquent du carcinome à cellules fusiformes ?","Étage supra-glottique","Glotte","Étage infra-glottique","Commissure antérieure","2","Le document précise : ''Carcinome à cellule fusiforme : Siège le plus souvent au niveau de la glotte''","Easy"
"Dans quel étage du larynx le réseau lymphatique est-il quasi-inexistant ?","Sus-glottique","Glottique","Sous-glottique","Tous les étages","2","Le document indique : ''Etage glottique : Réseau lymphatique quasi-inexistant''","Easy"
"Quelle est la taille maximale d''un ganglion N1 dans la classification TNM ?","≤ 2 cm","≤ 3 cm","≤ 4 cm","≤ 5 cm","2","Le document précise : ''N1 : ganglion homolatéral ≤ 3 cm''","Easy"
"Quelles sont les deux principales localisations des adénopathies cervicales les plus proches du larynx ?","Aires I et III","Aires II et IV","Aires III et V","Aires I et VI","2","Le document indique : ''Adénopathies cervicales des aires II et IV (plus proches du larynx)''","Easy"
"Quel type de tumeur maligne du larynx ne donne pas de métastases à distance ?","Carcinome épidermoïde classique","Carcinome à cellules fusiformes","Carcinome verruqueux","Adénocarcinome","3","Le document précise : ''Carcinome verruqueux : Ne donne pas de métastase à distance''","Easy"
"Quel examen est réalisé sous anesthésie générale avec biopsie ?","Laryngoscopie indirecte","Nasofibrolaryngoscopie","Laryngoscopie directe en suspension","Tomodensitométrie","3","Le document indique : ''Laryngoscopie directe en suspension (LDS) sous AG avec biopsie +++''","Easy"
"Quelle est la durée minimale de dysphonie considérée comme suspecte ?","> 1 semaine","> 1 mois","> 2 mois","> 3 mois","3","Le document précise : ''Dysphonie chronique (> 2 mois)''","Easy"
"Quel virus n''est PAS mentionné comme facteur favorisant du cancer du larynx ?","Virus Herpès Simplex","Papillomavirus humain","Virus d''Epstein-Barr","Aucun des trois","3","Le document mentionne : ''Les virus : Virus Herpès Simplex, papillomavirus humain'' – EBV n''est pas cité","Easy"
"Quel est l''âge de prédominance masculine pour le cancer du larynx ?","25-40 ans","35-55 ans","45-70 ans","55-80 ans","3","Le document indique : ''Prédominance masculine, 45-70 ans''","Easy"
