"front","back","cognitive_level"
"Quelle est la définition du cancer du larynx selon le document ?","Ce sont des tumeurs malignes intéressant les trois étages du larynx, le plus souvent dues à une dégénérescence d’une laryngite chronique.","Recall"
"Quels sont les deux principaux facteurs de risque du cancer du larynx ?","Tabac et alcool.","Recall"
"Quel est le pourcentage de cancers du larynx chez l’homme et le pronostic global à 5 ans ?","3% des cancers chez l’homme. Pronostic global à 5 ans : 50%.","Recall"
"Quels sont les trois types de carcinome épidermoïde du larynx décrits ?","1) Forme classique (90% des tumeurs laryngées). 2) Carcinome verruqueux (papillome à large base, localement agressif, pas de métastase à distance). 3) Carcinome à cellule fusiforme (tumeur d’aspect polypoïde, haut risque métastatique, siège surtout glottique).","Understanding"
"Pourquoi recherche-t-on systématiquement une deuxième localisation cancéreuse au niveau des VADS ?","Parce que les muqueuses ORL ont la même structure et sont exposées aux mêmes facteurs de risque (tabac, alcool).","Application"
"Classez les signes de découverte du cancer du larynx selon le document.","1) Dysphonie chronique (> 2 mois). 2) Dysphagie (selon le site). 3) Dyspnée laryngée (bradypnée inspiratoire).","Recall"
"Quel examen est l’examen de référence pour le diagnostic de certitude du cancer du larynx et pourquoi ?","La laryngoscopie directe en suspension (LDS) sous anesthésie générale avec biopsie +++, car elle permet de prélever un fragment tumoral pour analyse histologique.","Application"
"Quelles sont les aires ganglionnaires cervicales les plus proches du larynx ?","Les aires II et IV.","Recall"
"Quels sont les trois moyens diagnostiques décrits pour visualiser le larynx ?","1) Laryngoscopie indirecte. 2) Nasofibrolaryngoscopie. 3) Laryngoscopie directe en suspension (LDS) sous AG avec biopsie.","Recall"
"En imagerie, quel examen est dit « spécifique » pour le bilan lésionnel ?","La tomodensitométrie (sans puis avec injection de produit de contraste, entre le cavum et le médiastin supérieur).","Recall"
"À quoi sert la Tomographie par Émission de Positons (TEP) dans le cancer du larynx ?","1) Détection précoce des métastases ganglionnaires. 2) Détection précoce des récidives après traitement.","Understanding"
"Selon le document, pourquoi l’étage glottique donne-t-il rarement des métastases ganglionnaires ?","Parce que l’étage glottique possède un réseau lymphatique quasi-inexistant. En cas d’atteinte de la commissure antérieure, on peut trouver un ganglion prélaryngé.","Understanding"
