"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Qu'est-ce que l'entérocolite ulcéro-nécrosante (ECUN) ?","Une infection virale bénigne du tube digestif","Un processus inflammatoire excessif de la muqueuse intestinale provoquant une nécrose intestinale et une atteinte généralisée","Une malformation congénitale de l'intestin","Une maladie auto-immune du côlon","2","Le document : 'L’ECUN est caractérisé par un processus inflammatoire excessif qui débute au sein de la muqueuse intestinale provoquant une nécrose intestinale et une atteinte généralisée multi-systémique'.","Easy"
"Quelle est la prévalence de l'ECUN chez les nouveau-nés ?","0,3 - 2,4 % des naissances","5 - 10 % des naissances","0,1 - 0,5 % des naissances","10 - 15 % des naissances","1","Le document : '0,3 - 2,4 % naissances'.","Easy"
"Quel est le pourcentage de prématurés parmi les cas d'ECUN ?","50%","70%","90%","95%","3","Le document : '90% sont des prématurés'.","Easy"
"Quel est un facteur de risque chez le prématuré pour l'ECUN ?","Motilité intestinale rapide","Motilité intestinale et péristaltisme lents et immatures","Flore intestinale très développée","Défenses immunitaires matures","2","Le document : 'Les prématurés sont à risque d’ECN : Motilité intestinale et péristaltisme lente, immature'.","Easy"
"Quel signe digestif est typique de l'ECUN ?","Diarrhée aqueuse","Hématochézie (sang frais dans les selles)","Constipation","Stéatorrhée","2","Le document : 'Hématochézie : sang frais dans les selles'.","Easy"
"Quel examen d'imagerie confirme le diagnostic d'ECUN ?","IRM abdominale","Radiographie et échographie montrant une pneumatose ou aéroportie","Scanner avec injection","Échographie Doppler","2","Le document : 'Diagnostic confirmé par l’imagerie médicale (radiographie et échographie) : Pneumatose : bulles d’air dans la paroi intestinale ; Aéroportie : bulles d’air dans les espaces portes'.","Easy"
"Quel est le pourcentage de prématurés de moins de 1500g touchés par l'ECUN ?","0,5-15%","15-30%","30-50%","50-70%","1","Le document : '0,5-15% des prématurés < 1500g'.","Medium"
"Quel signe systémique est observé dans l'ECUN ?","Altération de la coloration des téguments (gris-pâle 'teint d’infecté')","Péristaltisme visible","Ictère","Éruption cutanée","1","Le document le cite parmi les signes systémiques.","Medium"
"Quel est l'aspect des vomissements dans les formes sévères d'ECUN ?","Clairs","Alimentaires non digérés","Rouge puis jaune puis verts, sanglants, voire fécaloïdes","Bilieux d'emblée","3","Le document : 'Régurgitation de plus en plus volumineuse, rouge puis jaune puis verts, sanglants, voire fécaloïdes'.","Medium"
"Quel trouble métabolique peut être observé dans les examens de laboratoire ?","Hyperglycémie","Hypoglycémie","Alcalose métabolique","Hypercalcémie","1","Le document : 'Gaz, électrolytes et glycémie (acidose, hyperglycémie, troubles électrolytiques)'.","Medium"
"Quelle anomalie hématologique est fréquente dans l'ECUN ?","Polyglobulie","Thrombopénie","Leucocytose","Lymphocytose","2","Le document : 'NFS (thrombopénie, neutropénie, anémie)'.","Medium"
"Quelle complication de l'ECUN est une urgence chirurgicale ?","Péritonite","Hémorragie digestive","Occlusion intestinale","Invagination","1","Le document : 'Dégradation clinique parfois très rapide : “abdomen aigu”, Péritonite'.","Medium"
"Un nouveau-né prématuré développe un ballonnement abdominal, des vomissements bilieux, du sang dans les selles. Quel est le diagnostic le plus probable ?","Maladie de Hirschsprung","ECUN","Atteinte cœliaque","RGO","2","Le document décrit ce tableau.","Difficult"
"Quel signe radiologique spécifique de l'ECUN est caractérisé par des bulles d'air dans la paroi intestinale ?","Aéroportie","Pneumatose intestinale","Ascite","Iléus","2","Le document : 'Pneumatose : bulles d’air dans la paroi intestinale'.","Difficult"
"Quel est le risque de supprimer l'alimentation entérale chez le prématuré par crainte d'ECUN ?","Aucun risque","Insuffisance des apports nutritionnels","Guérison spontanée","Réduction des infections","2","Le document : 'Craintes d’ECN -> suppression de l’introduction de l’alimentation entérale -> Insuffisance des apports nutritionnels'.","Difficult"
"Quel est le pronostic de l'ECUN en cas de défaillance multi-systémique ?","Guérison sans séquelle","Décès","Hospitalisation prolongée simple","Récupération complète","2","Le document : 'Défaillance multi-systémique -> Décès'.","Difficult"
