"term","definition","contextual_explanation"
"entérocolite ulcéro-nécrosante (ECUN)","Processus inflammatoire excessif débutant au sein de la muqueuse intestinale provoquant une nécrose intestinale et une atteinte généralisée multi-systémique.","Une des maladies les plus dévastatrices et difficiles à éradiquer. Première urgence chirurgicale néonatale. 90% des cas sont des prématurés."
"prématuré","Nouveau-né né avant 37 semaines d’aménorrhée.","Les prématurés sont à risque d’ECUN en raison de l’immaturité de la motilité intestinale, des fonctions digestives, des défenses immunitaires, de la flore, de la muqueuse et de la circulation sanguine."
"alimentation entérale","Nutrition administrée par voie digestive (orale ou par sonde).","L’alimentation entérale peut favoriser le développement de l’ECUN. La crainte de l’ECUN conduit à la suppression ou au ralentissement de l’alimentation entérale, entraînant une insuffisance des apports nutritionnels."
"pneumatose","Présence de bulles d’air dans la paroi intestinale.","Signe radiologique et échographique caractéristique de l’ECUN, confirmant le diagnostic."
"aéroportie","Présence de bulles d’air dans les espaces portes du foie.","Signe radiologique et échographique de l’ECUN."
"hématochézie","Émission de sang frais (rouge) dans les selles.","Signe digestif de l’ECUN."
"abdomen aigu","Tableau clinique de douleur abdominale sévère, défense, contracture, signe d’irritation péritonéale.","Forme évolutive rapide de l’ECUN, pouvant conduire à la péritonite."
"péritonite","Inflammation du péritoine, souvent secondaire à une perforation intestinale.","Complication de l’ECUN."
"défaillance multi-systémique","Insuffisance simultanée de plusieurs organes (cardiaque, respiratoire, rénal, etc.).","Complication grave de l’ECUN pouvant aboutir au décès."
"thrombopénie","Diminution du nombre de plaquettes sanguines.","Anomalie biologique observée à la NFS dans l’ECUN."
"neutropénie","Diminution du nombre de polynucléaires neutrophiles.","Anomalie biologique observée à la NFS."
"CIVD","Coagulation intravasculaire disséminée.","Complication hématologique de l’ECUN, recherchée par les tests de coagulation."
"ascite exsudative","Présence de liquide inflammatoire dans la cavité péritonéale.","Signe échographique de l’ECUN, de petite quantité mais exsudative."
"hémoculture","Prélèvement sanguin pour recherche de bactéries, virus ou levures.","Examen clé pour identifier l’agent infectieux potentiel dans l’ECUN."
"coproculture","Prélèvement de selles pour recherche de bactéries, virus ou levures.","Examen complémentaire pour identifier l’agent infectieux."
"CRP","Protéine C réactive, marqueur de l’inflammation.","Élevée dans l’ECUN, surveillée régulièrement."
"gaz du sang","Mesure des gaz sanguins (pH, PaO2, PaCO2, HCO3-, lactates).","Permet de détecter une acidose métabolique dans l’ECUN."
"hyperglycémie","Taux de glucose sanguin anormalement élevé.","Signe systémique de l’ECUN."
"apnées","Arrêts temporaires de la respiration.","Signe systémique de l’ECUN."
"bradycardies","Ralentissement anormal de la fréquence cardiaque.","Signe systémique de l’ECUN."
"léthargie","État de somnolence anormal, difficulté à éveiller l’enfant.","Signe systémique de l’ECUN."
"teint d’infecté","Coloration gris-pâle des téguments.","Signe systémique de l’ECUN."
"ballonnement abdominal","Distension de l’abdomen par des gaz ou du liquide.","Signe digestif de l’ECUN."
"régurgitation fécaloïde","Régurgitation ayant l’aspect et l’odeur des selles.","Signe d’occlusion intestinale haute, stade avancé de l’ECUN."
