"term","definition","contextual_explanation"
"coma","Altération aiguë de la conscience avec disparition des activités de veille, sans ouverture spontanée des yeux, sans réveil possible.","Urgence médicale et parfois chirurgicale. Défini par un score de Glasgow pédiatrique < 8 ou Blantyre < 3."
"FRAA","Formation réticulée activatrice ascendante. Structure nerveuse du tronc cérébral s’étendant du bulbe au mésencéphale, qui active le cortex pour maintenir la vigilance.","Toute cause de coma perturbe le fonctionnement de la FRAA ou du cortex."
"HTIC","Hypertension intracrânienne.","Complication fréquente du coma, responsable d’une diminution de la perfusion sanguine cérébrale. Tout coma non métabolique ou toxique doit être suspecté d’HTIC."
"engagement","Complication de l’HTIC : déplacement des structures cérébrales.","Se manifeste par une limitation de la rotation passive de la tête, syndrome pyramidal, signes de focalisation, mydriase."
"score de Glasgow pédiatrique","Score évaluant la profondeur du coma chez l’enfant (réponse oculaire, verbale, motrice).","< 8 = coma ; < 12 = coma (autre source : le document indique <12 = coma, <8 = coma profond)."
"score de Blantyre","Score de coma pédiatrique utilisé dans les pays à ressources limitées (notamment paludisme).","< 3 définit le coma."
"décortication","Posture anormale : flexion des membres supérieurs, extension des inférieurs.","Signe de souffrance hémisphérique étendue."
"décérébration","Posture anormale : extension des quatre membres.","Signe de souffrance interne de la partie haute du tronc cérébral."
"mydriase","Dilatation anormale et fixe des pupilles.","Mydriase bilatérale évoque un engagement temporal."
"myosis","Constriction anormale des pupilles.","Évoque une cause métabolique ou toxique."
"phénomène des yeux en coucher de soleil","Signe clinique : les yeux sont déviés vers le bas, l’iris est partiellement caché par la paupière inférieure.","Signe d’HTIC chez le nourrisson."
"bombement de la fontanelle antérieure","Saillie anormale de la fontanelle.","Signe d’HTIC chez le nourrisson."
"disjonction des sutures","Élargissement anormal des sutures crâniennes.","Signe d’HTIC chronique ou aiguë chez le jeune enfant."
"hypotonie latéralisée","Diminution du tonus musculaire d’un seul côté du corps.","Évoque une hémiplégie (lésion cérébrale focalisée)."
"hypotonie généralisée","Diminution du tonus musculaire de tout le corps.","Observée dans les comas toxiques, métaboliques et les comas profonds."
"hypertonie extrapyramidale","Augmentation anormale du tonus musculaire de type extra-pyramidal (rigidité).","Observée dans les encéphalopathies hépatiques, intoxications au CO et aux neuroleptiques."
"astérixis","Tremblement de type « battement d’aile » (perte brutale du tonus des extenseurs).","Mouvement anormal observé dans certaines encéphalopathies métaboliques."
"clonies","Secousses musculaires rythmiques.","Mouvements anormaux possibles lors de l’examen neurologique."
"myoclonies","Secousses musculaires brèves et involontaires.","Mouvements anormaux possibles."
"signe de Babinski","Réponse en extension du gros orteil à la stimulation de la plante du pied.","Unilatéral, il a une valeur localisatrice (lésion cérébrale focalisée)."
"ROT","Réflexes ostéotendineux.","Leur examen permet de déterminer une lésion focalisée cérébrale."
"haleine acétone","Odeur d’acétone dans l’haleine.","Évoque une cétose (diabète, jeûne prolongé)."
"haleine amande amère","Odeur d’amande amère.","Évoque une intoxication au cyanure."
"haleine ail","Odeur d’ail.","Évoque une intoxication à l’arsenic, au paraldéhyde ou au sélénium."
"anoxo-ischémie cérébrale","Arrêt ou insuffisance de l’apport d’oxygène au cerveau.","Causes : anomalies cardiaques, exposition aux fumées, noyade, strangulation, arrêt respiratoire, électrocution, souffrance fœtale aiguë."
"état de mal épileptique","Crise d’épilepsie prolongée (>5 min) ou crises répétées sans reprise de conscience.","Cause neurologique de coma."
"hyperammoniémie","Taux anormalement élevé d’ammoniac dans le sang.","Cause métabolique de coma (insuffisance hépatique, anomalies du cycle de l’urée)."
"encéphalopathie hépatique","Dysfonctionnement cérébral secondaire à une insuffisance hépatique.","Cause métabolique de coma."
"encéphalopathie urémique","Dysfonctionnement cérébral secondaire à une insuffisance rénale.","Cause métabolique de coma."
"hypoglycémie","Taux anormalement bas de glucose sanguin.","Cause métabolique fréquente de coma. Traitement : flash G10% 3 ml/kg."
"thrombophlébite cérébrale","Thrombose veineuse cérébrale.","Cause vasculaire de coma."
"hémorragie cérébrale","Saignement intra-parenchymateux cérébral.","Due à la rupture d’anévrismes ou de malformations vasculaires."
"infarctus cérébral","Nécrose du tissu cérébral par ischémie.","Cause vasculaire de coma."
"mutisme akinétique","État de veille apparente sans réponse verbale ni motrice.","Diagnostic différentiel du coma."
"syndrome de différenciation motrice","Conscience intacte mais tétraplégie et diplégie faciale, incapable de bouger ou parler.","Diagnostic différentiel du coma (locked-in syndrome)."
"hypersomnie","Somnolence anormale réversible aux stimulations.","Diagnostic différentiel du coma."
"PLS","Position latérale de sécurité.","Mesure initiale pour libérer les voies aériennes supérieures."
"IOT","Intubation orotrachéale.","Assurer la ventilation chez le patient comateux."
"monitoring","Surveillance continue des paramètres vitaux (ECG, PA, SpO2, etc.).","Recommandé en USI."
"mannitol","Osmothérapie utilisée pour traiter l’œdème cérébral.","Bolus de 5 à 10 minutes."
"naloxone","Antagoniste pur des récepteurs opiacés.","Antidote en cas de suspicion de coma toxique aux opiacés."
"flash G10%","Solution glucosée à 10% administrée en intraveineuse rapide.","Traitement de l’hypoglycémie : 3 ml/kg."
"C3G","Céphalosporine de troisième génération.","Antibiothérapie probabiliste dans le coma fébrile suspecté bactérien."
"aciclovir","Antiviral.","Traitement de l’encéphalite herpétique dans le coma fébrile."
"artésunate injectable","Antipaludéen de la famille des artémisinines.","Traitement du paludisme grave (coma fébrile)."
"USI","Unité de Soins Intensifs (réanimation).","Lieu d’hospitalisation de l’enfant comateux."
