question, option1, option2, option3, option4, answer, explanation, difficulty
"Quelle est la définition de l'aménorrhée primaire ?", "Absence de ménarche chez les filles > 14 ans", "Absence de ménarche chez les filles > 15 ans", "Absence de ménarche chez les filles > 16 ans", "Absence de ménarche chez les filles > 18 ans", "3", "Le document indique : 'Définition : absence de ménarche chez les filles > 16 ans'", "Easy"
"Quel signe fonctionnel oriente vers un syndrome de KALLMANN ?", "Céphalées", "Galactorrhée", "Anosmie", "Bouffées de chaleur", "3", "Le document : 'Anosmie (Syndrome de KALLMANN)'", "Easy"
"Les bouffées de chaleur dans l'aménorrhée primaire orientent vers quelle étiologie ?", "Hyperprolactinémie", "Insuffisance ovarienne primitive", "Syndrome de Turner", "Anorexie mentale", "2", "Le document : 'Bouffée de chaleur (insuffisance ovarienne primitive)'", "Easy"
"Quel est le premier geste diagnostique devant une aménorrhée primaire ?", "Dosage de la FSH", "Radiographie du poignet", "Éliminer une grossesse", "Caryotype", "3", "Le document : 'Le premier geste est d'éliminer une grossesse'", "Easy"
"Le syndrome de Turner associe une dysgénésie gonadique à quel profil hormonal ?", "FSH et LH basses", "FSH et LH élevées", "Prolactine élevée", "Testostérone élevée", "2", "Le document : 'Causes ovariennes : FSH et LH élevées' pour syndrome de Turner", "Easy"
"Dans quelle pathologie trouve-t-on une galactorrhée associée à l'aménorrhée ?", "Syndrome de Turner", "Hyperprolactinémie", "Syndrome de KALLMANN", "Anorexie mentale", "2", "Le document : 'Hyperprolactinémie : tumorale ou non tumorale (aménorrhée + galactorrhée)'", "Easy"
"Quel examen permet d'évaluer l'âge osseux dans l'aménorrhée primaire ?", "IRM de l'hypophyse", "Radiographie du poignet gauche avec recherche du sésamoïde du pouce", "Echographie pelvienne", "Dosage de la 17-hydroxyprogestérone", "2", "Le document : 'Radiographie du poignet gauche avec recherche du sésamoïde du pouce (âge osseux)'", "Easy"
"Quel est le caryotype du syndrome de Moris ?", "46XX", "46XY", "45XO", "47XXY", "2", "Le document : 'Syndrome de Moris : 46XY'", "Easy"
"Quel est le stade de l'âge osseux qui oriente vers un retard pubertaire ?", "Âge osseux < 9 ans", "Âge osseux < 11 ans", "Âge osseux < 13 ans", "Âge osseux < 15 ans", "2", "Le document : 'Âge osseux < 11 ans : Retard pubertaire'", "Easy"
"Le syndrome de Rokotansk-Kuster-Hausser associe quelle anomalie ?", "Imperforation de l'hymen", "Aplasie vaginale et utérine", "Cloison vaginale transversale", "Synéchie utérine", "2", "Le document : 'Syndrome de Rokotansk-kuster-hausser : aplasie vaginale et utérine'", "Easy"
"Quel signe clinique oriente vers une insuffisance ovarienne primitive ?", "Galactorrhée", "Anosmie", "Bouffées de chaleur", "Céphalées", "3", "Le document : 'Bouffée de chaleur (insuffisance ovarienne primitive)'", "Easy"
"Dans quel type d'anomalie retrouve-t-on une douleur pelvienne cyclique ?", "Hyperprolactinémie", "Hématocolpos, hématométrie", "Syndrome de Turner", "Anorexie mentale", "2", "Le document : 'Douleur pelvienne cyclique (hématocolpos, hématométrie)'", "Easy"
"Pourquoi l'âge osseux est-il un élément clé dans la démarche diagnostique de l'aménorrhée primaire ?", "Car il permet de distinguer retard pubertaire des autres causes", "Car il remplace le dosage hormonal", "Car il est toujours pathologique", "Car il oriente vers une cause tumorale", "1", "Le document : 'Diagnostic étiologique en fonction de l'âge osseux et des caractères sexuels secondaires'", "Medium"
"Expliquez pourquoi une hyperprolactinémie peut entraîner une aménorrhée primaire.", "Car la prolactine élevée inhibe la sécrétion de GnRH, entraînant une baisse de FSH et LH", "Le document mentionne hyperprolactinémie comme cause hypothalamo-hypophysaire avec aménorrhée + galactorrhée – mécanisme inhibitrice sur l'axe gonadotrope", "Medium"
"Quel profil hormonal distingue une cause ovarienne d'une cause hypothalamo-hypophysaire dans l'aménorrhée primaire ?", "FSH/LH élevées dans cause ovarienne, FSH/LH basses dans cause hypothalamo-hypophysaire", "FSH/LH basses dans cause ovarienne, FSH/LH élevées dans cause hypothalamo-hypophysaire", "Prolactine basse dans les deux", "Testostérone élevée dans les deux", "1", "Le document : 'Causes ovariennes : FSH et LH élevées ; Causes hypothalamo-hypophysaire : FSH et LH basses'", "Medium"
"Pourquoi une imperforation de l'hymen peut-elle passer inaperçue jusqu'à l'adolescence ?", "Car les règles ne peuvent pas s'écouler, provoquant hématocolpos et douleurs cycliques sans ménarche visible", "Le document lie imperforation de l'hymen à douleur chronique, hématocolpos – pas de saignement extériorisé", "Medium"
"Quel est le rôle de l'échographie pelvienne 3D dans le bilan d'aménorrhée primaire ?", "Mesurer la longueur du corps et du col utérin pour évaluer l'imprégnation oestrogénique", "Le document : 'Mesure de la longueur du corps et du col utérin. Augmentation du rapport corps-col : témoin de sécrétion oestrogénique'", "Medium"
"Pourquoi ne pratique-t-on pas de toucher vaginal systématique chez une fille vierge explorée pour aménorrhée primaire ?", "Pour préserver l'intégrité de l'hymen", "Le document : 'Pas de TV si vierge'", "Easy"
"Le syndrome de KALLMANN associe anomalies olfactives à quel type de retard pubertaire ?", "Retard pubertaire par cause hypothalamique avec FSH/LH basses", "Le document classe syndrome de KALLMANN parmi causes hypothalamo-hypophysaire avec FSH/LH basses", "Medium"
"Quelle est la particularité du test au LH-RH dans le retard pubertaire idiopathique ?", "Il est positif, prouvant que l'axe est fonctionnel mais au repos", "Le document : 'Test au LH-RH (+) – Axe fonctionnel mais au repos'", "Medium"
"Quelle est la principale complication de l'imperforation de l'hymen non diagnostiquée ?", "Hématocolpos et douleur chronique", "Le document : 'Imperforation de l'hymen : douleur chronique, hématocolpos'", "Easy"
"La tuberculose génitale peut être responsable de quelle anomalie utérine ?", "Synéchie utérine", "Le document : 'Tuberculose génitale : responsable d'une synéchie utérine'", "Medium"
"Quel signe de virilisation oriente vers une hyperplasie congénitale des surrénales ?", "Hypertrophie clitoridienne avec organes génitaux normaux", "Le document : 'Hyperplasie congénitale des surrénales : organes génitaux normaux, hypertrophie clitoridienne'", "Medium"
"Pourquoi faut-il rechercher des antécédents de chimiothérapie ou radiothérapie dans l'interrogatoire ?", "Car ils peuvent entraîner des anomalies ovariennes acquises iatrogènes", "Le document liste 'Chimiothérapie, radiothérapie' parmi antécédents personnels", "Medium"
"Quelle est la signification clinique d'une augmentation du rapport corps-col utérin à l'échographie 3D ?", "Témoin d'une sécrétion oestrogénique normale", "Le document : 'Augmentation du rapport corps-col : témoin de sécrétion oestrogénique'", "Medium"
"Dans le syndrome de Moris, où peuvent se situer les testicules ?", "Au niveau de la région inguinale", "Le document : 'peut avoir des testicules au niveau de la région inguinale'", "Medium"
"Expliquez la démarche étiologique de l'aménorrhée primaire en fonction de l'âge osseux et des caractères sexuels secondaires.", "Âge osseux <11 ans = retard pubertaire ; >11 ans → selon caractères secondaires : absents (causes ovariennes ou HH), normaux (anomalies utéro-vaginales), virilisés (hyperplasie surrénale ou tumeur)", "Le document structure exactement cet algorithme diagnostique", "Difficult"
"Une patiente de 17 ans sans ménarche, avec des caractères sexuels secondaires normaux, des douleurs pelviennes cycliques, et un examen montrant une imperforation hyménéale avec hématocolpos. Justifiez l'absence de TV.", "La patiente est vierge et l'examen au speculum de vierge ou l'échographie suffit au diagnostic sans TV", "Le document impose 'Pas de TV si vierge' + l'imperforation est visible à l'inspection vulvaire et à l'échographie", "Difficult"
