"term","definition","contextual_explanation"
"hypoglycémie","Diminution anormale de la glycémie en dessous des seuils définis selon l’âge et le statut.","Fréquente en pédiatrie, risque de séquelles neurologiques si prolongée, surtout chez le nouveau-né et le nourrisson."
"glucose","Substrat énergétique majeur et principal des cellules.","Utilisation obligatoire pour cellules sanguines, moelle osseuse, médullaire rénale, nerfs périphériques et SNC."
"glycogénolyse","Dégradation du glycogène hépatique en glucose.","Survient en période intermédiaire (jeûne court de 4 à 16 heures)."
"néoglucogenèse","Synthèse de glucose à partir de précurseurs non glucidiques (acides aminés des muscles, lactate).","Survient en jeûne long, au niveau hépatique."
"cétogenèse","Production de corps cétoniques à partir des acides gras.","Se produit en jeûne long, permettant l’utilisation de corps cétoniques par certains tissus."
"glycogène","Forme de stockage du glucose, principalement dans le foie.","Les réserves se constituent pendant les 2 derniers mois de grossesse. La prématurité entraîne une absence de réserve."
"homéostasie du glucose","Maintien de la glycémie dans des limites normales.","Chez le nouveau-né, la section du cordon ombilical représente le premier jeûne alors que l’homéostasie n’est pas encore optimale."
"glycémie capillaire","Mesure rapide du glucose sanguin par piqûre au bout du doigt (glucomètre).","Seuils diagnostiques : enfant <2,8 mmol/l ; nouveau-né à terme symptomatique <2,2 ; asymptomatique <2,5 ; prématuré <1,7 mmol/l."
"SGH 10 %","Sérum glucosé hypertonique à 10 % de glucose.","Utilisé en bolus IV (2-4 ml/kg chez l’enfant, 2 ml/kg chez le nouveau-né) puis en perfusion continue pour corriger l’hypoglycémie."
"glucagon","Hormone hyperglycémiante libérant le glucose hépatique.","Utilisé par voie IM (0,5 mg si poids <20 kg, 1 mg si >20 kg) en cas d’hypoglycémie sévère sans accès veineux."
"prématurité","Naissance avant 37 semaines d’aménorrhée.","Cause d’hypoglycémie néonatale par absence de réserves glycogéniques."
"hypotrophie","Poids de naissance faible pour l’âge gestationnel.","Facteur de risque d’hypoglycémie néonatale."
"nouveau-né de mère diabétique","Nouveau-né dont la mère est diabétique (souvent insulinotraitée).","Risque d’hypoglycémie car l’insuline maternelle passe chez le bébé et le bébé s’est habitué à l’insuline."
"syndrome de Wiedemann-Beckwith","Syndrome de surcroît avec hyperplasie des îlots de Langerhans.","Signes : macrosomie, macroglossie, sillon de l’oreille, omphalocèle ou viscéralomégalie. Entraîne une hypoglycémie par hyperinsulinisme."
"macrosomie","Poids de naissance élevé (>4 kg).","Signe du syndrome de Wiedemann-Beckwith."
"macroglossie","Langue anormalement volumineuse.","Signe du syndrome de Wiedemann-Beckwith."
"omphalocèle","Malformation de la paroi abdominale avec hernie des viscères dans le cordon.","Signe du syndrome de Wiedemann-Beckwith."
"hypopituitarisme congénital","Déficit combiné en hormone de croissance (GH) et ACTH.","Cause d’hypoglycémie néonatale, associée à un syndrome polymalformatif et un micropénis."
"déficit de la néoglucogenèse","Anomalie métabolique empêchant la synthèse hépatique de glucose.","Cause d’hypoglycémie chez le nourrisson et l’enfant (déficit métabolique)."
"déficit de la glycogénolyse","Anomalie métabolique empêchant la libération du glucose à partir du glycogène.","Cause d’hypoglycémie."
"déficit de la cétogenèse","Anomalie métabolique empêchant la production de corps cétoniques.","Cause d’hypoglycémie."
"hypoglycémie récurrente avec cétose","Forme d’hypoglycémie survenant lors des jeûnes prolongés, avec cétose.","Débute entre 1 et 5 ans, disparaît entre 7 et 8 ans."
"hyperinsulinisme","Sécrétion excessive d’insuline entraînant une hypoglycémie.","Cause endocrinienne d’hypoglycémie chez l’enfant."
"déficit en GH isolé ou associé","Insuffisance en hormone de croissance.","Cause endocrinienne d’hypoglycémie."
"insuffisance surrénale","Déficit en cortisol (et autres hormones surrénaliennes).","Cause endocrinienne d’hypoglycémie."
"convulsions","Crises convulsives.","Souvent révélatrices de l’hypoglycémie chez l’enfant."
"flush","Pâleur cutanée (rougeur ? Dans le document : ""pâleur, flush (pâleur cutanée)"" – à prendre comme pâleur).","Signe d’hypoglycémie chez le nouveau-né."
"polypnée","Respiration rapide et superficielle.","Signe d’hypoglycémie néonatale."
"trémulations","Tremblements fins.","Signe neurologique d’hypoglycémie chez le nouveau-né."
