"question","answer","explanation","difficulty"
"Quelle est la définition de la diarrhée chronique selon le document ?","Émission de selles molles à liquides, trop fréquente (>3x/jour), >10g/kg/jour chez le nourrisson ou >200g/j chez le grand enfant, depuis plus de 14 jours.","Le document donne cette définition.","Easy"
"Quelles sont les trois étapes de la démarche diagnostique devant une diarrhée chronique ?","1. Confirmer la réalité de la diarrhée chronique. 2. Évaluer le retentissement (nutritionnel, psychomoteur, croissance). 3. Rechercher l'étiologie.","Le document les décrit.","Easy"
"Quels sont les signes de retentissement nutritionnel de la diarrhée chronique ?","Courbes staturo-pondérales anormales, amaigrissement, aspect sans graisse, peau plissée comme vieillard, fesses tristes (pleins de plis, sans muscles fessiers).","Le document les cite.","Easy"
"Quelle est la première cause de diarrhée chronique sans retentissement nutritionnel chez le nourrisson ?","La colopathie fonctionnelle.","Le document : '1ère cause : colopathie fonctionnelle'.","Easy"
"Quels sont les critères diagnostiques de la colopathie fonctionnelle ?","Âge >6 mois (souvent 2e année), selles molles/liquides hétérogènes abondantes avec glaires et aliments non digérés, survenue diurne par poussées, douleurs abdominales associées, parfait état général et croissance normale.","Le document les donne.","Medium"
"Quels sont les trois mécanismes de l'entérocolite ulcéro-nécrosante (ECUN) ?","Lésions dues à l'agent infectieux, altération de l'apport sanguin, ralentissement de la motricité intestinale.","Le document : 'lésions due à la présence de l'agent, + altération de l'apport sanguin + ralentissement de la motricité intestinale'.","Medium"
"Quels sont les quatre types de diarrhée chronique selon l'aspect et la biochimie des selles ?","Maldigestion, malabsorption intestinale, diarrhée sécrétoire, colites inflammatoires.","Le document les classe.","Medium"
"Quels sont les aspects des selles et la stéatorrhée dans la maldigestion ?","Selles volumineuses, pâteuses/molles, décolorées, nauséabondes, aspect graisseux. Stéatorrhée massive : 20-30 g/j. Élastase fécale effondrée.","Le document le décrit.","Medium"
"Quels sont les aspects des selles et la stéatorrhée dans la malabsorption intestinale ?","Selles molles ou semi-liquides, aspect en bouse de vache. Stéatorrhée modérée : 5-10 g/j. Créatorrhée modérée 1-2 g/j.","Le document le décrit.","Medium"
"Quels sont les aspects des selles et les caractéristiques de la diarrhée sécrétoire ?","Selles très abondantes et liquides, persistent au repos digestif. Concentration en électrolytes (Na, Cl, K) élevée.","Le document le décrit.","Medium"
"Quels sont les aspects des selles et les marqueurs des colites inflammatoires ?","Selles peu volumineuses mais fréquentes, +/- afécales, présence de sang et glaires, douleurs. Calprotectine élevée. Créatorrhée 1-3 g/j.","Le document le décrit.","Medium"
