"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la définition d'une diarrhée chronique selon le document ?","Émission de selles molles à liquides, >3x/jour, >10g/kg/jour chez le nourrisson ou >200g/j chez le grand enfant, depuis >14 jours","Émission de selles dures depuis plus de 7 jours","Présence de sang dans les selles depuis 3 jours","Augmentation du volume des selles depuis 24 heures","1","Le document donne cette définition.","Easy"
"Quelle est la première cause de diarrhée chronique sans retentissement nutritionnel chez le nourrisson ?","Maladie cœliaque","Colopathie fonctionnelle","Mucoviscidose","Entéropathie post-infectieuse","2","Le document : '1ère cause : colopathie fonctionnelle' dans la section nourrissons.","Easy"
"Quel est l'âge typique de la colopathie fonctionnelle ?","Moins de 6 mois","Plus de 6 mois, souvent 2ème année","Après 5 ans","Période néonatale","2","Le document : 'Âge> 6 mois, souvent 2è année'.","Easy"
"Quel est l'aspect des selles dans la colopathie fonctionnelle ?","Selles liquides abondantes persistantes au jeûne","Selles molles ou liquides, hétérogènes, abondantes, avec glaires et aliments non digérés","Selles graisseuses décolorées","Selles glairo-sanglantes","2","Le document le décrit.","Easy"
"Quel est le retentissement sur l'état général dans la colopathie fonctionnelle ?","Altération sévère","Parfait état général, croissance normale","Retard psychomoteur","Dénutrition","2","Le document le précise.","Easy"
"Quel est le test diagnostique de la mucoviscidose mentionné ?","Test de la sueur","Biopsie intestinale","Dosage des Ig","Test à la béta-carotène","1","Le document : 'Mucoviscidose : test de la sueur : positif'.","Easy"
"Quel marqueur biologique est spécifique de la maladie cœliaque ?","Calprotectine","Ac anti-transglutaminose","Élastase fécale","Créatorrhée","2","Le document : 'Ac anti-transglutaminose : marqueur de la Maladie Coeliaque'.","Easy"
"Quelle est la cause la plus grave de diarrhée chronique en période néonatale ?","Maladie cœliaque","Entérocolite ulcéro-nécrosante (ECUN)","Colopathie fonctionnelle","Allergie aux PLV","2","Le document : 'Cause la plus grave : Entérocolite ulcéro-nécrosante (ECUN)'.","Medium"
"Quel aspect des selles évoque une maldigestion ?","Selles glairo-sanglantes","Selles volumineuses, pâteuses ou molles, décolorées, nauséabondes, aspect graisseux","Selles liquides abondantes","Selles peu volumineuses avec glaires","2","Le document le donne.","Medium"
"Quel est le seuil de stéatorrhée dans la maldigestion ?","5 à 10 g/j","20 à 30 g/j","1 à 3 g/j",">30 g/j","2","Le document : 'Stéatorrhée massive : 20 à 30g/j de graisse'.","Medium"
