"term","definition","contextual_explanation"
"Érythème","Rougeur congestive de peau s'effaçant à la pression.","Lésion élémentaire de base des maladies éruptives."
"Macule","Tâche avec modification de la couleur de la peau (rouge, marron, blanche) sans relief ni infiltration.","Lésion élémentaire des éruptions."
"Papule","Élevure cutanée palpable ne contenant pas de liquide.","Lésion élémentaire des maladies éruptives."
"Éruption morbiliforme","Type d'éruption dont l'aspect rappelle celui de la rougeole.","Citée comme un type d'éruption à caractériser."
"Éruption roséoliforme","Type d'éruption rappelant la roséole.","Citée comme un type d'éruption."
"Éruption scarlatiniforme","Type d'éruption rappelant la scarlatine.","Citée comme un type d'éruption."
"Purpura pétéchial","Lésion élémentaire correspondant à des petites hémorragies cutanées.","Citée parmi les autres lésions élémentaires."
"Vésicule","Soulèvement épidermique de 1 à 3 mm de diamètre.","Lésion élémentaire contenant du liquide."
"Bulle","Lésion cutanée de plus de 5 mm de diamètre.","Lésion élémentaire plus grande que la vésicule."
"Pustule","Lésion cutanée contenant du pus.","Citée comme lésion élémentaire."
"Nouure","Petite induration circonscrite de l'hypoderme.","Lésion élémentaire profonde."
"Érosion","Perte de substance superficielle de la peau.","Distinguée de l'ulcération."
"Ulcération","Perte de substance plus profonde que l'érosion.","Le document précise : 'Ulc : perte de substance plus profonde'."
"Sepsis","Infection sévère avec fièvre élevée, AEG (altération de l'état général), teint grisâtre.","Critère de gravité d'une maladie éruptive."
"Choc septique","Sepsis associé à une tachycardie et une hypotension artérielle.","Critère de gravité."
"Syndrome toxinique","Association d'un érythème fébrile et d'un trouble hémodynamique.","Critère de gravité."
"Purpura fébrile","Purpura associé à de la fièvre.","Associé à un trouble hémodynamique comme signe de gravité."
"Maladie de Kawasaki","Vascularite fébrile de l'enfant.","Évoquée devant une fièvre >5 jours associée à une éruption cutanée et une AEG non satisfaisante."
"Ulcérations muqueuses","Pertes de substance au niveau des muqueuses.","Associées à des décollements épidermiques extensifs, évocatrices d'allergie médicamenteuse grave."
"Décollements épidermiques extensifs","Décollement de grandes surfaces de peau (syndrome de Lyell ou Stevens-Johnson).","Signe de gravité d'allergie médicamenteuse."
"Contage","Transmission d'une maladie infectieuse par contact.","Notion recherchée à l'interrogatoire."
"AEG","Altération de l'état général (fatigue, amaigrissement, anorexie).","Signe de gravité ou de maladie de Kawasaki."
"Hypoderme","Couche profonde de la peau sous le derme.","Siège des nouures."
