"term","definition","contextual_explanation"
"fissure anale","Ulcération superficielle au niveau des plis radiés de l’anus.","La douleur a un rythme à 3 temps, avec rectorragie."
"plis radiés de l’anus","Sillons rayonnants autour de l’anus.","Siège de la fissure."
"pôle supérieur","Localisation à 6h en position de taille (décubitus dorsal, postérieur).","La plus fréquente (90%)."
"pôle antérieur","Localisation à 0h en position de taille.","6% des cas, 25% chez la femme."
"fissure bipolaire","Deux localisations (supérieure et antérieure).","5% des cas."
"fissure latérale","Fissure située sur les côtés.","Rare, suspecte de cancer."
"rythme à 3 temps","Séquence douloureuse caractéristique.","Déclenchée par les selles, disparaît quelques minutes, réapparaît et persiste plusieurs heures."
"rectorragie","Émission de sang rouge par l’anus.","Signe accompagnateur, petite quantité lors des selles."
"ulcération à bords nets en forme de raquette inversée","Aspect macroscopique typique.","La manche est située au niveau de la ligne pectinée."
"ligne pectinée","Ligne dentelée du canal anal.","Repère anatomique."
"sphincter interne de l’anus","Muscle lisse du canal anal.","Sa contraction provoque la douleur et rend l’examen difficile."
"cancer anal","Tumeur maligne de l’anus.","Diagnostic différentiel, nécessite biopsie."
"anite","Inflammation de l’anus.","Diagnostic différentiel : pas de fissure."
"abcès péri‑anal","Collection purulente péri‑anale.","Diagnostic différentiel : tuméfaction, douleur."
"maladie de Crohn","Maladie inflammatoire chronique digestive.","Diagnostic différentiel : ulcérations multiples."
"tuberculose anale","Infection tuberculeuse de l’anus.","Diagnostic différentiel : histologie."
"herpès anale","Infection herpétique.","Diagnostic différentiel : histologie."
"chancres","Ulcérations syphilitiques.","Diagnostic différentiel : sérologie."
"antalgiques locaux","Médicaments appliqués localement contre la douleur.","Lidocaïne gel, cicactril."
"régulateurs du transit intestinal","Médicaments pour normaliser le transit.","Traitement médical."
"exérèse de la fissure","Ablation chirurgicale de la fissure.","Suivie d’un examen anatomopathologique."
"sphinctérotomie interne latérale","Incision chirurgicale du sphincter interne.","Traitement chirurgical."
"anoplastie muqueuse","Abaissement de la muqueuse rectale sur le sphincter interne.","Traitement chirurgical."
