"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Qu’est-ce qu’une fissure anale ?","Une infection du sphincter anal","Une ulcération superficielle au niveau des plis radiés de l’anus","Une tumeur du canal anal","Une fistule péri-anale","2","Le document : 'c’est une ulcération superficielle au niveau des plis radiés de l’anus'","Easy"
"Quelle est la localisation la plus fréquente de la fissure anale (pôle supérieur) ?","90%","6%","5%","25%","1","Le document : 'Pôle supérieur : situé à 6h... : 90%'","Easy"
"Quel pourcentage des fissures anales sont de localisation antérieure chez la femme ?","6%","25%","5%","90%","2","Le document : 'Pôle antérieur : ... 6% (25% chez la femme)'","Easy"
"Toute fissure anale latérale doit faire suspecter quoi ?","Une maladie de Crohn","Un cancer","Un abcès péri-anal","Une tuberculose","2","Le document : 'toute fissure latérale est suspecte de cancer'","Easy"
"Quel est le rythme douloureux caractéristique de la fissure anale ?","Un temps : douleur continue","Deux temps : douleur à la défécation puis disparition","Trois temps : déclenchée par les selles, disparaît quelques minutes, puis réapparaît et persiste plusieurs heures","Quatre temps avec irradiation","3","Le document : 'Douleur anale très vive avec rythme à 3 temps : Déclenchée par les selles, Disparaît quelques minutes, Puis réapparaît et persiste plusieurs heures'","Easy"
"Quel signe accompagne souvent la douleur de la fissure anale ?","Fièvre","Petite rectorragie lors de l’émission des selles","Prolapsus","Prurit","2","Le document : 'Signe accompagnateur : petite rectorragie lors de l’émission des selles'","Easy"
"Quel est l’aspect de l’ulcération dans la fissure anale ?","En forme de raquette inversée, la manche au niveau de la ligne pectinée","En forme de plaque","En forme de fissure linéaire","En forme de nodule","1","Le document : 'Ulcération à bords nets en forme de raquette inversée, la manche étant située au niveau de la ligne pectinée'","Easy"
"Pourquoi l’examen de la marge anale est-il souvent impossible ?","Parce que le patient refuse","En raison d’une contracture du sphincter interne et de la douleur vive","Parce que la fissure est indolore","En raison d’une hémorragie","2","Le document : 'L’examen de la marge anale est souvent impossible du fait de la douleur très vive en rapport avec la contraction du sphincter interne de l’anus'","Medium"
"Quel diagnostic différentiel nécessite une biopsie ?","Anite","Abcès péri-anal","Cancer anal","Herpès anal","3","Le document : 'Cancer anal -> biopsie'","Medium"
"Quel traitement chirurgical consiste à inciser le sphincter interne latéralement ?","Exérèse de la fissure","Sphinctérotomie interne latérale","Anoplastie muqueuse","Régulateurs du transit","2","Le document : 'Sphinctérotomie interne latérale'","Medium"
"Quel traitement médical local est cité pour la fissure anale ?","Paracétamol","Lidocaïne gel, cicactril","Ibuprofène","Morphine","2","Le document : 'Antalgiques locaux (lidocaïne gel, cicactril)'","Medium"
"Dans le traitement chirurgical, que réalise-t-on lors d’une anoplastie muqueuse ?","Abaissement de la muqueuse rectale sur le sphincter interne","Excision de la fissure","Sphinctérotomie","Drainage","1","Le document : 'Anoplastie muqueuse : abaissement de la muqueuse rectale sur le sphincter interne'","Medium"
