question, answer, explanation, difficulty
"Les saignements du premier trimestre concernent 25% des complications de grossesse.", True, "Le document : '25% des complications de la grossesse'", "Easy"
"Le sac ovulaire est visible à l'échographie dès 4 SA.", False, "Le document : 'dès 5 SA'", "Easy"
"L'activité cardiaque embryonnaire est visible à partir de 5,5-6 SA.", True, "Le document : 'L'embryon et son activité cardiaque deviennent visibles entre 5,5 et 6 SA'", "Easy"
"Dans l'avortement spontané, les douleurs sont latéralisées.", False, "Le document : 'Douleurs pelviennes médianes'", "Easy"
"Dans la GEU, les hémorragies sont souvent abondantes et rouges.", False, "Le document : 'Peu abondantes, noirâtres'", "Easy"
"Dans la grossesse molaire, l'utérus est plus gros que l'âge de la grossesse.", True, "Le document : 'Utérus plus gros que ne le voudrait l'âge de la grossesse'", "Easy"
"Le taux de hCG est bas dans la grossesse molaire.", False, "Le document : 'Taux plasmatiques d'hCG très élevés'", "Easy"
"La GEU est la principale hantise devant un saignement du premier trimestre.", True, "Le document : 'Hantise = GEU'", "Easy"
"L'échographie pelvienne est inutile devant un saignement du premier trimestre.", False, "Le document : 'Echographie pelvienne' comme examen complémentaire", "Easy"
"Le traitement médical de l'avortement spontané utilise les prostaglandines (Misoprostol).", True, "Le document : 'Traitement médical par prostaglandines'", "Easy"
"Le curetage est la méthode chirurgicale de référence actuelle pour l'avortement spontané.", False, "Le document : 'aspiration avec une canule (plus de curetage actuellement)'", "Medium"
"La grossesse molaire est fréquente en Europe.", False, "Le document : 'Exceptionnelle en occident'", "Easy"
"Dans la GEU, l'utérus est moins gros que prévu pour l'âge gestationnel.", True, "Le document : 'Utérus moins gros par rapport à l'âge de la grossesse'", "Medium"
"Dans la GEU, le col est tonique et ferme.", True, "Le document : 'col tonique et ferme'", "Medium"
"L'aspiration d'une môle nécessite un examen anatomopathologique systématique.", True, "Le document : 'nécessite une aspiration avec examen anatomopathologique systématique'", "Medium"
"Une ascension du taux de hCG après traitement d'une môle est normale.", False, "Le document : 'il faudra redouter une mole invasive ou un choriocarcinome'", "Medium"
"La chimiothérapie est indiquée d'emblée pour toute môle.", False, "Le document : 'Une chimiothérapie est alors indiquée après bilan d'extension' en cas d'ascension", "Medium"
"Un hématome décidual est visible à l'échographie comme une image liquidienne entre l'œuf et la paroi.", True, "Le document : 'image liquidienne entre les contours de l'œuf et la paroi utérine (décollement)'", "Medium"
"Dans l'avortement spontané, les signes sympathiques de grossesse ont récemment disparu.", True, "Le document : 'Disparition récente des signes sympathiques de grossesse'", "Easy"
"La grossesse sous DIU est un facteur de risque de GEU.", True, "Le document : 'Grossesse sous contraception par dispositif intra-utérin'", "Medium"
"Le toucher vaginal est contre-indiqué devant un saignement du premier trimestre.", False, "Le document mentionne le toucher vaginal", "Easy"
"La prévention de l'iso-immunisation rhésus est systématique chez la femme Rh négatif.", True, "Le document : 'Prévention de l'iso-immunisation rhésus si la femme est rhésus négatif +++++'", "Easy"
"L'embryon est visible avant l'activité cardiaque.", True, "Le document : 'L'embryon et son activité cardiaque deviennent visibles entre 5,5 et 6 SA'", "Medium"
"Dans la GEU, il existe une masse latéro-utérine douloureuse.", True, "Le document : 'masse latéro-utérine douloureuse'", "Medium"
"Le traitement chirurgical de la GEU peut être conservateur.", True, "Le document : 'traitement chirurgical : conservateur ou non conservateur'", "Medium"
"L'œuf clair correspond à un sac ovulaire sans embryon visible.", True, "Le document : 'œuf clair, sans écho embryonnaire'", "Medium"
"La grossesse intra-utérine évolutive avec hématome a toujours une mauvaise évolution.", False, "Le document : 'L'évolution est parfois longue mais généralement favorable'", "Medium"
"L'activité cardiaque embryonnaire doit être régulière.", True, "Le document : 'activité cardiaque régulière'", "Easy"
"Les antécédents de salpingite sont un facteur de risque de GEU.", True, "Le document : 'Antécédents de stérilité, salpingite'", "Easy"
"L'aspiration chirurgicale se fait sous anesthésie générale uniquement.", False, "Le document : 'Sous anesthésie générale ou locale'", "Medium"
