"term","definition","contextual_explanation"
"céphalées","Symptôme subjectif défini par l'enfant en âge de s'exprimer comme des douleurs locales perçues au niveau de la boîte crânienne.","Plainte fréquente chez l'enfant, aux étiologies variées, le plus souvent bénignes mais pouvant révéler une pathologie grave."
"migraine","Céphalées paroxystiques récurrentes.","Touche 5-8% des enfants de 5-15 ans, caractère familial (50%). Chez l'enfant, garçons > filles ; à l'adolescence, inverse. Crises avec aura possible (scotome visuel, paresthésies, dysarthrie), hémicrâne pulsatile durant 1h à 2 jours, signes accompagnateurs (nausées, vomissements, phono-photophobie, arrêt des activités)."
"céphalées de type tension","Douleur aiguë ou récurrente, frontale, durant plusieurs jours de suite toute la journée depuis plusieurs années.","Pas de besoin de sommeil, peu de perturbation des activités, pas de signes accompagnateurs, pas d'aggravation au cours du temps. Facteurs favorisants : problèmes scolaires ou familiaux."
"HTIC","Hypertension intracrânienne.","Se manifeste par des céphalées prédominant le matin ou en seconde partie de nuit, réveils nocturnes, exagérées par l'effort ou décubitus, résistantes aux antalgiques, vomissements matinaux, diplopie, éclipses visuelles, changement de comportement."
"tumeur cérébrale","Processus expansif intracrânien.","Évoquée devant des céphalées nocturnes avec réveil (la tumeur ne laisse pas dormir tranquille), ou des céphalées progressives avec signes d'HTIC, notamment de la fosse postérieure."
"hémorragie méningée","Saignement dans les méninges.","Se manifeste par un syndrome méningé intense d'apparition très brutale, céphalée aiguë en casque en éclair, associée à une altération de la conscience."
"HTA paroxystique","Poussée d'hypertension artérielle.","Devant une céphalée aiguë apyrétique associée à sueurs, palpitations, flush, évoquer un phéochromocytome."
"phéochromocytome","Tumeur de la médullosurrénale sécrétant des catécholamines.","Cause rare d'HTA paroxystique se manifestant par céphalées, sueurs, palpitations, flush."
"intoxication au CO","Intoxication au monoxyde de carbone.","Cause de céphalées aiguës inhabituelles en contexte apyrétique."
"aura","Prodromes neurologiques précédant ou accompagnant la migraine.","Chez l'enfant : scotome visuel, paresthésies, dysarthrie."
"scotome visuel","Tache aveugle dans le champ visuel.","Signe d'aura migraineuse."
"phono-photophobie","Intolérance au bruit et à la lumière.","Signe accompagnateur de la migraine chez l'enfant."
"triptans","Médicaments antimigraineux.","Traitement symptomatique de la crise migraineuse (citée sans précision de posologie)."
"riboflavine","Vitamine B2.","Exemple de traitement de fond de la migraine chez l'enfant (200 mg/j), avec peu d'AMM en pédiatrie."
"valve DVP","Valve de dérivation ventriculo-péritonéale.","Chez un enfant porteur, une céphalée peut révéler un bouchage de la valve (HTIC)."
"hypervitaminose A","Excès de vitamine A.","Cause médicamenteuse de céphalées à rechercher dans les antécédents personnels."
"TCE","Traumatisme crânien.","Cause de céphalées aiguës apyrétiques, antécédent à rechercher."
"hypoglycémie","Baisse anormale du taux de glucose sanguin.","Cause de céphalées aiguës inhabituelles en contexte apyrétique."
"infection neuroméningée","Infection des méninges ou du parenchyme cérébral.","Cause de céphalées aiguës fébriles."
"sinusite","Infection des sinus de la face.","Cause de céphalées aiguës fébriles ou de céphalées chroniques."
"abcès dentaire","Infection dentaire collectionnée.","Cause de céphalées aiguës fébriles."
"HTIC idiopathique","Hypertension intracrânienne sans cause identifiable.","Diagnostic retenu si imagerie cérébrale normale devant des signes d'HTIC."
"vascularites","Inflammation des vaisseaux sanguins.","Cause rare de céphalées d'installation progressive."
"dysfonction temporo-mandibulaire","Anomalie de l'articulation de la mâchoire.","Étiologie des céphalées prolongées (chroniques quotidiennes)."
"malformation rachidienne","Anomalie congénitale de la colonne vertébrale.","Étiologie des céphalées chroniques."
"abcès cérébral","Collection purulente intracrânienne.","Processus expansif intracrânien à rechercher devant des céphalées chroniques avec signes neurologiques focaux ou d'HTIC."
"hydrocéphalie","Augmentation du volume des ventricules cérébraux.","Processus expansif intracrânien donnant des céphalées chroniques."
"fond d'œil","Examen ophtalmologique de la rétine.","Permet de rechercher des signes d'HTIC (œdème papillaire)."
"diplopie","Vision double.","Signe d'HTIC associé aux céphalées progressives."
"éclipses visuelles","Perte transitoire de la vision.","Signe d'HTIC."
"syndrome méningé","Ensemble des signes d'irritation méningée (raideur de nuque, céphalées, photophobie, vomissements).","Dans l'hémorragie méningée, d'apparition brutale."
"phéochromocytome","Tumeur sécrétant des catécholamines.","Évoqué devant HTA paroxystique avec céphalées, sueurs, palpitations, flush."
"flush","Rougeur brutale du visage.","Signe associé au phéochromocytome."
