"front","back","cognitive_level"
"Quelle est la définition de la galactorrhée ?","Écoulement mamelonnaire lactescent provenant des pores galactophoriques, en dehors de la grossesse, du post-partum immédiat et de la période d’allaitement (6 à 12 mois après l’arrêt).","Recall"
"Quelle est la prévalence de la galactorrhée parmi les pathologies mammaires ?","3 à 10 % des pathologies mammaires.","Recall"
"Quel est le troisième motif de consultation sénologique après la mastodynie et la masse mammaire ?","La galactorrhée.","Recall"
"Quels signes fonctionnels associés à la galactorrhée doivent être recherchés à l’interrogatoire ?","1) Signes sympathiques de grossesse, mastodynie. 2) Signes d’hyperprolactinémie : troubles du cycle, baisse de libido, infertilité. 3) Signes de lésion compressive hypothalamo-hypophysaire.","Recall"
"Citez cinq antécédents ou pathologies à rechercher devant une galactorrhée.","1) Prise médicamenteuse (IPP, métoclopramide, Haldol). 2) Insuffisance rénale chronique. 3) Insuffisance hépatique. 4) Endocrinopathie (hypothyroïdie). 5) SOPK (syndrome des ovaires polykystiques).","Recall"
"Comment recherche-t-on cliniquement la galactorrhée ?","En position assise et allongée. Le sein est massé dans les 4 quadrants puis en ramenant l’écoulement jusqu’à l’aréole.","Recall"
"Quel est le taux normal de prolactinémie ?","5 à 20 ng/l.","Recall"
"Quels sont les deux types de tests dynamiques utilisés pour explorer une hyperprolactinémie ?","Tests de stimulation à la TRH et tests aux antidopaminergiques (métoclopramide, dompéridone), utilisés isolément ou de façon combinée.","Recall"
"Quel est le principe des tests de stimulation (TRH ou antidopaminergiques) dans l’exploration d’une hyperprolactinémie ?","Une réponse normale de la prolactine rend peu vraisemblable l’existence d’une lésion hypothalamo-hypophysaire et permet d’éviter la réalisation d’une IRM.","Understanding"
"Quel examen d’imagerie est indiqué si la prolactine est élevée ?","IRM hypophysaire avec injection de gadolinium.","Recall"
"Quel bilan biologique complet accompagne l’IRM en cas d’hyperprolactinémie ?","TSH, ionogramme sanguin, urée, créatinine, bilan hépatique complet, TP, FSH, LH, bêta-hCG plasmatique.","Recall"
"Quelles sont les trois grandes catégories étiologiques de la galactorrhée ?","1) Galactorrhée physiologique. 2) Galactorrhée avec hyperprolactinémie. 3) Galactorrhée sans hyperprolactinémie.","Recall"
"Citez quatre causes de galactorrhée physiologique.","1) Grossesse et allaitement. 2) Stress important, activité physique intense, crise convulsive. 3) Stimulation du mamelon, traumatisme/brûlure de la paroi thoracique. 4) Sommeil.","Recall"
"Qu’est-ce que la macroprolactinémie ?","Galactorrhée isolée sans trouble du cycle. Absence de normalisation de la prolactine par un traitement préalable par les agonistes dopaminergiques. Prolactinémie modérément élevée.","Recall"
"Quelle est la différence entre microprolactinome et macroprolactinome ?","Microprolactinome : tumeur < 1 cm, prolactinémie < 200 µg/l. Macroprolactinome : prolactinémie > 200 µg/l (voire 1000 µg/l), taille plus grande.","Recall"
"Quelles lésions hypothalamiques de la tige pituitaire peuvent causer une galactorrhée ?","Craniopharyngiome, lésion hypothalamique (tumeur primitive ou secondaire), histiocytose X, tuberculose, sarcoïdose, lésion traumatique de la tige pituitaire, métastase hypophysaire.","Recall"
"Qu’est-ce qu’une hyperprolactinémie de déconnexion ?","Hyperprolactinémie liée à une lésion de la tige pituitaire (traumatique ou secondaire à une masse).","Recall"
