question,option1,option2,option3,option4,answer,explanation,difficulty
"Quelle est la définition de la rhinosinusopharyngite (RSP) de l’enfant ?","Infection bactérienne isolée des sinus","Inflammation d’origine infectieuse simultanée des cavités nasosinusiennes et rhinopharyngées","Inflammation allergique des fosses nasales","Infection virale des amygdales","2","Le document indique : Inflammation d’origine infectieuse de façon simultanée des cavités nasosinusiennes et rhinopharyngés de l’enfant.","Easy"
"Quel est le pourcentage de rhinosinusopharyngites d’origine virale chez l’enfant ?","50%","70%","90%","99%","3","Le document précise : 90% d’origine virale.","Easy"
"Quelle est la tranche d’âge la plus concernée par la rhinosinusopharyngite ?","Nourrissons de moins de 3 mois","Enfants de 3 mois à 7 ans, surtout avant 3 ans","Enfants de 7 à 12 ans","Adolescents","2","Le document indique : Enfant de 3 mois à 7 ans, surtout avant 3 ans.","Easy"
"Jusqu’à quel âge seul le labyrinthe éthmoïdal est-il individualisable ?","Jusqu’à 2 ans","Jusqu’à 4 ans","Jusqu’à 6 ans","Jusqu’à 8 ans","2","Le document précise : Jusqu’à 4 ans : seul le labyrinthe éthmoïdal est individualisable.","Easy"
"À partir de quel âge les rhinosinusites deviennent-elles identiques à celles des adultes ?","À partir de 4 ans","À partir de 5 ans","À partir de 6 ans","À partir de 8 ans","3","Le document indique : Après 6 ans : rhinosinusites identiques à celles des adultes.","Easy"
"Quelle est la durée d’évolution typique d’une rhinosinusopharyngite aiguë ?","< 3 jours","< 6 jours","< 10 jours","< 15 jours","2","Le document précise : Durée d’évolution < 6 Jours.","Easy"
"La rhinorrhée dans la rhinosinusopharyngite aiguë est :","Unilatérale et claire","Bilatérale, d’abord séreuse puis rapidement jaunâtre et verdâtre","Unilatérale et purulente d’emblée","Sanglante","2","Le document indique : Rhinorrhée bilatérale : séreuse, rapidement jaunâtre et verdâtre.","Easy"
"Les vomissements et la diarrhée sont décrits comme :","Des signes de gravité","Des signes batards","Des signes spécifiques bactériens","Des signes d’allergie","2","Le document précise : Diarrhée et vomissement (signes batards).","Medium"
"À l’examen physique, la fièvre dans la RSP aiguë est généralement :","< 38°C","> 38,5°C","Normale","< 37,5°C","2","Le document indique : Signes généraux : fièvre > 38,5°C.","Easy"
"Quel examen permet d’éliminer une imperforation choanale ?","Rhinoscopie antérieure","Nasofibroscopie","Otoscopie","Radiographie","2","Le document précise : Nasofibroscopie : élimine Imperforation choanale, Hypertrophie des végétations adénoïdiennes.","Medium"
"La rhinosinusopharyngite aiguë banale est le :","Diagnostic différentiel","Tableau clinique dominant (TDD)","Forme compliquée","Forme récidivante","2","Le document indique : TDD : Rhinosinusopharyngite aiguë.","Medium"
"Quel est le germe viral le plus fréquemment en cause dans la RSP ?","Virus respiratoire syncytial","Rhinovirus, adénovirus, echovirus","Virus grippal","Parainfluenzae","2","Le document cite : 90% d’origine virale : rhinovirus, adénovirus, echovirus.","Medium"
"La crèche et la garderie sont des :","Facteurs protecteurs","Facteurs environnementaux favorisants","Contre-indications","Traitements","2","Le document cite : Facteurs environnementaux : crèche, garderie, tabagisme passif.","Medium"
"En cas d’épisodes fréquents de RSP, il faut rechercher :","Une allergie seulement","Asthme, déficit immunitaire, mucoviscidose, RGO, dyskinésie ciliaire","Une tumeur nasale","Une otite","2","Le document indique : Si épisodes fréquentes, rechercher : asthme, déficit immunitaire, mucoviscidose, reflux gastro-œsophagien, dyskinésie ciliaire.","Medium"
"Quel est le traitement de la RSP aiguë banale ?","Antibiothérapie systématique","Mouchage, SSI en lavage, antipyrétique","Corticothérapie","Hospitalisation","2","Le document indique : RSP aiguë : Mouchage, SSI en lavage, Antipyrétique.","Easy"
"L’antibiothérapie dans la RSP est réservée aux :","Formes aiguës banales","Complications","Formes récidivantes","Tous les cas","2","Le document conclut : Antibiothérapie réservée aux complications.","Easy"
"Un corps étranger intra-narinaire se manifeste par :","Une rhinorrhée bilatérale claire","Une rhinorrhée unilatérale et nauséabonde","Une obstruction nasale bilatérale","Une fièvre élevée","2","Le document indique : Corps étranger intra-narinaire : rhinorrhée unilatérale et nauséabonde.","Medium"
"La formation des sinus maxillaires débute après :","4 ans","6 ans","8 ans","10 ans","1","Le document précise : Après 4 ans : formation des sinus maxillaires.","Medium"
"La guérison d’une RSP aiguë survient après :","3 à 5 jours","7 à 10 jours","2 semaines","3 semaines","2","Le document indique : Guérison au bout de 7 à 10 jours.","Easy"
"L’adénoïdectomie est à discuter dans quel cadre ?","RSP aiguë banale","RSP récidivante","Formes compliquées","Ethmoïdite","2","Le document mentionne : Adénoïdectomie à discuter (dans le traitement de la RSP récidivante).","Medium"
"Les convulsions fébriles font partie des :","Formes récidivantes","Diagnostics différentiels","Formes compliquées","Facteurs favorisants","3","Le document cite : Formes compliquées : convulsions fébriles.","Medium"
