"front","back","cognitive_level"
"Qu’est-ce qu’une rhinosinusopharyngite (RSP) de l’enfant ?","Inflammation d’origine infectieuse de façon simultanée des cavités nasosinusiennes et rhinopharyngées de l’enfant.","Recall"
"Quelle est la proportion d’origine virale des rhinosinusopharyngites de l’enfant ?","90 % d’origine virale.","Recall"
"Quelle est la tranche d’âge concernée par la RSP de l’enfant ?","Enfant de 3 mois à 7 ans, surtout avant 3 ans.","Recall"
"À quel âge le labyrinthe éthmoïdal est-il le seul sinus individualisable ?","Jusqu’à 4 ans.","Recall"
"À quel âge se forment les sinus maxillaires ?","Après 4 ans.","Recall"
"À partir de quel âge les rhinosinusites deviennent-elles identiques à celles des adultes ?","Après 6 ans.","Recall"
"Pourquoi utilise-t-on le terme « rhinosinusopharyngite » chez l’enfant ?","Parce que les cavités nasales, les cavités rhinosinusiennes et le rhinopharynx sont largement en communication et constituent des entités anatomiquement inséparables.","Understanding"
"Quel est le diagnostic positif (TDD) de la rhinosinusopharyngite de l’enfant ?","Rhinosinusopharyngite aiguë.","Recall"
"Quelle est la durée d’évolution typique d’une RSP aiguë ?","Inférieure à 6 jours.","Recall"
"Quels sont les signes fonctionnels de la RSP de l’enfant ?","Rhinorrhée bilatérale (séreuse puis rapidement jaunâtre/verdâtre), toux (sèche puis rapidement grasse), obstruction nasale (ronflement, gêne au sommeil), diarrhée et vomissements (« signes bâtards »).","Recall"
"Pourquoi la diarrhée et les vomissements sont-ils appelés « signes bâtards » dans la RSP ?","Parce qu’ils sont des signes digestifs non spécifiques pouvant masquer le diagnostic ORL chez l’enfant.","Understanding"
"Quels sont les signes généraux de la RSP de l’enfant ?","Fièvre > 38,5°C, malaise, anorexie.","Recall"
"Quels sont les signes à la rhinoscopie antérieure dans la RSP ?","Rougeur et congestion de la muqueuse nasale.","Recall"
"À quoi sert la nasofibroscopie dans la RSP de l’enfant ?","À éliminer une imperforation choanale et une hypertrophie des végétations adénoïdiennes.","Recall"
"Quel examen systématique doit être associé à toute RSP de l’enfant ?","Otoscopie (recherche d’otite moyenne aiguë).","Recall"
"Quels examens paracliniques sont nécessaires au diagnostic de RSP ?","Aucun. Le diagnostic est clinique. Certains examens peuvent être demandés pour rechercher des complications.","Recall"
"Qu’est-ce qu’une RSP récidivante ?","Forme d’allure subaiguë ou chronique, survenant chez un enfant adénoïdien. Il faut rechercher des facteurs favorisants.","Recall"
"Quelles sont les formes compliquées de la RSP de l’enfant ?","Ethmoïdite aiguë, rhinosinusite aiguë, otite moyenne aiguë, laryngite sous-glottique, laryngite striduleuse, épiglottite, diarrhée, vomissements, déshydratation, convulsions fébriles.","Recall"
"Quels sont les diagnostics différentiels de la RSP de l’enfant ?","Corps étranger intra-narinaires (rhinorrhée unilatérale nauséabonde), polypes et tuméfactions de la cavité nasale (obstruction souvent unilatérale). La nasofibroscopie permet le diagnostic.","Recall"
"Quels sont les virus responsables de la RSP chez l’enfant ?","Rhinovirus, adénovirus, échovirus.","Recall"
"Quels sont les facteurs favorisants de la RSP de l’enfant ?","Allergie, facteurs environnementaux (crèche, garderie, tabagisme passif).","Recall"
"Quelles pathologies faut-il rechercher en cas d’épisodes fréquents de RSP ?","Asthme, déficit immunitaire, mucoviscidose, reflux gastro-œsophagien, dyskinésie ciliaire.","Recall"
"Quel est le traitement curatif de la RSP aiguë ?","Mouchage, sérum physiologique isotonique (SSI) en lavage, antipyrétiques.","Recall"
"Quel est le traitement de la RSP récidivante ?","Mouchage, SSI en lavage, antipyrétiques, polyvitamines, vaccin, traitement des facteurs favorisants. Antibiothérapie uniquement si complication. Adénoïdectomie à discuter.","Recall"
"Quelle est l’indication de l’antibiothérapie dans la RSP de l’enfant ?","Réservée aux complications uniquement.","Recall"
"Quelles sont les mesures du traitement préventif de la RSP ?","Éducation au mouchage, lavage des mains.","Recall"
"Quel est le délai de guérison d’une RSP aiguë ?","7 à 10 jours.","Recall"
"Un enfant de 2 ans présente une rhinorrhée bilatérale jaunâtre, une toux grasse, une fièvre à 39°C et des vomissements. Quel est le diagnostic le plus probable ?","Rhinosinusopharyngite aiguë de l’enfant.","Application"
"Un enfant présente une rhinorrhée unilatérale et nauséabonde. Quel diagnostic différentiel de la RSP devez-vous évoquer ?","Corps étranger intra-narinaires.","Analysis"
"Pourquoi dit-on que la RSP de l’enfant est une « adaptation au monde microbien » ?","Parce que l’enfant est exposé aux virus et bactéries du milieu (crèche, garderie) et développe progressivement son immunité, la RSP étant une réponse fréquente et généralement bénigne.","Understanding"
"Pourquoi l’antibiothérapie est-elle réservée aux complications dans la RSP ?","Parce que 90 % des RSP sont d’origine virale, donc les antibiotiques sont inefficaces en première intention et leur utilisation abusive favorise la résistance bactérienne.","Understanding"
