"term","definition","contextual_explanation"
"croissance staturo-pondérale","Augmentation de la taille et du poids.","La prise en charge nutritionnelle du nouveau-né détermine la croissance staturo-pondérale."
"croissance neurodéveloppementale","Développement du système nerveux et des capacités fonctionnelles.","La nutrition influence également la croissance neurodéveloppementale."
"métabolisme de base","Dépense énergétique minimale nécessaire au maintien des fonctions vitales au repos.","Un des trois facteurs expliquant les besoins énergétiques accrus du nouveau-né."
"thermogenèse","Production de chaleur par l'organisme.","Chez le nouveau-né, la thermogenèse est augmentée en raison d'une surface cutanée accrue (plus grosse tête) et des déperditions de chaleur."
"surface cutanée accrue","Rapport surface/volume plus élevé chez le nouveau-né.","Entraîne une déperdition de chaleur importante, augmentant les besoins énergétiques."
"nutrition entérale","Alimentation administrée par voie digestive (orale ou par sonde).","Le prématuré a un risque plus élevé de mauvaise tolérance de la nutrition entérale en raison de l'immaturité digestive."
"perte de poids minimale","Perte de poids physiologique attendue après la naissance.","Survient à J3-J5 et doit être <10% du poids de naissance."
"reprise du poids de naissance","Retour au poids de naissance après la perte initiale.","Doit survenir rapidement entre J8-J10."
"motricité intestinale","Ensemble des mouvements de l'intestin assurant le transit.","Comprend l'action propulsive de jeûne (péristaltisme) et la motricité postprandiale."
"action propulsive de jeûne","Péristaltisme intestinal en l'absence d'aliments.","Très désordonnée avant 31 SA, harmonieuse et efficace à >34 SA."
"motricité postprandiale","Motricité intestinale survenant après un repas.","Détectable à partir de 31 SA par sollicitation progressive."
"succion-déglutition","Coordination entre la succion et la déglutition pour l'alimentation orale.","Mature à 34-36 SA."
"vidange gastrique","Évacuation du contenu de l'estomac vers le duodénum.","Lente chez le nouveau-né à terme : 90 minutes (60 minutes chez l'adulte)."
"protides","Autre nom des protéines.","La digestion-absorption des protides est fonctionnelle à tout âge chez le nouveau-né."
"lipase pancréatique","Enzyme digestive des lipides sécrétée par le pancréas.","Sa concentration est nulle chez le prématuré."
"sels biliaires","Substances produites par le foie et stockées dans la vésicule biliaire, participant à la digestion des lipides.","Présents en très petite quantité chez le prématuré."
"lipases linguale et gastrique","Enzymes digestives des lipides sécrétées par la langue et l'estomac.","Permettent la digestion des triglycérides à chaîne moyenne, présents dans le lait maternel."
"triglycérides à chaîne moyenne","Lipides composés d'acides gras à chaîne carbonée moyenne (MCT).","Digérés par les lipases linguale et gastrique, présents dans le lait maternel."
"activité lactasique","Capacité de l'enzyme lactase à digérer le lactose.","Faible (30%) chez le prématuré."
"maltase, isomaltase, saccharase, amylase","Enzymes digestives des glucides.","Présentes chez le prématuré ; le lait pré contient moins de lactose et plus d'autres glucides digérables par ces enzymes."
"retard de l'apport entérale","Début tardif de l'alimentation par voie digestive.","Fréquent chez le prématuré, entraîne une atrophie villositaire."
"atrophie villositaire","Diminution de la hauteur et du nombre des villosités intestinales.","Due à l'absence des microbes de la flore qui devraient s'installer, conséquence du retard d'apport entéral."
"flore intestinale","Micro-organismes colonisant l'intestin.","Son absence ou son retard d'installation contribue à l'atrophie villositaire."
"lait maternel","Lait produit par la mère.","Aliment idéal pour le nouveau-né à terme et le prématuré, à volonté (8-12 tétées/j)."
"lactarium","Banque de lait.","Première alternative au lait maternel : lait de femme du lactarium."
"lait 1er âge","Lait infantile pour nourrissons de 0 à 6 mois.","Deuxième alternative pour le nouveau-né à terme, rapport caséine/protéines solubles 60/40."
"caséine","Principale protéine du lait, formant un caillot.","Le rapport caséine/protéines solubles dans le lait 1er âge est de 60/40."
"protéines solubles","Protéines du lait restant solubles (lactalbumine, etc.).","Complètent le rapport avec la caséine."
"montée laiteuse","Phase de début de sécrétion lactée abondante chez la mère.","En cas de retard, nourrir provisoirement avec du lait 1er âge pour éviter l'hypoglycémie, sans arrêter la stimulation de l'allaitement."
"prématurité moyenne","Âge gestationnel de 32 à 36 SA et 6 jours.","Une catégorie incluant la prématurité tardive (35-36 SA)."
"grande prématurité","Âge gestationnel de 28 à 31 SA et 6 jours.","Nécessite souvent une alimentation parentérale initiale."
"très grande prématurité","Âge gestationnel de 22 à 27 SA et 6 jours.","Les fonctions digestives sont très immatures."
"sonde oro-gastrique","Tube introduit par la bouche jusqu'à l'estomac pour l'alimentation entérale.","Utilisée chez le prématuré pour administrer le lait maternel."
"tulipe","Dispositif permettant une alimentation passive (probablement une tétine ou système de gavage).","Le lait maternel peut être administré passivement par une tulipe."
"ADDFMS","Aliment Diététique Destiné à des Fins Médicales Spéciales.","Utilisé pour enrichir le lait maternel chez le prématuré de poids de naissance <1800g, apportant protéines, AGPI-LC, TCM, oligo-éléments."
"AGPI-LC","Acides Gras PolyInsaturés à Longue Chaîne.","Apportés par l'ADDFMS pour l'enrichissement du lait maternel chez le prématuré."
"TCM","Triglycérides à Chaîne Moyenne (MCT).","Apportés par l'ADDFMS."
"lait pré","Lait infantile spécialement formulé pour les prématurés.","Plus riche en calories, protéines, AGPI-LC et fer que le lait standard."
"quantité minimale trophique","Petite quantité de lait administrée pour stimuler la maturation intestinale sans surcharge.","Permet d'éviter l'atrophie villositaire chez le prématuré."
"PN","Poids de naissance.","Utilisé comme critère pour déterminer les quantités initiales d'alimentation chez le prématuré."
"résidu gastrique","Volume de lait restant dans l'estomac avant la tétée suivante.","Un résidu >50% de la quantité ingérée est un signe d'intolérance."
"alimentation parentérale","Nutrition administrée par voie intraveineuse.","Utilisée en première intention chez le grand et très grand prématuré, par voie centrale, apportant protéines, lipides, glucides et oligoéléments."
"SGH10%","Solution Glucosée Hypertonique à 10%.","La perfusion de SGH10% + électrolytes n'est pas une alimentation parentérale."
