"term","definition","contextual_explanation"
"Effet accordéon","Phénomène de rattrapage ou de complications après traitement rapide.","Le document mentionne : 'risque d'effet accordéon' après l'évolution rapide et la chimiosensibilité des cancers de l'enfant."
"Leucémies aiguës lymphoblastiques","Cancer hématologique malin touchant les précurseurs lymphoïdes.","Le document décrit sa présentation clinique : syndrome fébrile, syndrome tumoral, insuffisance médullaire, douleurs osseuses, atteinte neuro-méningée."
"Blastes","Cellules immatures anormales (précurseurs cancéreux) dans la moelle.","Document : 'Myélogramme (>30% de blastes)' pour le diagnostic de leucémie aiguë lymphoblastique."
"Lymphome malin non-hodgkinien","Cancer du tissu lymphoïde autre que la maladie de Hodgkin.","Le document cite le lymphome de Burkitt comme sous-type, avec masses ORL (maxillaires) et abdominales."
"Lymphome de Burkitt","Lymphome non-hodgkinien agressif, associé à EBV.","Document : 'LYMPHOME DE BURKITT++++ : masses ORL (maxillaires) et abdominales, diagnostic : biopsie'."
"Lymphome de Hodgkin","Cancer lymphoïde caractérisé par des cellules de Reed-Sternberg.","Document : adénopathies superficielles indolores, fermes, mobiles, peu compressives ; cellules de Reed-Sternberg à l'histologie."
"Cellules de Reed-Sternberg","Cellules géantes caractéristiques du lymphome de Hodgkin.","Leur présence à l'histologie confirme le diagnostic de lymphome de Hodgkin."
"Astrocytome (gliome de bas grade)","Tumeur cérébrale d'évolution lente, la plus fréquente chez l'enfant.","Document : 40% des tumeurs cérébrales de l'enfant."
"Médulloblastome","Tumeur cérébrale maligne de la fosse postérieure.","Document : 30% des tumeurs cérébrales de l'enfant, qualifiée de 'tumeur maligne'."
"Épendymome","Tumeur cérébrale développée à partir des cellules épendymaires.","Document : 8 à 10% des tumeurs cérébrales de l'enfant."
"HTIC","Hypertension intracrânienne.","Signe clinique des tumeurs cérébrales, associée à vomissements, céphalées récurrentes s'aggravant."
"Leucocorie","Reflet pupillaire blanc.","Signe ophtalmologique évocateur de rétinoblastome."
"Neuroblastome","Tumeur solide extracrânienne la plus fréquente chez l'enfant, d'origine sympathique.","Document : 6% des cancers de l'enfant, tumeurs abdominales ou thoraciques, diagnostic par catécholamines urinaires, MIBG, amplification N-myc."
"Néphroblastome (tumeur de Wilms)","Tumeur rénale embryonnaire.","Document : 6% des cancers, âge 2-4 ans, tumeur abdominale volumineuse, diagnostic clinique et échographique."
"Catécholamines urinaires","Métabolites des catécholamines (dopamine, noradrénaline) dosés dans les urines.","Marqueur tumoral du neuroblastome."
"Scintigraphie à la MIBG","Examen isotopique utilisant la métaiodobenzylguanidine.","Document : utilisé pour neuroblastome, recherche de localisations difficiles."
"Amplification de N-myc","Surexpression du gène N-myc, facteur pronostique.","Bilan du neuroblastome selon le document."
"Aniridie congénitale","Absence congénitale de l'iris.","Associée au néphroblastome dans les syndromes polymalformatifs."
"Syndrome de Li-Fraumeini","Prédisposition héréditaire dominante à multiples cancers (sarcomes).","Document : 'Dominant : rétinoblastome : 10%, syndrome de Li-Fraumeini et sarcome'."
"Neurofibromatose de Recklinghausen","Maladie génétique à prédisposition tumorale (neurofibromes, gliomes).","Document : syndrome pré-néoplasique héréditaire associé aux gliomes."
"Médullogramme","Examen du liquide médullaire (ponction sternale ou iliaque).","Document : utilisé pour diagnostic des leucémies et recherche d'extension du neuroblastome."
"Biopsie ostéo-médullaire (BOM)","Prélèvement d'os et de moelle pour analyse.","Document : pour rechercher l'extension du neuroblastome."
"PET-Scanner","Tomographie par émission de positons.","Document : utilisé dans l'évaluation de l'extension des cancers."
"Greffe de cellules souches","Transplantation de cellules souches hématopoïétiques.","Document : moyen curatif des cancers de l'enfant."
"Soins palliatifs","Prise en charge visant le confort sans visée curative.","Document : proposés en cas de cancer non curable, en hospitalisation, hôpital de jour ou domicile."
"Second cancer","Nouveau cancer apparaissant après traitement d'un premier cancer.","Document : complication après radiothérapies."
