question, option1, option2, option3, option4, answer, explanation, difficulty
"Quel examen systématique devant toute douleur pelvienne aiguë associée à des métrorragies ?", "Échographie pelvienne", "Dosage de la b-HCG", "CRP", "Prélèvement vaginal", "2", "Le document : 'Dosage de l'human Chorionic Gonadotrophin (hCG) : Systématique devant toute douleur pelvienne aiguë, surtout si associée à des métrorragies'", "Easy"
"La vaginite à quel germe est particulièrement douloureuse ?", "Candida albicans", "Trichomonas", "Chlamydia trachomatis", "Gardnerella vaginalis", "2", "Le document : 'Douleur ++ si vaginite à trichomonas'", "Easy"
"Quel syndrome est caractérisé par une rétrodéviation de l'utérus après un accouchement traumatique ?", "Syndrome de Sheehan", "Syndrome de Masters-Allen", "Syndrome de Turner", "Syndrome de Rokitansky", "2", "Le document : 'Rétrodéviation du syndrome de Master et Allen : notion d'accouchement traumatique'", "Easy"
"Quelle est la caractéristique de la douleur d'une torsion d'annexe ?", "Douleur chronique et pesanteur", "Douleur d'apparition brutale", "Douleur cyclique", "Douleur déclenchée par les repas", "2", "Le document : 'Complications : torsion (douleur d'apparition brutale avec notion de kyste : urgence !!!)'", "Easy"
"Quel examen est très utile à la fois diagnostique et opératoire pour les douleurs pelviennes chroniques ?", "IRM", "Scanner", "Coelioscopie", "Hystéroscopie", "3", "Le document : 'Coelioscopie : très utile (diagnostique et opératoire)'", "Easy"
"La tuberculose génitale se manifeste par quel type de douleur ?", "Douleur aiguë paroxystique", "Douleur modérée permanente à type de pesanteur", "Douleur post-prandiale", "Douleur positionnelle", "2", "Le document : 'Tuberculose génitale : Douleur modérée, permanente à type de pesanteur'", "Easy"
"Quel marqueur tumoral peut être dosé devant une suspicion de tumeur ovarienne ?", "ACE", "CA19-9 et CA125", "AFP", "β-HCG", "2", "Le document : 'CA125, CA19-9'", "Easy"
"Quelle infection est particulièrement responsable de douleurs pelviennes chroniques et de lésions tubaires ?", "Gonocoque", "Trichomonas", "Chlamydia", "Mycoplasma", "3", "Le document : '+++ infection à Chlamydia : douleurs pelviennes chroniques et lésions au niveau de la trompe'", "Easy"
"Dans le syndrome de Masters-Allen, quel ligament est déchiré ?", "Ligament rond", "Ligament large", "Ligament utéro-sacré", "Ligament cardinal", "2", "Le document : 'déchirure au niveau des ligaments larges'", "Easy"
"Quel examen confirme la tuberculose génitale ?", "CRP", "Biopsie de l'endomètre, culture du sang des règles, hystérosalpingographie", "Échographie endovaginale", "Dosage des β-HCG", "2", "Le document : 'Biopsie de l'endomètre, culture du sang des règles, hystérosalpingographie : confirmation'", "Easy"
"Les douleurs pelviennes dites 'essentielles' sont :", "D'origine infectieuse", "Sans substratum organique", "Toujours tumorales", "Secondaires à une malposition utérine", "2", "Le document : 'Douleurs dites essentielles : Sans substratum organique'", "Easy"
"Quelle est la dyspareunie liée à une épisiotomie douloureuse ?", "Dyspareunie profonde", "Dyspareunie superficielle (à l'intromission)", "Dyspareunie de présence", "Dyspareunie secondaire", "2", "Le document : 'Dyspareunie superficielles (à l'intromission) : Épisiotomie douloureuse'", "Easy"
"Le fibrome utérin se manifeste cliniquement par :", "Douleur aiguë", "Pesanteur pelvienne et métrorragies", "Leucorrhées purulentes", "Dyspareunie superficielle", "2", "Le document : 'Fibrome utérin : Pesanteur pelvienne si utérus volumineux, + métrorragie'", "Easy"
"Quel examen permet d'étudier la taille, le nombre et la topographie des fibromes ?", "IRM", "Scanner", "Échographie pelvienne", "Hystéroscopie", "3", "Le document : 'Examens complémentaires : échographie pelvienne (diagnostic, taille, nombre et topographie des fibromes)'", "Easy"
"Une masse latéro-utérine non solidaire de l'utérus évoque :", "Un fibrome", "Une tumeur ovarienne", "Un hématocolpos", "Une grossesse extra-utérine", "2", "Le document : 'masse latéro-utérine (non solidaire à l'utérus) (myome : solidaire)'", "Easy"
"Quelle est la complication aiguë d'un kyste ovarien ?", "Hémorragie", "Torsion ou rupture", "Infection", "Malignisation", "2", "Le document : 'Complications : torsion ou rupture'", "Easy"
"Dans le syndrome de Masters-Allen, la douleur pelvienne est :", "Aggravée par le décubitus", "Soulagée par la station debout", "Orthostatique, exagérée à la fatigue, soulagée par le décubitus", "Permanente sans aucun facteur", "3", "Le document : 'Douleur pelvienne orthostatique, exagérée à la fatigue, soulagée par le décubitus'", "Medium"
"Quelle est la dyspareunie profonde associée à une endométriose ?", "Dyspareunie superficielle", "Dyspareunie de présence", "Dyspareunie profonde", "Dyspareunie psychogène", "3", "Le document : 'Dyspareunie profonde : Endométriose'", "Easy"
"Quel est le traitement de la névralgie pudendale évoqué dans le document ?", "Anti-inflammatoires", "Antalgiques opioïdes", "Non précisé dans le document", "Chirurgie", "3", "Le document mentionne la névralgie mais pas son traitement", "Medium"
"La CRP et l'hyperleucocytose orientent vers quelle étiologie ?", "Tumorale", "Infectieuse", "Endométriosique", "Statique", "2", "Le document associe NFS et CRP au syndrome infectieux", "Medium"
"Quel est le principal antécédent chirurgical à rechercher dans les douleurs pelviennes chroniques ?", "Césarienne", "Appendicectomie", "Cholécystectomie", "Herniorraphie", "2", "Le document : 'Antécédent d'intervention chirurgicale sur le pelvis (appendicectomie)'", "Easy"
