question, answer, explanation, difficulty
"Le dosage de la b-HCG est systématique devant toute douleur pelvienne aiguë avec métrorragies.", True, "Le document : 'Dosage de l'human Chorionic Gonadotrophin (hCG) : Systématique devant toute douleur pelvienne aiguë, surtout si associée à des métrorragies'", "Easy"
"La vaginite à trichomonas est indolore.", False, "Le document : 'Douleur ++ si vaginite à trichomonas'", "Easy"
"Le syndrome de Masters-Allen survient après un accouchement traumatique.", True, "Le document : 'syndrome de Master et Allen : notion d'accouchement traumatique'", "Easy"
"La torsion d'un kyste ovarien se manifeste par une douleur d'apparition brutale.", True, "Le document : 'torsion (douleur d'apparition brutale avec notion de kyste : urgence !!!)'", "Easy"
"La coelioscopie n'a qu'un intérêt diagnostique, pas thérapeutique.", False, "Le document : 'Coelioscopie : très utile (diagnostique et opératoire)'", "Easy"
"La tuberculose génitale répond bien aux antibiotiques habituels.", False, "Le document : 'antibiotiques non spécifiques inefficaces'", "Easy"
"Le fibrome utérin se manifeste typiquement par des métrorragies et une pesanteur pelvienne.", True, "Le document : 'Fibrome utérin : Pesanteur pelvienne si utérus volumineux, + métrorragie'", "Easy"
"Une masse latéro-utérine solidaire de l'utérus évoque une tumeur ovarienne.", False, "Le document : 'myome : solidaire ; tumeur ovarienne : non solidaire'", "Medium"
"Le CA125 et CA19-9 sont des marqueurs utiles dans le bilan des tumeurs ovariennes.", True, "Le document : 'CA125, CA19-9'", "Easy"
"Dans le syndrome de Masters-Allen, la douleur est soulagée par la station debout.", False, "Le document : 'soulagée par le décubitus' – donc position allongée", "Medium"
"Les douleurs essentielles ont une cause organique clairement identifiée.", False, "Le document : 'Sans substratum organique'", "Easy"
"La dyspareunie superficielle est liée à une endométriose profonde.", False, "Le document : 'Dyspareunie superficielle : épisiotomie, atrophie vulvaire, vaginisme ; Dyspareunie profonde : endométriose'", "Medium"
"Chlamydia est une cause fréquente de douleurs pelviennes chroniques et de lésions tubaires.", True, "Le document : '+++ infection à Chlamydia : douleurs pelviennes chroniques et lésions au niveau de la trompe'", "Easy"
"La biopsie de l'endomètre permet de confirmer la tuberculose génitale.", True, "Le document : 'Biopsie de l'endomètre, culture du sang des règles, hystérosalpingographie : confirmation'", "Medium"
"L'IRM est l'examen de première intention devant une endométriose profonde suspectée.", True, "Le document : 'IRM : si suspicion d'endométriose profonde'", "Medium"
"Les douleurs pelviennes chroniques d'origine gynécologique sont principalement dues aux tumeurs malignes.", False, "Le document : 'Infections génitales chroniques +++' comme cause principale", "Medium"
"La cystite chronique fait partie des causes urologiques de douleurs pelviennes.", True, "Le document : 'Causes extragynécologiques : Urologique : cystite chronique'", "Easy"
"Le prolapsus génital se manifeste par une sensation de pesanteur sans trouble urinaire.", False, "Le document : 'Prolapsus génital : sensation de pesanteur + troubles urinaires'", "Medium"
"La névralgie pudendale est aggravée par la position assise prolongée.", True, "Le document : 'Névralgie du nerf honteux : douleur aggravée par une position assise prolongée'", "Medium"
"Un antécédent de primo-infection tuberculeuse doit être recherché dans les douleurs pelviennes chroniques.", True, "Le document : 'Notion de primo-infection tuberculeuse'", "Easy"
"La CRP et l'hyperleucocytose sont normales dans les infections génitales chroniques.", False, "Le document associe hyperleucocytose et syndrome infectieux", "Medium"
"Le syndrome de Masters-Allen associe une rétrodéviation utérine et une dyspareunie profonde.", True, "Le document : 'Rétrodéviation, dyspareunie profonde'", "Medium"
"L'appendicectomie est un antécédent chirurgical à rechercher systématiquement.", True, "Le document : 'Antécédent d'intervention chirurgicale sur le pelvis (appendicectomie)'", "Easy"
"Les douleurs pelviennes essentielles sont diagnostiquées précocement par l'IRM.", False, "Document : diagnostic d'élimination, pas de signe IRM", "Medium"
"Une endométrite post-curetage peut être responsable de douleurs pelviennes chroniques.", True, "Le document : 'après un curetage (synéchies, endométrite)'", "Medium"
"La pesanteur pelvienne est un symptôme typique des fibromes et des kystes volumineux.", True, "Le document pour fibrome et tumeurs ovariennes", "Easy"
"Les infections vulvo-vaginales sont rarement associées à une infection pelvienne haute.", False, "Le document : 'Souvent associées à une infection plus haute'", "Medium"
"La culture du sang des règles contribue au diagnostic de tuberculose génitale.", True, "Le document : 'culture du sang des règles' pour confirmation", "Difficult"
"Le vaginisme est une cause de dyspareunie superficielle.", True, "Le document : 'Dyspareunie superficielles : Vaginisme'", "Easy"
"La prise en charge des douleurs essentielles repose sur la chirurgie exploratrice.", False, "Document : 'prise en charge psychologique'", "Medium"
