"question","answer","explanation","difficulty"
"La maladie de Crohn est une maladie infectieuse.","False","C'est une maladie inflammatoire chronique auto-entretenue, sans étiologie infectieuse identifiée.","Easy"
"La maladie de Crohn atteint tout le tractus digestif de la bouche à l'anus.","True","Document.","Easy"
"La maladie de Crohn est plus fréquente en Europe du Sud qu'en Europe du Nord.","False","Plus fréquente au Nord.","Easy"
"La maladie de Crohn est rare à Madagascar.","True","Document.","Easy"
"Le gène CARD15 (NOD2) est un gène de susceptibilité pour la maladie de Crohn.","True","Document.","Easy"
"La mutation CARD15 est présente chez 80% des patients atteints de maladie de Crohn.","False","Présente chez 20% des patients.","Easy"
"Le tabagisme actif diminue le risque de maladie de Crohn.","False","Augmente le risque.","Easy"
"L'exposition solaire a un effet protecteur contre la maladie de Crohn.","True","Document.","Easy"
"Le syndrome de Koenig est typique de l'atteinte colique.","False","Typique de l'atteinte iléale (sténose).","Easy"
"L'érythème noueux est une manifestation cutanée de la maladie de Crohn.","True","Document.","Easy"
"La spondylarthrite ankylosante peut être associée à la maladie de Crohn.","True","Document.","Easy"
"La coloscopie totale est l'examen de référence pour le diagnostic de la maladie de Crohn.","True","Document.","Easy"
"Les lésions endoscopiques de la maladie de Crohn sont continues sans intervalle sain.","False","Discontinues avec intervalles de muqueuse saine.","Easy"
"Le granulome épithélioïde sans nécrose caséeuse est évocateur de maladie de Crohn.","True","Document.","Easy"
"La maladie de Crohn évolue par poussées et rémissions.","True","Document.","Easy"
"Les fistules sont une complication fréquente de la maladie de Crohn.","True","Document.","Easy"
"L'index de Harvey Bradshaw (HBI) comporte 8 critères.","False","5 critères.","Easy"
"Le CDAI (Index de Best) est évalué sur une période de 7 jours.","True","Document.","Easy"
"Un score CDAI < 150 définit une maladie inactive.","True","Document.","Easy"
"L'atteinte iléo-colique représente 50% des cas.","True","Document.","Easy"
"L'atteinte iléale isolée représente 30% des cas.","True","Document.","Easy"
"L'atteinte colique isolée représente 20% des cas.","True","Document.","Easy"
"La carence en vitamine D augmente le risque de maladie de Crohn.","True","Document.","Easy"
"Une alimentation riche en végétaux est protectrice.","True","Document (alimentation pauvre en végétaux est un risque).","Medium"
"Les lésions ano-périnéales révèlent la maladie de Crohn dans 1/3 des cas.","True","Document.","Medium"
"L'uvéite peut entraîner une cécité si non traitée.","True","Document.","Medium"
"La TDM abdominale est l'examen de choix pour les abcès.","True","Document.","Medium"
"L'IRM abdominale permet une cartographie des lésions.","True","Document.","Medium"
"La biopsie étagée avec intervalles sains est caractéristique de la maladie de Crohn.","True","Document.","Medium"
