"term","definition","contextual_explanation"
"Macrobiote humaine","Groupe de microorganismes (bactéries, champignons, virus) vivant en symbiose avec l’hôte humain.","Présent dans les parties du corps en contact avec l’épithélium : tractus digestif, voies respiratoires, appareil urogénital, peau."
"Flore commensale","Flore bactérienne résidente permanente, non pathogène, au niveau de la couche superficielle de la peau et des annexes pilaires.","Elle protège l’hôte contre les bactéries pathogènes par compétition et induction de l’immunité."
"Bactériocines","Substances antibactériennes sécrétées par certaines bactéries.","La flore commensale sécrète des bactériocines pour inhiber les germes pathogènes."
"Peptides antimicrobiens (AMP)","Molécules produites par les kératinocytes (cathélicidines, défensines, dermcidines, psoriasine).","Participent à la défense biochimique de la peau contre les infections."
"IL-17","Interleukine 17, cytokine pro-inflammatoire.","La flore commensale induit l’expression d’IL-17 par les lymphocytes T, contribuant à l’immunité protectrice."
"Staphylocoque doré","Staphylococcus aureus, bactérie pathogène Gram+ cocci.","Principal germe des infections cutanées superficielles (impétigo, furoncle, anthrax, SSSS). Également germe de la flore transitoire."
"Streptocoque bêta-hémolytique du groupe A","Streptococcus pyogenes.","Responsable de l’impétigo (associé au staph), de l’érysipèle (85% des cas), de la glomérulonéphrite aiguë post-streptococcique et de la gangrène streptococcique."
"Impétigo","Infection cutanée superficielle de l’épiderme, très contagieuse, de l’enfant ≤10 ans.","Lésions : bulles flasques, pustules, croûtes jaunâtres méllicériques (en miel). Prurit modéré, adénopathies satellites, sans fièvre."
"Crôutes méllicériques","Croûtes de couleur jaune miel, caractéristiques de l’impétigo.","Issues de la dessiccation du suintement séreux ou purulent."
"Ecthyma","Forme d’impétigo creusante, crouteuse, suintante des membres inférieurs.","Due à l’action de toxines bactériennes."
"SSSS (staphylococcal scaled skin syndrome)","Syndrome de la peau ébouillantée staphylococcique.","Toxine exfoliante (exfoliatines A et B) chez le nourrisson ou enfant : AEG, fièvre, choc, bulles, desquamation étendue. Prise en charge en réanimation."
"Glomérulonéphrite aiguë post-streptococcique","Complication rénale survenant 3 semaines après un impétigo à souche néphritogène (type M).","Jamais de rhumatisme articulaire aigu. Diagnostic par protéinurie des 24h ou bandelette urinaire."
"Furoncle","Infection bactérienne superficielle du follicule pilo-sébacé à staphylocoque doré.","Peut se compliquer en anthrax ou furonculose."
"Anthrax","Agglomérat de furoncles formant un placard inflammatoire hyperalgique parsemé de pustules, avec fusées purulentes sous-jacentes, fièvre et adénopathies.","Siège préférentiel : cou, dos."
"Furonculose","Répétition chronique d’épisodes de furoncles sur plusieurs mois.","Facteurs favorisants : diabète, surmenage, déficit immunitaire, carence martiale, obésité, hypersudation, foyers staphylococciques."
"Hidrosadénite","Infection des glandes sudorales axillaires ou génito-pubiennes.","Diagnostic différentiel du furoncle."
"Erysipèle","Dermohypodermite aiguë bactérienne non nécrosante, fébrile, due au streptocoque bêta-hémolytique groupe A (parfois B,C,G).","Adulte >40 ans, membre inférieur +++ ou visage. Porte d’entrée : plaie, intertrigo."
"Dermohypodermite aiguë bactérienne non nécrosante","Infection aiguë du derme et de l’hypoderme sans nécrose.","Terme synonyme de l’érysipèle dans le document."
"Bourrelet périphérique","Bord surélevé et inflammatoire d’un placard d’érysipèle.","Signe clinique caractéristique de l’érysipèle."
"Signe de Homans","Douleur à la dorsiflexion du pied, évocatrice de phlébite.","Diagnostic différentiel de l’érysipèle du membre inférieur."
"Staphylococcie maligne de la face","Complication grave d’un furoncle centro-facial manipulé, avec thrombophlébite du sinus caverneux.","Diagnostic différentiel de l’érysipèle du visage."
"Gangrène streptococcique","Infection nécrotique extensive d’un membre due à une souche très virulente de streptocoque A (sérotypes M1 et M3).","Survient sur terrain débilité ou diabétique, après effraction cutanée minime."
"Sérotypes M1 et M3","Souches de streptocoque A hautement virulentes sécrétant des toxines.","Associées au choc toxique staphylococcique et à la gangrène streptococcique."
"Acide fucidique","Antibiotique topique utilisé dans l’impétigo et les infections folliculaires.","Crème, application locale."
"Mupirocine","Antibiotique topique utilisé contre le staphylocoque et le streptocoque.","Crème pour impétigo et furoncles."
"Pénicilline M","Pénicilline du groupe M (méticilline ou apparentée).","Antibiotique général pour impétigo, furoncle, érysipèle."
"Synergistine","Association d’antibiotiques (streptogramines).","Utilisée par voie générale dans les infections cutanées bactériennes."
"Protéinurie des 24h","Recueil des urines sur 24h pour quantifier les protéines.","Recommandée à J21 après un impétigo pour dépister une glomérulonéphrite aiguë."
"Bandelette urinaire","Test rapide urinaire.","Utilisée pour détecter une protéinurie après impétigo."
"Chlorhexidine","Antiseptique.","Utilisée en douche quotidienne dans la furonculose pour décolonisation."
