"term","definition","contextual_explanation"
"diarrhée aiguë","Augmentation brutale de la fréquence et du volume des selles depuis moins de 3 jours, avec modification de la consistance (molles, liquides, afécales), abondance, nature et aspect (glaire, sang, pus).","Définition OMS. Augmentation de la teneur en eau et électrolytes. Principaux risques : déshydratation et dénutrition."
"syndrome dysentérique","Selles glairo-sanglantes, fièvre, épreintes (douleur à l’exonération) et ténesmes (fausses envies).","Forme clinique de diarrhée aiguë."
"syndrome cholériforme","Diarrhée aqueuse profuse.","Forme clinique de diarrhée aiguë."
"épreintes","Douleur à l’exonération (émission des selles).","Signe du syndrome dysentérique."
"ténesmes","Fausses envies d’aller à la selle.","Signe du syndrome dysentérique."
"processus sécrétoire","Mécanisme diarrhéique : entérotoxines → AMPc/GMPc → perturbations transports ioniques → sortie Cl- augmentée, entrée NaCl diminuée.","Physiopathologie de la diarrhée."
"processus lésionnel","Mécanisme diarrhéique : cytotoxines → destruction sommets villositaires (baisse réabsorption) → prédominance cellules cryptiques sécrétoires → diarrhée liquidienne.","Physiopathologie."
"diarrhée osmotique","Diarrhée par malabsorption.","Conséquence d’une diarrhée sécrétoire : diminution de l’absorption des nutriments (lactose)."
"déshydratation minime","Perte de poids inférieure à 5% du poids corporel, sans traduction clinique.","Classification des déshydratations."
"déshydratation modérée","Perte de poids entre 5 et 10% + signes cliniques de déshydratation.","Signes évidents : agité/irritable, yeux enfoncés, boit avidement/assoiffé, pli cutané s’efface lentement."
"déshydratation sévère","Perte de poids >10% + signes marqués +/- risque de choc.","Critères (≥2) : léthargique/inconscient, yeux enfoncés, incapable de boire/difficilement, pli cutané persiste >3 secondes."
"pli cutané","Test de turgescence cutanée (abdomen, transversal, pincer 3 cm, compter 3 secondes).","Persistance du pli >3 secondes signe de déshydratation sévère. À différencier des plis de dénutrition."
"tachycardie","Fréquence cardiaque élevée.","Premier signe de choc dans la déshydratation."
"fontanelle déprimée","Enfoncement de la fontanelle antérieure.","Signe de déshydratation chez le nourrisson."
"hypotonie oculaire","Diminution du tonus des globes oculaires (yeux mous).","Signe de déshydratation."
"oligurie","Diminution du volume urinaire.","Signe de déshydratation."
"rotavirus","Virus responsable de diarrhée aiguë.","Cause virale fréquente, selles aqueuses, âge <18 mois, saisons froides, épidémie."
"Escherichia coli entérotoxinogène","Bactérie produisant des entérotoxines.","Cause bactérienne de diarrhée liquide."
"vibrio cholerae","Bactérie responsable du choléra.","Cause bactérienne de diarrhée aqueuse profuse (syndrome cholériforme)."
"salmonelle","Bactérie.","Cause de selles glairo-sanglantes. Risque de septicémie, méningite, ostéo-arthrite."
"shigelle","Bactérie.","Cause de selles glairo-sanglantes, à tropisme neurologique."
"campylobacter jejuni","Bactérie.","Cause de selles glairo-sanglantes."
"yersinia","Bactérie.","Cause de selles glairo-sanglantes."
"cryptosporidies","Parasite.","Cause de diarrhée chez l’enfant VIH+ (immunodéprimé)."
"lambliase (giardiase)","Parasite intestinal (Giardia intestinalis).","Cause parasitaire, survenant surtout en cas de déficit en IgA."
"entamoeba histolytica","Parasite responsable de l’ambiase.","Cause parasitaire de diarrhée glairo-sanglante."
"schistosoma","Ver parasite (bilharziose).","Cause parasitaire de diarrhée."
"diarrhée parentérale","Diarrhée survenant au cours d’une infection extra-digestive.","Infections ORL, respiratoire, urinaire, méningée."
"fausse diarrhée des constipés","Émission de selles liquides chez un patient constipé par liquéfaction des selles dures.","Autre cause non infectieuse."
"SRO","Soluté de réhydratation orale.","Contient électrolytes (Na, K, Cl), bicarbonates/citrates, glucides. Utilisé dans les plans A et B de réhydratation."
"zinc","Oligoélément.","Effets : booster immunitaire, anti-sécréteur, anti-oxydatif. Réduit durée et gravité de la diarrhée. Posologie : 2-6 mois : 1/2 cp/j (10mg) ; 6 mois-5 ans : 1 cp/j, pendant 10 jours."
"racécadotril (TIORFAN)","Médicament inhibiteur de l’hypersécrétion.","Diminue débit des selles, durée de la diarrhée et consommation de SRO."
"probiotiques","Micro-organismes vivants bénéfiques pour la flore intestinale (Lacteol Fort, Ultralevure).","Diminuent significativement la durée de la diarrhée."
"agents intraluminaux","Smecta, Actapulgite.","Modifient l’aspect des selles mais pas d’action sur le processus sécrétoire. Effet purement symptomatique, inutiles."
"antiseptiques intestinaux","Ercefuryl, Panfurex.","Inutiles, voire dangereux dans la diarrhée aiguë."
"lopéramide (Imodium)","Inhibiteur de la motricité intestinale.","Dangereux : effets indésirables sur le SNC. Ne pas utiliser."
"Plan A de réhydratation","Déshydratation minime ou sans signe clinique.","SRO à la cuillère ou gobelet : 10 ml/kg par selle molle/liquide en petites quantités fractionnées."
"Plan B de réhydratation","Déshydratation modérée (signes évidents).","SRO à la cuillère/gobelet ou SNG : 75 ml/kg en 4 heures."
"Plan C de réhydratation","Déshydratation sévère.","Réhydratation IV : nourrisson <12 mois : 30 ml/kg en 1h puis 70 ml/kg en 5h ; enfant 12 mois-5 ans : 30 ml/kg en 30 min puis 70 ml/kg en 2h30. Total 100 ml/kg en 6h. Si IV impossible : SNG 20 ml/kg/h pendant 6h."
"SNG","Sonde nasogastrique.","Utilisée pour la réhydratation orale si IV impossible (gastroclyse)."
"réalimentation précoce","Reprise de l’alimentation au bout de 4 heures.","But : prévenir la dénutrition."
