"front","back","cognitive_level"
"Quelle est la définition d’une grossesse gémellaire ?","Développement simultané de deux (gémellaire ++++) ou plusieurs embryons dans la cavité utérine.","Recall"
"Quels sont les deux types de grossesses gémellaires ?","Biovulaire (dizygote) ou uniovulaire (monozygote ++++).","Recall"
"Pourquoi les grossesses multiples sont-elles de plus en plus fréquentes ?","En raison de l’âge maternel élevé et des techniques de procréation médicale assistée (deux ovaires produisent en même temps des ovocytes).","Recall"
"Pourquoi la grossesse gémellaire doit-elle être considérée comme une grossesse à risque élevé ?","En raison d’une morbidité et mortalité fœtales élevées, liées à la surdistension utérine et à la compression de l’aorte (pouvant entraîner une HTA).","Recall"
"Comment se forme une grossesse gémellaire dizygote ?","Deux ovules (issus d’un même cycle) sont fécondés chacun par un spermatozoïde distinct (au cours d’un même coït ou de deux coïts successifs).","Recall"
"Quel rôle joue la FSH dans les grossesses dizygotes ?","L’élévation du taux plasmatique de FSH endogène en période folliculaire et ovulatoire, ou exogène lors de traitement inducteur d’ovulation, entraîne une maturation simultanée de plusieurs follicules (dizygote).","Understanding"
"Quelle est la particularité des sexes dans une grossesse dizygote ?","Les jumeaux peuvent être de sexes différents.","Recall"
"Quel est le type placentaire d’une grossesse dizygote ?","Toujours bi-choriale bi-amniotique : chaque œuf a son propre placenta et son sac membraneux complet.","Recall"
"Y a-t-il des anastomoses vasculaires entre les deux circulations dans une grossesse dizygote ?","Non, pas d’anastomose entre les vaisseaux des deux circulations.","Recall"
"Comment se forme une grossesse gémellaire monozygote ?","Fécondation d’un ovocyte donnant un embryon, qui se dédouble secondairement.","Recall"
"Quel est le type placentaire si le dédoublement a lieu avant le 3ème jour ?","Bichoriale biamniotique.","Recall"
"Quel est le type placentaire si le dédoublement a lieu entre le 3ème et le 7ème jour ?","Monochoriale biamniotique (+++).","Recall"
"Quel est le type placentaire si le dédoublement a lieu entre J8 et la 2ème semaine ?","Monochoriale monoamniotique.","Recall"
"Quel est le type placentaire si le dédoublement a lieu après la 2ème semaine ?","Siamois (jumeaux conjoints).","Recall"
"Dans la grossesse monochoriale biamniotique, de quoi est constituée la cloison de séparation des deux œufs ?","De deux amnios (cloison fine à 2 feuillets).","Recall"
"Quel est le risque spécifique de la grossesse monochoriale biamniotique ?","Présence d’anastomoses vasculaires entre les 2 placentas → syndrome transfuseur-transfusé.","Recall"
"Quel est le risque spécifique de la grossesse monochoriale monoamniotique ?","Placenta unique, aucune cloison ne sépare les fœtus → risque d’accrochage des fœtus (membres, cordons ombilicaux).","Recall"
"De quoi est constituée la cloison dans une grossesse bichoriale biamniotique ?","Cloison épaisse à 4 feuillets (2 chorions, 2 amnios).","Recall"
"Quels sont les facteurs de risque de la grossesse gémellaire monozygote ?","Inconnue (étiologie). Âge maternel : < 18 ans et > 35 ans.","Recall"
"Citez cinq facteurs de risque des grossesses multiples.","1) Ethnie noire (+++). 2) Âge maternel extrême. 3) Multiparité. 4) Grossesse induite (Clomifène). 5) Antécédents familiaux (génotype féminin) – pour les dizygotes.","Recall"
"Quels sont les facteurs de risque spécifiques de la grossesse gémellaire dizygote ?","1) Ethnie : Africain (Nigéria +++) > caucasien > asiatiques. 2) Âge maternel élevé. 3) Antécédents familiaux par l’intermédiaire du génotype féminin. 4) Multiparité. 5) Traitement de la stérilité (grossesse médicalement induite).","Recall"
"Quels signes sympathiques de grossesse sont augmentés dans les grossesses multiples ?","Pollakiurie, hypersalivation, mastodynie, troubles du caractère, nausées et vomissements matinaux.","Recall"
"Quel signe clinique majeur oriente vers une grossesse multiple ?","Hauteur utérine augmentée par rapport à l’âge présumé de la grossesse.","Recall"
"Quel dosage biologique oriente vers une grossesse multiple ?","Dosage du β-hCG plasmatique : élévation importante.","Recall"
"À quel stade l’échographie peut-elle diagnostiquer une grossesse multiple ?","Dès la 7ème semaine d’aménorrhée (plusieurs sacs embryonnaires) et permet de déterminer le type anatomique.","Recall"
