"question_id","question","answer"
"HING-QA-01","Quelles sont les caractéristiques cliniques d'une hernie inguinale réductible ?","Voussure impulsive, non douloureuse, réductible, transillumination négative"
"HING-QA-02","Quel est le risque principal d'une hernie étranglée prolongée ?","Nécrose intestinale et ischémie testiculaire"
"HING-QA-03","Quel examen est parfois utilisé pour différencier une hernie d'un kyste du cordon ?","Échographie abdominale"
"HING-QA-04","Quelle est la prise en charge immédiate d'une hernie étranglée sans péritonite ?","Réduction médicale assistée avec sédation et glace"
"HING-QA-05","Pourquoi la chirurgie est-elle recommandée même pour une hernie non compliquée ?","Pour prévenir le risque d’étranglement et de nécrose testiculaire"
"HING-QA-06","Quels signes suggèrent un étranglement herniaire ?","Masse permanente, douloureuse, non réductible, possible occlusion"
"HING-QA-07","Comment se définit une hernie inguino-scrotale ?","Hernie atteignant le scrotum, impulsive, réductible"
"HING-QA-08","Quels enfants présentent le plus haut risque d’étranglement ?","Les nourrissons de moins de 6 mois"
"HING-QA-09","Quelle technique est interdite pour traiter une hernie ?","Bandage ou ceinture herniaire"
"HING-QA-10","Quels sont les éléments de la réduction médicale assistée ?","Sédation, application de glace, chambre calme, présence d’un parent"
