"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quel est l'agent responsable de la rougeole ?","Virus respiratoire syncytial","Paramyxovirus","Herpès virus","Adénovirus","2","Document: 'Agent : paramyxovirus'","Easy"
"Quelle est la durée d'incubation de la rougeole ?","5 à 7 jours","10 à 12 jours","14 à 16 jours","20 à 25 jours","2","Document: 'Incubation : 10 à 12 jours'","Easy"
"Quel est le signe pathognomonique de la phase d'invasion de la rougeole ?","Signe de Koplik","Signe de Köhler","Signe de Brudzinski","Signe de Kernig","1","Document: 'Énanthème pathognomonique : signe de Köplik'","Easy"
"Quelle est la durée de contagiosité de la rougeole ?","5 jours avant et 5 jours après l'éruption","1 jour avant et 7 jours après","10 jours avant et 10 jours après","Pendant l'incubation uniquement","1","Document: 'Contagiosité : 5 j avant le début de l'éruption et 5 j après'","Easy"
"Quelle est la localisation initiale de l'éruption cutanée dans la rougeole ?","Le tronc","Derrière les oreilles","Le visage","Les membres inférieurs","2","Document: 'Début derrière les oreilles puis extension descendante'","Easy"
"Quel est le traitement préventif spécifique de la rougeole ?","Antibiotiques","Vitamine A","Vaccination","Immunoglobulines","3","Document: 'Prévention : Vaccination : 2 doses de VAR avant 2 ans'","Easy"
"Quelle est la dose de vitamine A recommandée chez un enfant de plus de 12 mois pour prévenir les complications de la rougeole ?","50 000 UI","100 000 UI","200 000 UI","400 000 UI","3","Document: 'Vitamine A (... <12 mois : 100.000 UI, 200.000UI pour les >12'","Easy"
"Quelle est la fréquence de l'encéphalite aiguë morbilleuse post-éruptive ?","1/1000","1/500","1/10 000","1/100 000","1","Document: 'Encéphalite aiguë morbilleuse précoce post-éruptive (1/1000)'","Easy"
"Quel examen biologique permet la confirmation diagnostique de la rougeole ?","NFS","PCR","CRP","Sérologie VIH","2","Document: 'Diagnostic direct par PCR ; Confirmation biologique'","Medium"
"Quelle est la durée de la phase éruptive de la rougeole ?","1-2 jours","3-4 jours","5-6 jours","7-10 jours","3","Document: 'Régression en 5-6j'","Medium"
"Quel est le délai de survenue de la panencéphalite sclérosante subaiguë après une rougeole ?","1 à 2 mois","1 à 2 ans","5 à 10 ans","15 à 20 ans","3","Document: 'Panencéphalite sclérosante subaiguë de survenue retardée (5 à 10 ans) après la rougeole'","Medium"
"Quel est le principal risque des ulcérations buccales au cours de la rougeole ?","Déshydratation","Hémorragie","Perte de dents","Asphyxie","1","Document: 'Ulcérations buccales (ne peuvent pas s'alimenter : déshydratation)'","Medium"
"Quelle est la durée de la phase d'invasion (catarrhale) de la rougeole ?","1 jour","2 à 4 jours","5 à 7 jours","8 à 10 jours","2","Document: 'Durée : 2 à 4 jours'","Medium"
"Quel est le mode de transmission du virus de la rougeole ?","Transfusion sanguine","Voie aérienne directe","Contact cutané","Alimentation","2","Document: 'Transmission directe par voie aérienne'","Easy"
"Un enfant de 10 mois non vacciné présente une rougeole. Quelle est la conduite concernant l'éviction scolaire ?","Pas d'éviction","Éviction pendant 5 jours après le début de l'éruption","Éviction pendant 10 jours","Éviction jusqu'à guérison","2","Document: 'Éviction scolaire des cas confirmés pendant 5 j après le début de l'éruption'","Difficult"
"Quel est le mécanisme des surinfections pulmonaires bactériennes dans la rougeole ?","Diffusion virale directe","Immunosuppression post-infectieuse","Allergie","Embolie","2","Document: 'Surinfections pulmonaires bactériennes' (liée à l'immunodépression induite par le virus)","Difficult"
