"term","definition","contextual_explanation"
"Rougeole","Maladie virale éruptive due à un paramyxovirus.","Transmission directe par voie aérienne, incubation 10-12 jours, contagiosité 5j avant et 5j après l'éruption, immunité durable."
"Paramyxovirus","Famille de virus à ARN.","Agent causal de la rougeole."
"Incubation","Période entre la contamination et l'apparition des premiers signes.","Pour la rougeole : 10 à 12 jours."
"Contagiosité","Capacité à transmettre la maladie.","Rougeole : 5 jours avant le début de l'éruption et 5 jours après."
"Phase d'invasion (catarrhale ou pré-éruptive)","Première phase clinique de la rougeole.","Fièvre élevée, catarrhe oculo-respiratoire (larmoiement, conjonctivite, rhinorrhée, toux), énanthème pathognomonique : signe de Köplik. Durée 2-4 jours."
"Catarrhe oculo-respiratoire","Inflammation des muqueuses oculaires et respiratoires avec sécrétions.","Signe de la phase d'invasion de la rougeole."
"Signe de Köplik","Tâches punctiformes blanches bleutées sur une muqueuse jugale inflammatoire.","Énanthème pathognomonique de la rougeole."
"Énanthème","Éruption sur les muqueuses.","Le signe de Köplik est un énanthème."
"Phase éruptive","Phase d'apparition de l'éruption cutanée.","Débute environ 2 semaines après le contage. Exanthème maculopapuleux non prurigineux, début derrière les oreilles puis extension descendante en une seule poussée en 24-48h, régression en 5-6j."
"Exanthème maculopapuleux","Éruption cutanée faite de macules et de papules.","Non prurigineux dans la rougeole."
"Encéphalite aiguë morbilleuse précoce post-éruptive","Inflammation aiguë du cerveau survenant peu après l'éruption.","Complication neurologique de la rougeole (1/1000), se manifestant par convulsions et état comateux."
"Panencéphalite sclérosante subaiguë (PESS)","Encéphalite chronique progressive due au virus de la rougeole persistant.","Survient 5 à 10 ans après la rougeole, complication neurologique rare mais grave."
"Surinfection bactérienne","Infection bactérienne surajoutée à une infection virale.","Complication de la rougeole : pneumopathies, otites moyennes aiguës purulentes."
"PCR","Polymerase Chain Reaction (réaction de polymérisation en chaîne).","Diagnostic direct de la rougeole."
"Vitamine A","Vitamine liposoluble.","Traitement de la rougeole pour éviter les complications : <12 mois 100.000 UI, >12 mois 200.000 UI."
"Désobstruction rhino-pharyngée (DRP)","Nettoyage des voies nasales et de la gorge.","Mesure de traitement symptomatique de la rougeole."
"VAR","Vaccin anti-rougeoleux.","2 doses avant 2 ans, conférant une immunité à vie."
"Déclaration obligatoire","Obligation légale de signaler un cas de maladie infectieuse.","La rougeole fait l'objet d'une déclaration obligatoire."
"Éviction scolaire","Mesure d'éloignement d'un enfant de l'école pour éviter la transmission.","Pour les cas confirmés de rougeole : 5 jours après le début de l'éruption."
