"question","answer","explanation","difficulty"
"Quelle est la définition complète de l'hyponatrémie selon le document ?","Natrémie < 135 mmol/l associée à une hypo-osmolalité plasmatique. L'hyponatrémie est sévère si natrémie < 125 mmol/l ou symptomatique.","Le document donne cette définition.","Easy"
"Quels sont les trois paramètres d'évaluation de l'hyponatrémie selon le 'take home' ?","1) Trois paramètres d'évaluation ; 2) Risque hyperhydratation intracellulaire neurologique ; 3) Si sévère ou symptomatique -> correction active ; 4) Restriction hydrique.","Le document résume ces points.","Easy"
"Expliquez le gradient osmolaire dans l'hyponatrémie hypotonique.","Hypo-osmolalité plasmatique (bas Na) → gradient entre LIC (osmolalité normale grâce au K+) et LEC → mouvement d'eau du LEC vers LIC → hyperhydratation intracellulaire (œdème cellulaire).","Le document explique ce mécanisme.","Medium"
"Quelle est l'importance de la vitesse d'installation de l'hyponatrémie sur la symptomatologie ?","La symptomatologie dépend de la vitesse d'installation et non de la valeur absolue de la natrémie. Une installation rapide provoque des signes neurologiques sévères même pour des valeurs modérées.","Le document précise ce point.","Medium"
"Quels sont les trois types d'hyponatrémie selon la tonicité plasmatique et leurs conséquences sur l'hydratation cellulaire ?","1) Isotonique (pseudohyponatrémie) : pas de trouble cellulaire ; 2) Hypertonique (fausse hyponatrémie par hyperglycémie) : déshydratation intracellulaire ; 3) Hypotinique (vraie hyponatrémie) : hyperhydratation intracellulaire.","Le document distingue ces trois types.","Medium"
"Quelles sont les trois causes d'hyponatrémie avec VEC normal (capital sodé normal) ?","SSIADH, potomanie, endocriniennes (insuffisance surrénalienne, hypothyroïdie), thiazidiques.","Le document liste ces causes.","Medium"
"Quelles sont les quatre causes d'hyponatrémie avec VEC augmenté et natriurèse > 20 mmol/l ?","IRA oligurique, soluté hypotonique iatrogène.","Le document liste deux causes.","Medium"
"Quelles sont les quatre causes d'hyponatrémie avec VEC augmenté et natriurèse < 20 mmol/l ?","Œdèmes généralisés (cardiaques, rénaux, hépatiques), iatrogènes, dénutrition grave, grossesse.","Le document liste ces causes.","Medium"
"Quelles sont les quatre causes d'hyponatrémie avec VEC diminué et natriurèse > 20 mmol/l ?","Diurétiques, Cerebral Salt Waisting Syndrome, insuffisance surrénalienne, néphropathie à perte de sel.","Le document liste ces causes.","Medium"
"Quelles sont les deux causes d'hyponatrémie avec VEC diminué et natriurèse < 20 mmol/l ?","Pertes gastro-intestinales, pertes cutanées (brûlures, sudation).","Le document liste ces causes.","Medium"
"Quels sont les risques respectifs d'une correction trop lente et trop rapide de l'hyponatrémie ?","Trop lente : risque d'œdème cérébral (aggravation de l'hyperhydratation intracellulaire). Trop rapide : risque de myélinolyse centropontine (démyélinisation du pont).","Le document précise ces deux risques.","Medium"
"Quels sont les objectifs de correction d'une hyponatrémie sévère ou symptomatique ?","Correction active de 2 à 4 mmol/l en 2 à 4h jusqu'à disparition des signes neurologiques. Limites : <10 mmol/l en 24h et <18 mmol/l en 48h.","Le document détaille ces objectifs.","Medium"
"Quel est le traitement de l'hyponatrémie selon l'état volémique ?","VEC augmenté : restriction hydrique d'abord ; VEC diminué : réhydratation isotonique ; VEC normal : traitement étiologique (SSIADH, etc.).","Le document donne ces indications.","Medium"
"Quelle est la différence entre une hyponatrémie hypotonique vraie et une pseudohyponatrémie isotonique ?","Hyponatrémie hypotonique : hypo-osmolalité réelle avec hyperhydratation cellulaire. Pseudohyponatrémie : hyperprotidémie ou hyperlipidémie faussant la mesure du sodium, osmolalité normale, pas de trouble cellulaire.","Le document distingue ces deux entités.","Difficult"
