"term","definition","contextual_explanation"
"hémorragies néonatales","Saignements survenant chez le nouveau-né, de causes variables.","Accident relativement fréquent pouvant être prévenu, avec des formes de gravité variables."
"bosse séro-sanguine","Hématome du cuir chevelu du nouveau-né, sans dépasser les sutures.","Manifestation hémorragique mineure liée aux circonstances de l’accouchement (accouchement dystocique)."
" céphalhématome","Hématome situé entre le périoste et l’os du crâne, ne franchissant pas les sutures.","Manifestation mineure post-accouchement dystocique."
"hémorragie sous-conjonctivale","Saignement sous la conjonctive oculaire.","Manifestation mineure."
"ecchymose","Bleu – extravasation sanguine dans le derme.","Limitée à la face, manifestation mineure."
"pétéchies","Petites taches cutanées hémorragiques punctiformes.","Peuvent être limitées à la face (mineures) ou généralisées (thrombopénie)."
"purpura généralisé","Hémorragies cutanées diffuses non effaçables à la vitropression.","Hémorragie cutanéo-muqueuse majeure."
"épistaxis","Saignement du nez.","Hémorragie majeure cutanéo-muqueuse."
"hémorragie ombilicale","Saignement persistant au niveau du cordon ombilical sectionné.","Signe majeur +++ de la maladie hémorragique du nouveau-né."
"hématémèse","Vomissement de sang.","Hémorragie viscérale majeure."
"rectorragie","Émission de sang rouge par l’anus.","Hémorragie viscérale."
"méléna","Émission de selles noires goudronneuses par digestion du sang.","À différencier du méconium."
"hémoptysie","Expectoration de sang d’origine bronchopulmonaire.","Hémorragie viscérale."
"hématurie","Sang dans les urines.","Hémorragie viscérale."
"saignement vulvaire","Écoulement sanguin par la vulve.","Hémorragie viscérale."
"hémorragie cérébro-méningée","Saignement dans le cerveau ou les méninges.","Complication grave des thrombopénies profondes ou des troubles secondaires de l’hémostase."
"maladie hémorragique du nouveau-né (MHNN)","Pathologie due à un déficit en vitamine K1 par immaturité hépatocytaire.","Se manifeste par hémorragies digestives et cutanées à J2-J3 de vie."
"TP","Taux de prothrombine – temps de Quick.","Dans la MHNN, TP < 20%."
"facteurs de coagulation vitamino-K-dépendants","Facteurs II, VII, IX, X, synthétisés par le foie et nécessitant la vitamine K.","Sont bas dans la MHNN ; le facteur V est normal."
"vitamine K1","Vitamine liposoluble essentielle à la synthèse des facteurs II, VII, IX, X.","Utilisée en prophylaxie (IM ou orale) et en curatif de la MHNN."
"PPSB","Concentré de facteurs de coagulation : Prothrombine (II), Proconvertine (VII), facteur Stuart (X), facteur anti-hémophilique B (IX).","Traitement curatif immédiat de la MHNN."
"thrombopénies néonatales","Diminution du nombre de plaquettes chez le nouveau-né (< 100 000/mm3).","Se manifeste par pétéchies ou ecchymoses généralisées ; causes : fœtopathies, infections néonatales, malformations."
"PRP","Plasma riche en plaquettes – concentré plaquettaire.","Utilisé dans la transfusion de plaquettes (0,3 unités/kg)."
"exsanguinotransfusion","Technique de remplacement du sang du nouveau-né par du sang donneur.","Envisagée en cas de thrombopénie sévère."
"déficits congénitaux des facteurs de coagulation","Anomalies héréditaires des facteurs de coagulation.","Rares, se révèlent par saignement prolongé à la chute du cordon ou circoncision."
"thrombasthénie de Glanzman","Maladie hémorragique congénitale par anomalie de l’agrégation plaquettaire (déficit en GPIIb-IIIa).","Cause de déficit congénital."
"hémophilie A","Déficit en facteur VIII.","Cause de déficit congénital."
"hémophilie B","Déficit en facteur IX.","Cause de déficit congénital."
"afibrinogénémie congénitale","Absence congénitale de fibrinogène.","Cause rare de déficit congénital."
"plasma frais congelé (PFC)","Plasma séparé du sang total et congelé, contenant tous les facteurs de coagulation.","Traitement d’urgence des déficits congénitaux (20 ml/kg) et des troubles secondaires (10-15 ml/kg)."
"troubles secondaires de l’hémostase","Anomalies acquises de la coagulation survenant dans un contexte d’agression périnatale sévère ou d’insuffisance hépatocellulaire.","Se manifestent par un syndrome hémorragique diffus avec risque d’hémorragie intracrânienne."
"anoxie","Défaut d’oxygénation des tissus.","Circonstance d’agression périnatale sévère."
"galactosémie","Maladie métabolique par déficit en enzyme de métabolisation du galactose, entraînant une insuffisance hépatocellulaire.","Cause de trouble secondaire de l’hémostase."
"hépatite virale","Infection virale du foie chez le nouveau-né.","Cause d’insuffisance hépatocellulaire."
