"term","definition","contextual_explanation"
"infection urinaire","Colonisation microbienne de l’urine et de l’arbre urinaire normalement stériles.","Affecte 1 % des enfants de moins de 2 ans. Prédominance masculine puis féminine. Deux types topographiques : cystite et pyélonéphrite aiguë."
"cystite","Infection urinaire basse, touchant la vessie.","Rare chez l’enfant. Si elle existe, révèle ou complique un trouble mictionnel. Volontiers récidivante. Signes : T° <38°C, signes vésicaux +++, douleurs abdomino-pelviennes, pas de signes généraux."
"pyélonéphrite aiguë (PNA)","Infection urinaire haute, touchant le rein et le bassinet.","Enjeux : révélation possible d’une malformation, risque de séquelles (HTA à l’âge adulte). Signes : T° >38,5°C, signes généraux présents, douleurs lombo-abdominales, palpation lombaire douloureuse."
"ECBU","Examen cytobactériologique des urines.","Indispensable pour confirmer le diagnostic et adapter l’antibiothérapie. Critères de confirmation : leucocyturie >10^4 GB/ml ET bactériurie ≥10^5 UFC/ml. Le contrôle ECBU n’est pas justifié."
"bandelette réactive","Test urinaire rapide détectant leucocytes et nitrites.","Positive : confirme théoriquement le diagnostic clinique (70 %). Négative : absence d’IU (100 %), sauf chez le nouveau-né où il faut faire directement un ECBU."
"pipicol","Collecteur stérile pour recueil d’urines chez l’enfant.","Doit être changé toutes les 30 minutes pour éviter toute souillure."
"ponction sus-pubienne","Prélèvement d’urine par ponction au-dessus du pubis.","Modalité de recueil des urines."
"CRP","Protéine C réactive – marqueur inflammatoire.","Élevée en cas d’atteinte parenchymateuse (PNA). Normale dans la cystite."
"PCT","Procalcitonine – marqueur inflammatoire.","Élevée en cas d’atteinte parenchymateuse."
"échographie de l’appareil urinaire","Imagerie des reins et des voies urinaires.","Indiquée lors du premier épisode d’IU pour rechercher des malformations. En PNA : volume rénal augmenté, parois pyéliques épaissies. En cystite : reins normaux, paroi vésicale épaissie."
"hémoculture","Prélèvement sanguin pour culture.","Non systématique car sa positivité ne modifie ni le traitement ni le pronostic."
"pyélonéphrite décapitée","Forme de PNA où la fièvre est isolée sans signes urinaires francs.","Persistance d’une leucocyturie aseptique ou élévation de la CRP. Échographie : augmentation volume rénal ou épaississement des parois pyéliques. Faire une scintigraphie."
"cystite interstitielle virale","Cystite d’origine virale (adénovirus, polyomavirus).","Présentation bruyante : douleurs mictionnelles intenses, hématurie macroscopique. ECBU : leucocyturie aseptique. Échographie : épaississement de la paroi vésicale."
"Escherichia coli","Bactérie à Gram négatif, principal germe responsable des infections urinaires.","Responsable de 75 % des pyélonéphrites aiguës."
"Proteus mirabilis","Bactérie à Gram négatif, cause d’infection urinaire.","Germe fréquent, notamment en cas de lithiase."
"Klebsiella","Bactérie à Gram négatif, cause d’infection urinaire.","Germe responsable de PNA."
"Staphylococcus saprophyticus","Cocci à Gram positif, cause d’infection urinaire chez la jeune femme.","Responsable de cystites et PNA."
"C3G","Céphalosporine de troisième génération.","Antibiotique probabiliste pour PNA : 50 mg/kg/j en une injection, associé à un aminoside pendant 48h."
"aminoside","Famille d’antibiotiques (ex : gentamicine).","Associé aux C3G pendant 48h dans le traitement probabiliste de la PNA."
"cotrimoxazole","Association triméthoprime-sulfaméthoxazole.","Utilisé pour le traitement curatif de la cystite (8 jours) et en antibioprophylaxie (prise unique le soir, à un tiers de la posologie curative)."
"cefaclor","Céphalosporine de deuxième génération.","Utilisé en antibioprophylaxie chez l’enfant de moins de 2 mois."
"cystographie","Examen radiographique de la vessie après injection de produit de contraste.","Réalisée à la recherche d’un reflux vésico-urétéral, notamment en cas de PNA récidivante (même si échographie normale)."
"reflux vésico-urétéral (RVU)","Remontée anormale d’urine de la vessie vers l’uretère et le rein.","Facteur de risque de pyélonéphrite aiguë récidivante et de séquelles rénales."
"scintigraphie rénale","Imagerie fonctionnelle rénale (ex : DMSA).","À prévoir en cas d’infection urinaire récidivante (recherche de cicatrices rénales liées à un RVU)."
"antibiothérapie curative","Traitement antibiotique visant à stériliser l’urine.","Si étiologie bactérienne. Durée : PNA 10-15 jours, cystite 8 jours."
"antibiothérapie prophylactique","Traitement antibiotique à faible dose pour prévenir les récidives.","Utilisé en cas de malformation des voies urinaires. Cefaclor chez <2 mois, cotrimoxazole ensuite. Prise unique le soir, à un tiers de la posologie curative."
"abcès rénal","Collection purulente dans le rein.","Complication possible de la PNA, à rechercher par échographie dans les 72h du début du traitement."
"encoprésie","Émission fécale involontaire chez l’enfant après l’âge de l’acquisition de la propreté.","Facteur associé à la cystite récidivante."
