"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Que signifie l’acronyme GAFA selon le document ?","Glaucome Aigu par Fermeture de l’Angle","Glaucome Atrophique par Fermeture Atteinte","Glaucome Aigu par Filtration Altérée","Glaucome Angle Fermé Aigu","1","Le document titre « GAFA » en introduction et décrit une maladie avec angle irido-cornéen étroit.","Easy"
"Quelle est la principale conséquence d’un GAFA non traité selon le document ?","Cécité","Douleur chronique","Strabisme","Décollement de rétine","1","Le document indique : « maladie potentiellement cécitante sans traitement ».","Easy"
"Quel est l’état pupillaire typique dans le GAFA ?","Myosis serré","Semi-mydriase","Mydriase aréflexique complète","Anisocorie","2","Le document précise dans l’introduction : « semi-mydriase ».","Easy"
"À la palpation bidigitale, comment l’œil est-il décrit dans le GAFA ?","Mou et dépressible","Dur, bille de verre","Normal","Fluctuant","2","Le document indique : « Œil dur, bille de verre à la palpation bidigitale ».","Easy"
"Quelle est la pression intra-oculaire (PIO) maximale mentionnée dans le GAFA ?","30 mmHg","40 mmHg","50 mmHg","60 mmHg","4","Le document précise : « PIO élevée jusqu’à 60 mmHg ».","Easy"
"Quel collyre est contre-indiqué en urgence dans le GAFA selon le document ?","Pilocarpine 1%","Diamox per os","Collyre mydriatique","Mannitol IV","3","Le document indique dans la dernière phrase : « contre-indication absolue de collyre mydriatique sauf après iridotomie ».","Easy"
"Quel est le premier traitement hyperosmolaire cité en IV dans le GAFA ?","Glycérotone","Diamox","Mannitol 250","Perfalgan","3","Le document indique : « Mannitol 250 en IV en 20 min ».","Easy"
"Quel examen est systématiquement mentionné sur l’œil adelphe dans le GAFA ?","Fond d’œil","Gonioscopie","Examen de l’œil adelphe +++","IRM orbitaire","3","Le document précise à plusieurs reprises : « Examen de l’œil adelphe +++ ».","Easy"
"À partir de quel moment peut-on réaliser une iridotomie au laser YAG selon le document ?","Dès l’admission","Dès la diminution de la PIO et que la transparence de la cornée le permet","Après 48 heures d’hospitalisation","Après l’examen de l’œil adelphe","2","Le document précise : « Dès la diminution de la pression oculaire et que la transparence de la cornée le permet ».","Medium"
"Quelle est la posologie de la Pilocarpine 1% en urgence si la PIO baisse ?","1 goutte / 5 min","1 goutte / 15 min jusqu’à myosis puis 3x/j","2 gouttes / heure","1 goutte / 30 min","2","Le document précise : « 1 goutte / 15 mn jusqu’à l’obtention de myosis puis 1x 3/j ».","Medium"
"Quelle est la conduite à tenir si au bout de 30 minutes la PIO ne diminue pas ?","Sortie du patient","Chirurgie en urgence sans hypotonisant","Refaire un agent hyper-osmotique (Mannitol 250 cc IV 20 min)","Augmenter la pilocarpine à 1 goutte/5 min","3","Le document indique : « Si au bout de 30 mn pas de diminution : Refaire agent hyper-osmotique, Mannitol 250 cc IV pendant 20 mn ».","Medium"
"Quels sont les trois signes ophtalmologiques décrits à la lampe à fente dans le GAFA ?","Myosis, CA profonde, cornée claire","Cercle péri-kératique, œdème cornée, CA aplatie","Hémorragie, exsudat, pli rétinien","Papille creusée, DMLA, cataracte","2","Le document liste sous Signes physiques : cercle péri-kératique, œdème cornée (œil glauque), CA aplatie.","Medium"
"Un patient présente une douleur oculaire violente, nausées, œdème de cornée, PIO à 55 mmHg, semi-mydriase. Quelle est la contre-indication thérapeutique absolue à ce stade ?","Mannitol IV","Pilocarpine 1%","Collyre mydriatique","Diamox inj","3","Le document indique contre-indication absolue des mydriatiques avant iridotomie efficace.","Difficult"
