"term","definition","contextual_explanation"
"bronchiolite du nourrisson","Infection respiratoire aiguë du nourrisson définie par 5 critères : période épidémique, âge entre 1 et 12 mois, toux et dyspnée obstructive avec distension thoracique, râles sous-crépitants fins bilatéraux, frein expiratoire et sibilants diffus.","La bronchiolite touche les nourrissons en période épidémique. À Madagascar, le pic est en février-mars-avril."
"période épidémique","Période de l'année où l'incidence de la bronchiolite est élevée.","À Madagascar, la période épidémique est février-mars-avril."
"toux émétisante","Toux si violente qu'elle provoque des vomissements.","Fait partie du syndrome digestif de la bronchiolite."
"polypnée superficielle expiratoire","Augmentation de la fréquence respiratoire avec une respiration superficielle et une phase expiratoire prolongée.","Signe respiratoire de la phase d'état de la bronchiolite."
"bradypnée expiratoire","Ralentissement anormal de la fréquence respiratoire avec allongement de l'expiration.","Peut être observé dans la bronchiolite, notamment dans les formes sévères avec épuisement."
"tirage intercostal","Signe de lutte respiratoire : dépression des espaces intercostaux à l'inspiration.","Fait partie des signes de lutte dans la bronchiolite."
"battement des ailes du nez","Dilatation des narines à l'inspiration, signe de lutte respiratoire.","Signe de lutte dans la bronchiolite."
"balancement thoraco-abdominal","Mouvement alternant du thorax et de l'abdomen à la respiration, signe de lutte.","Observé dans la bronchiolite."
"entonnoir xyphoïdien","Dépression de la région sous-sternale (au niveau de l'appendice xyphoïde) à l'inspiration.","Signe de lutte respiratoire dans la bronchiolite."
"geignement expiratoire","Bruit plaintif émis lors de l'expiration, signe de lutte respiratoire.","Présent dans la bronchiolite."
"phase sèche","Phase de la bronchiolite où prédominent le freinage expiratoire et les sibilants.","Opposée à la phase humide où apparaissent expectorations et sous-crépitants."
"phase humide","Phase de la bronchiolite avec expectorations et râles sous-crépitants.","Succède à la phase sèche."
"épuisement respiratoire","État de fatigue des muscles respiratoires menant à une baisse de la fréquence respiratoire (normalisation puis bradypnée), disparition des signes de lutte et des murmures vésiculaires, avec aggravation de la cyanose.","Signe de gravité de la bronchiolite."
"score de Wang modifié","Score clinique de gravité de la bronchiolite aiguë du nourrisson.","Interprétation : <4 = pas de critère de gravité (maison) ; 4-7 = gravité modérée (hospitalisation de jour) ; 8-12 = sévère."
"désobstruction rhino-pharyngée (DRP)","Technique d'aspiration des sécrétions des voies aériennes supérieures.","Traitement de base de la bronchiolite, réalisé systématiquement."
"VRS","Virus Respiratoire Syncitial.","Principal virus responsable de l'épidémie saisonnière de bronchiolite."
"palivizumab","Anticorps monoclonal anti-VRS.","Prévention de la bronchiolite chez les terrains à risque (anciens prématurés <29SA, dysplasie broncho-pulmonaire, cardiopathie). Posologie : 15 mg/kg/mois sur 5 mois maximum pendant la saison."
"DBP","Dysplasie broncho-pulmonaire.","Anomalie respiratoire pré-existante chez le prématuré, facteur favorisant la bronchiolite et indication de prévention par palivizumab."
"atopie","Prédisposition génétique aux allergies.","Deux épisodes de bronchiolite avec antécédent d'atopie chez un nourrisson définissent l'asthme du nourrisson."
"asthme du nourrisson","Diagnostic posé devant 2 épisodes de bronchiolite + atopie avant 12 mois.","Les corticoïdes peuvent être indiqués dans ce contexte (terrain atopique, 2ème épisode avant 12 mois)."
"fausse route","Inhalation de liquide (lait, salive) ou de corps étranger dans les voies aériennes.","Complication aiguë de la bronchiolite."
"emphysème","Distension anormale des alvéoles pulmonaires avec destruction possible des parois.","Complication de l'obstruction bronchiolaire."
"pneumomédiastin","Présence d'air dans le médiastin.","Complication de la bronchiolite."
"myocardite","Inflammation du muscle cardiaque.","Complication à court terme de la bronchiolite."
"hyperréactivité bronchique","Sensibilité excessive des bronches à divers stimuli.","Complication tardive de la bronchiolite."
"DDB","Dilatation des bronches.","Complication tardive de la bronchiolite, particulièrement après infection à adénovirus."
"gavage par sonde nasogastrique","Alimentation par une sonde introduite par le nez jusqu'à l'estomac.","Utilisé en cas de difficultés d'alimentation pour éviter les fausses routes et maintenir les apports hydriques."
"alimentation fractionnée","Donner de petites quantités de lait plus fréquemment.","Permet d'éviter les fausses routes chez le nourrisson bronchiolitique."
"surinfection bactérienne","Infection bactérienne surajoutée à l'infection virale initiale.","Justifie l'antibiothérapie (amoxicilline). Se manifeste par une fièvre >3 jours, une otite ou une pneumopathie."
