"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la définition de la néphropathie diabétique selon le document ?","Néphropathie principalement tubulaire, proliférative","Néphropathie principalement glomérulaire, non proliférative s'intégrant dans les complications micro-angiopathiques du diabète","Néphropathie interstitielle","Néphropathie vasculaire","2","Le document définit : ''Néphropathie principalement glomérulaire, non proliférative s'intégrant dans le cadre des complications micro-angiopathiques du diabète''.","Easy"
"Quel est le délai moyen entre la présence d'une microalbuminurie et la survenue de l'IRCT dans le diabète de type 1 ?","5 à 10 ans","10 à 15 ans","15 à 20 ans","20 à 25 ans","2","Le document indique : ''Délai entre la présence d'une micro-albuminurie et survenue de l'IRCT : 10 à 15 ans''.","Easy"
"Quel est le délai moyen d'apparition de l'IRCT après le diagnostic du diabète de type 1 ?","15 ans","20 ans","25 ans","30 ans","3","Le document précise : ''IRCT : en moyenne 25 ans après le diagnostic du diabète''.","Easy"
"Quel est le délai moyen d'apparition de l'IRCT après le diagnostic du diabète de type 2 ?","5 ans","10 ans","15 ans","20 ans","2","Le document indique : ''IRCT : En moyenne 10 ans après le diagnostic du diabète (par retard de découverte)''.","Easy"
"Quels sont les trois facteurs de risque de néphropathie diabétique cités dans le document ?","Métaboliques, environnementaux, génétiques","Vasculaires, infectieux, traumatiques","Alimentaires, hormonaux, immunologiques","Médicamenteux, toxiques, radiologiques","1","Le document structure les facteurs de risque en : ''Facteurs métaboliques, Environnement, Facteurs génétiques''.","Easy"
"Quel facteur environnemental est démontré néfaste et accélère la dégradation rénale ?","Alcool","Tabac","Sédentarité","Obésité","2","Le document précise : ''Le tabac est démontré néfaste : accélère la dégradation rénale''.","Easy"
"Quel allèle est associé à un plus grand risque de néphropathie diabétique selon le document ?","Allèle A","Allèle B","Allèle C","Allèle D","4","Le document indique : ''La présence d'allèle D était liée à un plus grand risque de ND''.","Easy"
"Quel est l'effet d'un niveau plasmatique bas de l'enzyme de conversion de l'angiotensine (ACE) sur le risque de ND ?","Risque augmenté","Risque diminué","Aucun effet","Effet variable","2","Le document précise : ''Le niveau plasmatique bas de l'Enzyme de conversion de l'angiotensine (ACE) aurait un moindre risque d'avoir la ND''.","Easy"
"Quel est le délai d'apparition de l'expansion de la membrane basale glomérulaire selon le document ?","Au bout de 6 mois de diabète","Au bout de 1 an de diabète","Au bout de 2 ans de diabète","Au bout de 5 ans de diabète","3","Le document indique : ''On voit une expansion de la membrane basale glomérulaire au bout de 2 ans de diabète (FDC IGF1 -> miah ngeda ilay MB)''.","Easy"
"Quel est le pourcentage d'épaississement de la membrane basale glomérulaire dans les 5 ans d'évolution du diabète ?","10%","20%","30%","40%","3","Le document précise : ''On a épaississement d'environ 30% dans les 5 ans d'évolution du diabète''.","Easy"
"À partir de quel seuil d'expansion mésangiale (en pourcentage du volume glomérulaire) la filtration glomérulaire est-elle gênée ?",">27%"," >30%"," >33%"," >37%","4","Le document indique : ''Une expansion du mésangium > 37% va (par contre) gêner la filtration glomérulaire''.","Easy"
"Quel est le seuil de microalbuminurie selon le document (en mg/24h) ?","30-300 mg/24h","50-500 mg/24h","100-300 mg/24h","20-200 mg/24h","1","Le document précise : ''Augmentation de l'excrétion urinaire d'albumine 30-300 Mg/24h''.","Easy"
"Quel est le seuil de protéinurie macroscopique définissant le stade 4 selon le document ?",">100 mg/24h",">200 mg/24h",">300 mg/24h",">500 mg/24h","3","Le document indique : ''Protéinurie macroscopique, > 300mg/24h''.","Easy"
"Quelle est la cible d'HbA1c dans le traitement de la néphropathie diabétique selon le document ?","HbA1c < 6%","HbA1c < 7%","HbA1c < 8%","HbA1c < 9%","2","Le document précise : ''Obtenir une normalité glycémique (HbA1c< 7%)''.","Easy"
"Quelle est la cible tensionnelle dans la néphropathie diabétique selon le document ?","TA < 120/70 mmHg","TA < 130/80 mmHg","TA < 140/90 mmHg","TA < 150/95 mmHg","2","Le document indique : ''Cible PA < 130/80 mmHg''.","Easy"
"Quel traitement est recommandé dès la microalbuminurie, même en l'absence d'HTA ?","Diurétiques","Bêta-bloquants","IEC ou ARA2","Calcium-bloquants","3","Le document précise : ''Traitement des altérations hémodynamiques précoces : (*dès la microalbuminurie) IEC ou ARA2 (même si non hypertendu)''.","Easy"
"Quel est le délai entre l'apparition d'une protéinurie néphrotique et le stade terminal selon le document ?","6 mois","12 mois","18 mois","24 mois","2","Le document indique : ''Rehefa protéinurie néphrotique : évolution très rapide : 12 mois dia efa terminal''.","Easy"
"Quelles sont les lésions glomérulaires nodulaires caractéristiques de la néphropathie diabétique ?","Lésions de Kimmelstiel-Wilson","Lésions de Looser-Milkman","Lésions en spikes","Lésions en chapeau de gendarme","1","Le document mentionne : ''glomérulosclérose : diffuse ou nodulaire (''lésions nodulaires de Kimmelstiel-Wilson)''.","Easy"
"À partir de combien d'années d'évolution du diabète peut-on observer une expansion mésangiale selon le document ?","1 an","2 ans","3 ans","5 ans","3","Le document indique : ''Après 3 ans d'évolution du diabète, on voit une augmentation de la matrice mésangiale''.","Medium"
"Quelle est la particularité des lésions artériolaires dans la néphropathie diabétique ?","Elles sont tardives","Elles sont précoces sous forme d'infiltrats hyalins dans l'espace sous-endothélial des artérioles afférentes et efférentes","Elles n'existent pas","Elles sont uniquement au niveau des artérioles afférentes","2","Le document précise : ''Lésions artériolaires sont précoces : Sous forme d'infiltrats hyalins dans l'espace sous-endothélial des artérioles afférentes et efférentes''.","Medium"
"Quel est l'effet de l'hyperglycémie chronique sur l'artériole afférente ?","Vasoconstriction","Vasodilatation","Aucun effet","Spasme","2","Le document explique : ''L'hyperglycémie chronique conduit (par le biais du stress oxydatif) à une vasodilatation de l'artériole afférente''.","Medium"
"Quel facteur de croissance est principalement impliqué dans l'hypertrophie rénale selon le document ?","IGF1 (Insulin Growth Factor 1)","VEGF","TGF-bêta","PDGF","1","Le document indique : ''augmente la sécrétion locale de facteurs de croissance : principalement l'Insulin Growth Factor (IGF1)''.","Medium"
"Quels sont les critères de diagnostic de la néphropathie diabétique selon le document (6 éléments) ?","Microalbuminurie, diabète >5 ans, rétinopathie, pas d'hématurie, reins de taille normale, autres complications diabétiques","Protéinurie, diabète >10 ans, HTA, hématurie, reins atrophiés","Albuminurie, diabète >2 ans, rétinopathie, hématurie","Microalbuminurie, diabète >1 an, neuropathie","1","Le document liste : ''Microalbuminurie positive et/ou élévation de la créatininémie, Évolution du diabète >5 ans, Rétinopathie diabétique associée, Pas d'hématurie, Tailles des reins normales, Autres complications du diabète''.","Medium"
"Quelle est la classification anatomo-fonctionnelle de la néphropathie diabétique selon le document ?","Classification de Kimmelstiel-Wilson","Classification de Mogensen (années 80)","Classification de KDIGO","Classification de RIFLE","2","Le document indique : ''Mogensen a donné (à la fin des années 80) une classification anatomo-fonctionnelle''.","Medium"
"Que caractérise le stade 1 de la classification de Mogensen ?","Hypertrophie rénale et hyperfiltration glomérulaire","Phase latente","Néphropathie débutante avec microalbuminurie","Néphropathie patente","1","Le document définit : ''STADE 1 : Hypertrophie rénale et hyperfiltration glomérulaire''.","Medium"
"Que caractérise le stade 2 de la classification de Mogensen ?","Hypertrophie rénale","Phase latente ou silencieuse avec lésions minimes sans traduction clinique","Microalbuminurie","Protéinurie macroscopique","2","Le document définit : ''STADE 2 : Phase latente ou silencieuse - Apparition de lésions histologiques rénales minimes, sans traduction clinique''.","Medium"
"Que caractérise le stade 3 de la classification de Mogensen ?","Hypertrophie rénale","Phase latente","Néphropathie débutante (incipiens) avec microalbuminurie +/- HTA","Néphropathie patente","3","Le document définit : ''STADE 3 : Signes de néphropathie débutante (incipiens) - Présence d'une microalbuminurie +/- HTA''.","Medium"
"Quel est le délai minimum d'évolution du diabète pour le stade 3 selon Mogensen ?","1 an","2 ans","3 ans","5 ans","4","Le document précise : ''Après au minimum 5 ans d'évolution du diabète'' pour le stade 3.","Medium"
"Que caractérise le stade 4 de la classification de Mogensen ?","Hypertrophie rénale","Phase latente","Néphropathie débutante","Néphropathie patente clinique (protéinurie >300mg/24h, HTA, IRC)","4","Le document définit : ''STADE 4 : Néphropathie patente clinique''.","Medium"
"Que caractérise le stade 5 de la classification de Mogensen ?","Hypertrophie rénale","Phase latente","Néphropathie débutante","Insuffisance rénale préterminale ou terminale, irréversible","4","Le document définit : ''STADE 5 : Insuffisance rénale préterminale ou terminale, irréversible''.","Medium"
"Quelle est l'évolution de la protéinurie au stade 5 selon le document ?","La protéinurie augmente","La protéinurie diminue","La protéinurie reste stable","La protéinurie disparaît","2","Le document indique : ''La protéinurie diminue'' au stade 5.","Medium"
"Quel est le délai entre l'apparition du stade 3 et le stade 5 selon le document ?","5 à 10 ans","10 à 15 ans","15 à 20 ans","20 à 25 ans","2","Le document précise : ''10 à 15 ans après l'apparition du stade 3''.","Medium"
"Quelle est la particularité du mésangium quand son volume passe de 27% à 37% du volume glomérulaire ?","Diminution du DFG","Augmentation du volume glomérulaire total et majoration du DFG","Occlusion glomérulaire","Aucun changement","2","Le document explique : ''Quand le volume mésangial passe de 27% à 37% du volume glomérulaire, il y a augmentation du volume glomérulaire total - Cette expansion donne une augmentation de la surface totale de la filtration glomérulaire => Majoration du DFG''.","Medium"
"Quel est l'effet d'une expansion du mésangium > 37% du volume glomérulaire ?","Majoration du DFG","Gêne de la filtration glomérulaire menant à l'occlusion","Hypertrophie compensatrice","Normalisation","2","Le document indique : ''Une expansion du mésangium > 37% va (par contre) gêner la filtration glomérulaire - La poursuite de cette hypertrophie va conduire finalement à l'occlusion du glomérule''.","Difficult"
"Un patient diabétique de type 2 depuis 8 ans a une microalbuminurie à 200 mg/24h, une HTA à 145/90 mmHg, une rétinopathie diabétique. Quel est le stade selon Mogensen ?","Stade 2","Stade 3","Stade 4","Stade 5","2","Stade 3 : microalbuminurie (30-300 mg/24h) +/- HTA, après ≥5 ans de diabète.","Difficult"
"Un patient diabétique de type 1 depuis 20 ans a une protéinurie à 2g/24h, une HTA, une créatinine à 200 µmol/l. Quel est le stade selon Mogensen ?","Stade 2","Stade 3","Stade 4","Stade 5","3","Stade 4 : protéinurie macroscopique >300mg/24h, HTA, IRC.","Difficult"
"Quelle est l'attitude pratique concernant le dosage de la protéinurie et de la microalbuminurie selon le document ?","Les doser systématiquement ensemble","BU d'abord ; si protéinurie négative, alors microalbuminurie pour dépister l'atteinte rénale","Microalbuminurie d'abord, puis protéinurie","Un seul des deux suffit","2","Le document précise : ''BU aloha, rehefa négatif ny protéinurie dia izay vao manao microalbuminurie pour dépister l'atteinte rénale''.","Difficult"
