"term","definition","contextual_explanation"
"Hépatite virale","Maladie infectieuse virale avec atteinte hépatique prédominante. Les virus responsables sont VHA, VHB, VHC, VHD, VHE.","Très fréquente ; évolution bénigne, atrophie massive du foie, ou chronicité (VHB, VHC, VHD)."
"VHA","Virus de l’hépatite A, à ARN sans enveloppe, transmission orale (péril fécal), touche enfants et adultes jeunes. Jamais de chronicité.","Diagnostic : IgM anti-VHA."
"VHB","Virus de l’hépatite B, seul virus à ADN (Hepadnaviridae). Transmission sanguine, sexuelle, mère-enfant. Peut devenir chronique.","Antigènes : Ag HBs, Ag HBe, Ag HBc. Anticorps : anti-HBs, anti-HBe, anti-HBc."
"Particule de Dane","Forme complète du VHB. Enveloppe porte l’Ag HBs ; nucléocapside (core) porte Ag HBc et Ag HBe, contient ADN viral et ADN polymérase.","Sang d’un sujet infecté contient particules de Dane, microsphères et microfilaments portant Ag HBs et Ag HBe."
"Ag HBs","Antigène de surface du VHB. Apparaît 2-6 semaines après infection, disparaît après 4-10 semaines. Marqueur d’infection non guérie. Persistance >6 mois = portage chronique.","Sa disparition = guérison."
"Ag HBe","Antigène de la nucléocapside, marqueur de réplication virale et d’infectiosité. Apparaît avec Ag HBs, disparaît avant lui. Persistance = évolutivité.","Absent chez le virus mutant pré-C."
"Virus mutant pré-C","Variant du VHB ne produisant pas d’Ag HBe. La présence d’Ac anti-HBe n’est alors pas une promesse de guérison et la réplication continue.","Responsable d’hépatite chronique à Ag HBe négatif."
"Ac anti-HBs","Anticorps dirigé contre l’Ag HBs. Apparaît 1-4 mois après disparition de l’Ag HBs. Marqueur d’infection guérie ou de vaccination, traduit une immunité protectrice.","Affirme la guérison (séroconversion)."
"Ac anti-HBe","Anticorps dirigé contre l’Ag HBe. Apparaît dès la disparition de l’Ag HBe. Promesse de guérison, sauf en cas de virus mutant.","Séroconversion immédiate, sans trou sérologique."
"Ac anti-HBc","Anticorps dirigé contre l’Ag HBc. Marqueur constant de contact avec le VHB. IgM = infection actuelle (HVB aiguë) ; IgG = infection ancienne.","Intérêt : présents pendant le trou sérologique (entre disparition Ag HBs et apparition anti-HBs)."
"ADN VHB sérique","Présence dans le sang signifie réplication virale. Corrélé à l’Ag HBe.","Utilisé pour la charge virale."
"VHC","Virus de l’hépatite C, à ARN simple brin, 6 génotypes. Transmission sanguine +++ (transfusion, toxicomanie IV, AES). Évolution vers chronicité 50-80%.","Diagnostic : Ac anti-VHC (Elisa), confirmation par PCR ARN-VHC."
"VHD","Virus de l’hépatite D, virus défectif nécessitant l’enveloppe du VHB (Ag HBs). Petit virus à ARN circulaire. Transmission sanguine et sexuelle.","Co-infection (avec VHB) ou surinfection (sur porteur chronique VHB). Diagnostic : Ag VHD, Ac anti-VHD."
"VHE","Virus de l’hépatite E, à ARN. Génotypes 1-2 humains, 3-4 porc, 5-6 sanglier, 7-8 chameau/dromadaire. Transmission orale (eau souillée), alimentaire (viande porc), transfusion.","Diagnostic : IgM anti-VHE, Ag VHE, ARN VHE. Forme chronique chez immunodéprimés."
"Triade de Caroli","Association de céphalées, urticaire et arthralgies au cours de la phase pré-ictérique de l’hépatite virale aiguë.","Signe clinique."
"Hépatite fulminante","Forme gravissime évoluant rapidement vers le décès (1 à 10 jours). Signes : aggravation asthénie, encéphalopathie, syndrome hémorragique, TP et facteur V < 50%.","Mortalité 90%. Étiologies : paracétamol, AINS, autres virus, toxiques, poussée d’hépatite auto-immune."
"Hépatite chronique B","Persistance de l’Ag HBs dans le sang > 6 mois. Peut être due à virus sauvage ou mutant.","Évaluation de la fibrose par PBH, Fibroactitest, élastométrie."
"Infection chronique par virus sauvage","Ag HBe+, charge virale >10^7 UI/ml, ALAT normal, pas ou minimes lésions hépatiques.","Portage inactif malgré réplication."
"Hépatite chronique par virus sauvage","Ag HBe+, charge virale 10^4-10^7, ALAT élevée, lésions modérées à sévères (F2-F4).","Hépatite chronique HBe positive."
"Infection chronique par virus mutant","Ag HBe-, Ac anti-HBe+, charge virale <2000 UI/ml, ALAT normale, pas de lésions.","Portage inactif du mutant."
"Hépatite chronique par virus mutant (Ag HBe négatif)","Ag HBe-, charge virale >2000 UI/ml, ALAT élevée, lésions modérées à sévères (F2-F4).","Hépatite chronique HBe négative."
"Formes cholestatiques","Ictère extrêmement prononcé avec cholestase biologique majeure (gamma GT, PAL, bilirubine conjuguée élevées). Échographie normale (pas de dilatation).","Diagnostic par sérologie (Ag HBs, IgM anti-HBc)."
"Hépatite C chronique","Évolution vers la chronicité dans 50-80% des cas. Souvent asymptomatique.","Diagnostic : Ac anti-VHC puis ARN VHC."
"Co-infection VHB-VHD","Infection simultanée par VHB et VHD. Risque d’hépatite fulminante.","Marqueurs : Ag HBs, IgM anti-HBc, Ag VHD, Ac anti-VHD."
"Surinfection VHD","Infection par VHD chez un sujet porteur chronique de VHB. Augmente le risque de chronicité à 90%.","Marqueurs : Ag HBs, IgG anti-HBc, Ag VHD, Ac anti-VHD."
"Hépatite E aiguë","Paucisymptomatique dans 90% des cas. Tableau classique d’hépatite aiguë. Manifestations neurologiques possibles.","Évolution favorable en 3-5 semaines. Forme chronique chez immunodéprimés."
"Syndrome de Personnage-Turner","Névralgie amyotrophique de l’épaule, manifestation neurologique possible au cours de l’hépatite E aiguë.","Une des complications neurologiques du VHE."
