"term","definition","contextual_explanation"
"SHU","Syndrome hémolytique et urémique : microangiopathie thrombotique avec destruction mécanique des globules rouges et activation plaquettaire.","Triade : anémie hémolytique, thrombopénie, insuffisance rénale aiguë. Première cause d'IRA organique chez l'enfant de moins de 3 ans."
"Microangiopathie thrombotique","Altération de l'endothélium vasculaire des petits vaisseaux entraînant thromboses et destruction des hématies.","Mécanisme physiopathologique du SHU."
"Anémie hémolytique d'origine mécanique","Destruction des globules rouges par fragmentation (schizocytes) lors du passage dans des vaisseaux altérés.","Hb < 10 g/dl, effondrement de l'haptoglobine, présence de schizocytes."
"Schizocytes","Hématies fragmentées en forme de coquille d'œuf.","Signe caractéristique de l'anémie hémolytique microangiopathique."
"Thrombopénie","Diminution du taux de plaquettes sanguines.","Seuil < 150.000/mm3 dans le SHU."
"Insuffisance rénale aiguë (IRA)","Diminution brutale de la fonction rénale.","Augmentation de la créatininémie et de l'urée sanguine, diminution de la clairance de la créatinine."
"SHU post-diarrhéique","Forme la plus fréquente (90%), secondaire à une infection digestive par E. coli producteur de Shigatoxines (STEC).","Âge <3 ans, diarrhée glairo-sanguinolente prodromique."
"Escherichia coli O157:H7","Sérotype d'E. coli entérohémorragique producteur de vérotoxines ou shiga-like toxine.","Principal agent causal du SHU typique."
"Shigatoxine (STEC)","Toxine bactérienne responsable de lésions endothéliales.","Produite par E. coli entérohémorragique, responsable du SHU post-diarrhéique."
"Phase prodromique","Période initiale précédant les signes d'état.","Diarrhée glairo-sanguinolente survenant entre J3 et J15 avant le SHU."
"Phase d'état","Période d'installation des signes majeurs de la maladie.","Début brutal avec pâleur, oligurie/anurie, œdèmes, HTA, hématurie, protéinurie."
"SHU atypique","Forme rare (10%) non précédée de diarrhée, souvent familiale et de pronostic réservé.","Liée à des mutations des protéines régulatrices de la voie alterne du complément."
"SHU secondaire","Forme survenant dans un contexte pathologique ou iatrogène.","Causes : infections (pneumocoque, Shigelle), néphropathie, VIH, lupus, greffe de moelle, drogues (ciclosporine, ticlopidine, antipaludéens), irradiation."
"Dialyse péritonéale","Épuration extra-rénale utilisant le péritoine comme membrane de dialyse.","Indiquée en cas d'anurie, créatininémie >300-400 µmol/L, surcharge hydrosodée, acidose, hyperkaliémie >6 mmol/L."
"Culot globulaire phénotypé","Concentré de globules rouges dont le groupe sanguin a été déterminé.","Transfusion indiquée si Hb < 8 g/dl."
"Résine échangeuse de potassium","Médicament liant le potassium dans l'intestin pour en réduire l'absorption.","Utilisée pour corriger l'hyperkaliémie."
"Échange plasmatique avec PFC","Plasmaphérèse avec perfusion de plasma frais congelé.","Indiqué en cas de thrombopénie sévère (surtout dans les formes atypiques)."
"Voie alterne du complément","Voie d'activation du complément indépendante des anticorps.","Des mutations des protéines régulatrices sont responsables du SHU atypique héréditaire."
"Coproculture","Examen bactériologique des selles.","Permet d'isoler E. coli O157:H7 dans le SHU post-diarrhéique."
"PCR","Polymerase Chain Reaction.","Détection de l'ADN de STEC dans les selles."
"Insuffisance rénale chronique (IRC)","Détérioration progressive et irréversible de la fonction rénale.","Séquelle à long terme du SHU (5-10% évoluent vers l'IRC terminale)."
"Protéinurie chronique","Présence persistante de protéines dans les urines.","Séquelle rénale à long terme après SHU."
"Hypertension artérielle (HTA)","Élévation persistante de la pression artérielle.","Séquelle fréquente après SHU."
"Ralentisseurs de transit","Médicaments antidiarrhéiques.","À éviter car ils prolongent le contact des toxines avec la muqueuse intestinale, augmentant le risque de SHU."
"Antibiothérapie systématique","Traitement antibiotique administré sans preuve formelle d'infection bactérienne.","Non recommandée dans la diarrhée à risque de SHU car peut favoriser la libération de Shigatoxines."
