"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Selon le document, quelle est la définition de la diarrhée chronique ?","Débit fécal > 200g/j pendant plus de 2 semaines","Débit fécal > 300g/j pendant plus de 4 semaines (30 jours)","3 selles liquides par jour pendant 1 semaine","Débit fécal > 500g/j pendant 3 semaines","2","Document : 'Définition : Débit fécal > 300g/j, plus de 4 semaines (30 jours)'.","Easy"
"Où se fait l'absorption du fer et des folates (B9) ?","Iléon","Grêle proximale (duodénum et jéjunum)","Côlon","Estomac","2","Document : 'Grêle proximale : duodénum et jéjunum. Absorption : Fer, Folates (B9), Calcium, Vitamines K et A'.","Easy"
"Où se fait l'absorption de la vitamine B12 ?","Duodénum","Jéjunum","Iléon","Estomac","3","Document : 'Iléon : vitamine B12 (son absorption se fait toujours de façon associée au Facteur intrinsèque de l’estomac)'.","Easy"
"Quel est le rôle du suc pancréatique dans la digestion ?","Émulsion des graisses","Digestion des fibres musculaires et des graisses (trypsine, lipase)","Absorption des nutriments","Conjugaison des sels biliaires","2","Document : 'Suc pancréatique : digestion des fibres musculaires et des graisses (trypsine, lipase)'.","Easy"
"Quel signe clinique évocateur d'une diarrhée organique ?","Diurne uniquement","Nocturne (réveille le patient)","Post-prandiale systématique","Calmée par le stress","2","Document : 'Nocturne et réveille le patient (organique+++)'.","Easy"
"Quel aspect des selles évoque une malabsorption ?","Selles glairo-sanglantes","Selles grasses 'huilant', en bouse de vache","Selles liquides abondantes","Selles en eau de riz","2","Document : 'Selles grasses \"huilant\" : aspect en bouse de vache'.","Easy"
"Quel est le principe du test au D-xylose ?","Mesure du temps de transit","Ingestion de 25g de D-xylose, dosage de xylosémie à 2h, diminution en cas de lésion du grêle proximal ou pullulation microbienne","Dosage de la graisse fécale","Recherche de laxatifs","2","Document : 'Test au D-xylose : Ingestion de 25g de D-xylose... Diminution : Lésion pariétale au niveau du grêle proximale ou Pullulation microbienne du grêle'.","Easy"
"Quelle est la valeur normale de la graisse fécale pour un apport de 80g/j ?","< 3g/24h","< 6g/24h","< 10g/24h","< 12g/24h","2","Document : 'Stéatorrhée : graisse fécale > 6g/24h' (normale <6g).","Easy"
"À partir de quel seuil parle-t-on de stéatorrhée significative (malabsorption) ?","> 6g/24h","> 12g/24h","> 20g/24h","> 30g/24h","2","Document : 'Stéatorrhée : graisse fécale > 6g/24h (> 12 en général vao tena lazaina malabsorption)'.","Easy"
"Quel est le taux normal d'élastase fécale ?","> 50 µg","> 100 µg","> 200 µg","> 500 µg","3","Document : 'Dosage de l’élastase fécal : Normal > 200µg'.","Easy"
"Quelle est la valeur normale de la clairance fécale de l'alpha-1-antitrypsine ?","< 6 ml/24h","< 12 ml/24h","< 24 ml/24h","< 30 ml/24h","2","Document : 'Clairance fécale de l’alpha-1-anti-trypsine (N : 12ml/24h)'.","Easy"
"Quelle est la première cause de diarrhée motrice selon le document ?","Hyperthyroïdie","Colopathie fonctionnelle (80%)","Tumeur carcinoïde","Neuropathie diabétique","2","Document : 'Colopathie fonctionnelle : 80% des diarrhées motrices'.","Easy"
"Quel test permet de mesurer le temps de transit digestif ?","Test au D-xylose","Test de Schilling","Test au rouge carmin","Test à l'élastase","3","Document : 'Test au rouge carmin : permet de mesurer le temps de transit digestif'.","Easy"
"Quelle est l'incubation normale des premières selles rouges au test au rouge carmin ?","6-8 heures","12-18 heures","18-24 heures","24-48 heures","3","Document : 'Apparition des premières selles rouges 18-24h'.","Easy"
"Quel est le temps normal des dernières selles rouges au test au rouge carmin ?","12-24 heures","24-72 heures","48-96 heures","72-120 heures","2","Document : 'Dernières selles rouges 24-72h'.","Easy"
"Quelle est la principale cause de diarrhée chronique sans signe de malabsorption ?","Maladie cœliaque","Colopathie fonctionnelle (TFI)","Pancréatite chronique","Maladie de Crohn","2","Document : 'Causes fréquentes de diarrhée chronique (surtout TFI)'.","Easy"
"Quelles sont les deux étiologies les plus fréquentes de diarrhée chronique avec malabsorption selon le document ?","Pancréatite chronique calcifiante et atrophie villositaire","Maladie de Crohn et RCH","Amibiase et bilharziose","Lymphangiectasie et Whipple","1","Document : 'PRINCIPALES CAUSES DE DIARRHEE CHRONIQUE AVEC MALABSORPTION : pancréatite chronique calcifiante et atrophie villositaire'.","Easy"
"Quel examen morphologique est systématique dans le bilan d'une diarrhée chronique ?","Lavement baryté","Coloscopie","Entéroscopie","Échographie abdominale","2","Document : 'Coloscopie : Systématique'.","Easy"
"Quel est l'aspect des selles dans la diarrhée osmotique ?","Selles grasses","Selles acides, mousseuses, fécales et abondantes","Selles glaireuses","Selles en eau de riz","2","Document : 'Selles acides, mousseuses, fécales et abondantes'.","Easy"
