"term","definition","contextual_explanation"
"encéphalopathie aiguë","Syndrome de dysfonctionnement global du cerveau d’apparition rapide.","Ce n’est pas un diagnostic en soi, mais un terme descriptif. Principale manifestation : changement de comportement (confusion, irritabilité, altération de conscience). Mortalité significative, séquelles neurologiques possibles."
"changement de comportement","Modification de l’état mental, de l’humeur ou des actions.","Manifestation principale de l’encéphalopathie : confusion, irritabilité excessive, altération de la conscience (léthargie → coma)."
"score de Blantyre","Score neurologique pédiatrique utilisé pour évaluer la conscience (notamment dans le paludisme).","Utilisé dans l’examen neurologique de l’encéphalopathie, avec le score de Glasgow."
"score de Glasgow","Score d’évaluation de la conscience (réponse oculaire, verbale, motrice).","Utilisé pour quantifier la profondeur du coma dans l’encéphalopathie."
"nystagmus","Mouvement oscillatoire involontaire et rythmique des yeux.","Signe oculaire à rechercher à l’examen neurologique."
"ophtalmoplégie","Paralysie d’un ou plusieurs muscles oculomoteurs.","Signe à rechercher à l’examen des yeux."
"flapping tremor","Tremblement de type « battement d’aile » (asterixis).","Signe d’encéphalopathie hépatique, à rechercher à l’examen physique."
"ictère","Coloration jaune de la peau et des muqueuses par hyperbilirubinémie.","Signe orientant vers une insuffisance hépatique comme cause d’encéphalopathie."
"OMI","Œdème des membres inférieurs.","Signe pouvant orienter vers une insuffisance cardiaque ou rénale."
"hyper-urémie","Taux anormalement élevé d’urée dans le sang.","Cause métabolique d’encéphalopathie (insuffisance rénale)."
"hyper-ammoniémie","Taux anormalement élevé d’ammoniac dans le sang.","Cause métabolique d’encéphalopathie (insuffisance hépatique, troubles du cycle de l’urée)."
"acidose lactique","Accumulation d’acide lactique dans le sang, avec baisse du pH.","Cause métabolique d’encéphalopathie."
"encéphalite aiguë disséminée auto-immune (ADEM)","Maladie inflammatoire démyélinisante du système nerveux central, survenant après une infection ou une vaccination.","Cause infectieuse (auto-immune) d’encéphalopathie."
"encéphalopathie d’Hashimoto","Encéphalopathie associée à une thyroïdite auto-immune, avec présence d’anticorps antithyroïdiens.","Cause auto-immune d’encéphalopathie."
"leuco-encéphalopathie","Atteinte de la substance blanche cérébrale.","Exemple donné : par atteinte mitochondriale. Cause auto-immune ou métabolique."
"ictère nucléaire (kernicterus)","Atteinte cérébrale par dépôt de bilirubine non conjuguée dans les noyaux gris centraux.","Encéphalopathie de l’ictère nucléaire (cause spécifique)."
"encéphalopathie hypertensive","Dysfonctionnement cérébral secondaire à une hypertension artérielle sévère et brutale.","Cause d’encéphalopathie."
"encéphalopathie hypoxo-ischémique","Lésion cérébrale due à un manque d’oxygène et de perfusion.","Cause d’encéphalopathie (ex : réanimation cardio-respiratoire, noyade, étranglement)."
"ponction lombaire","Prélèvement de liquide céphalo-rachidien par ponction entre les vertèbres lombaires.","Examen de première intention pour rechercher une méningite ou une encéphalite."
"imagerie cérébrale","Scanner ou IRM du cerveau.","Examen de première intention pour rechercher une lésion (abcès, tumeur, etc.)."
"NFS","Numération formule sanguine.","Recherche une infection ou une anomalie hématologique."
"CRP","Protéine C réactive.","Marqueur biologique d’inflammation."
"BU","Bandelette urinaire.","Recherche une infection urinaire ou une anomalie métabolique."
"gaz du sang","Mesure des gaz sanguins (pH, PaO2, PaCO2, HCO3-, lactates).","Recherche une acidose métabolique ou respiratoire."
"ionogramme sanguin","Dosage des électrolytes sanguins (Na+, K+, Cl-, HCO3-).","Recherche des troubles hydro-électrolytiques pouvant causer une encéphalopathie."
"bilirubine","Pigment biliaire issu de la dégradation de l’hémoglobine.","Son élévation (ictère) peut être une cause ou une conséquence d’encéphalopathie."
"transaminases","Enzymes hépatiques (ASAT, ALAT).","Leur élévation oriente vers une insuffisance hépatique."
"urée","Produit du catabolisme protéique, éliminé par les reins.","Son élévation (hyper-urémie) oriente vers une insuffisance rénale."
"créatinine","Produit de dégradation musculaire, marqueur de la fonction rénale.","Son élévation oriente vers une insuffisance rénale."
"hémoculture","Prélèvement sanguin pour rechercher des bactéries dans le sang.","Recherche une septicémie comme cause d’encéphalopathie infectieuse."
"méningite","Inflammation des méninges, le plus souvent infectieuse.","Cause infectieuse d’encéphalopathie."
"encéphalite","Inflammation du parenchyme cérébral.","Cause infectieuse d’encéphalopathie."
"abcès cérébral","Collection purulente intracrânienne.","Cause infectieuse d’encéphalopathie."
"monoxyde de carbone (CO)","Gaz toxique produit par combustion incomplète.","Cause toxique d’encéphalopathie."
"tumeur cérébrale primitive","Tumeur prenant naissance dans le cerveau.","Cause maligne d’encéphalopathie."
"métastase cérébrale","Extension secondaire d’un cancer au cerveau.","Cause maligne d’encéphalopathie."
"réanimation cardio-respiratoire","Ensemble des manœuvres visant à restaurer la circulation et la ventilation.","Peut être secondairement responsable d’une encéphalopathie hypoxo-ischémique."
"flapping tremor (asterixis)","Tremblement de battement d’aile, perte brutale du tonus des extenseurs.","Signe clinique d’encéphalopathie hépatique."
"ophtalmoplégie","Paralysie des muscles oculomoteurs.","Signe neurologique focal à rechercher."
"nystagmus","Mouvements oculaires oscillatoires involontaires.","Signe neurologique."
