"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Qu'est-ce qu'une encéphalopathie aiguë ?","Une inflammation des méninges","Un terme descriptif pour un syndrome de dysfonctionnement global du cerveau","Une tumeur cérébrale","Une infection du parenchyme cérébral","2","Le document : 'Encéphalopathie : c’est un terme descriptif pour un syndrome de dysfonctionnement global du cerveau'.","Easy"
"Quelle est la principale manifestation de l'encéphalopathie ?","Convulsions","Changement de comportement","Fièvre","Céphalées","2","Le document : 'Principale manifestation : changement de comportement'.","Easy"
"Quels sont les deux scores utilisés pour évaluer l'état mental ?","Apgar et Silverman","Blantyre ou Glasgow","PRAM et Wang","Downes et Sarnat","2","Le document : 'Score de Blantyre ou de Glasgow'.","Easy"
"Quel examen complémentaire est systématique dans le bilan de première intention ?","IRM cérébrale","Ponction lombaire","Électroencéphalogramme","Scanner thoracique","2","Le document cite 'Ponction lombaire' dans les examens de première intention.","Easy"
"Quelle étiologie toxique est citée ?","Caféine","Monoxyde de carbone","Plomb","Mercure","2","Le document : 'Toxique : Monoxyde de carbone'.","Easy"
"Quelle étiologie métabolique est mentionnée ?","Hyper-urémie, hyper-ammoniémie, hyper/hypoglycémie, acidose lactique","Hypercalcémie","Hypothyroïdie","Maladie de Wilson","1","Le document les liste.","Easy"
"Quelle encéphalopathie auto-immune est spécifiquement nommée ?","Encéphalite limbique","Encéphalopathie d’Hashimoto","Sclérose en plaques","Maladie de Devic","2","Le document : 'Auto-immune : Encéphalopathie d’Hashimoto'.","Easy"
"Quel est le pronostic des survivants d'une encéphalopathie aiguë ?","Guérison complète constante","Séquelle neurologique importante","Aucune séquelle","Récupération totale en 48h","2","Le document : 'Morbidité à long terme des survivants : séquelle neurologique importante'.","Easy"
"Quel signe physique peut orienter vers une atteinte hépatique ?","Cyanose","Ictère","Purpura","Œdème","2","Le document : 'Signes en rapport avec la pathologie en cause : Ictère'.","Easy"
"Quel signe est évocateur d'une encéphalopathie métabolique hépatique ?","Tremblement des extrémités","Flapping tremor","Myoclonies","Spasmes","2","Le document : 'Flapping tremor'.","Easy"
"Quel est un signe d'encéphalopathie à rechercher à l'examen des yeux ?","Nystagmus, ophtalmoplégie, état des pupilles, fond d'œil","Conjonctivite","Kératite","Iritis","1","Le document le donne.","Medium"
"Quels sont les paramètres vitaux à vérifier systématiquement ?","FR, FC, SpO2, température, PA","Uniquement FC et FR","Uniquement température","Uniquement PA","1","Le document les liste.","Medium"
"Quelle est une cause infectieuse d'encéphalopathie ?","Encéphalite aiguë disséminée auto-immune","Méningite, encéphalite, abcès cérébral","Toxoplasmose","Neuropaludisme","2","Le document les cite.","Medium"
"Quelle cause maligne peut provoquer une encéphalopathie ?","Métastase cérébrale","Leucémie","Lymphome","Médulloblastome","1","Le document les mentionne.","Medium"
"Quelle encéphalopathie est secondaire à une hypoxie ?","Encéphalopathie hypoxo-ischémique","Encéphalopathie épileptique","Encéphalopathie hypertensive","Encéphalopathie de l'ictère nucléaire","1","Le document la cite.","Medium"
"Quel est le but de l'approche diagnostique de l'encéphalopathie aiguë ?","Identifier les causes traitables pour éviter les séquelles","Hospitaliser systématiquement","Faire une IRM à tous","Traiter par anticonvulsivants","1","Le document : 'Intérêt de faire une bonne évaluation... pour pouvoir identifier les causes traitables'.","Medium"
"Un enfant présente une confusion, une léthargie, un ictère et un flapping tremor. Quelle étiologie suspecter ?","Encéphalopathie hépatique","Encéphalopathie rénale","Encéphalopathie hypoxique","Encéphalopathie infectieuse","1","Ictère + flapping tremor = encéphalopathie hépatique.","Difficult"
"Un enfant a un score de Glasgow à 9, une fièvre, une raideur de nuque. Quel examen est prioritaire ?","Ponction lombaire","IRM cérébrale","EEG","Scanner","1","Ponction lombaire (suspicion de méningite/encéphalite)","Le document : 'Ponction lombaire' dans bilan de première intention.","Difficult"
"Un enfant présente une encéphalopathie après une noyade. Quel mécanisme ?","Encéphalopathie hypoxo-ischémique","Encéphalopathie toxique","Encéphalopathie métabolique","Encéphalopathie infectieuse","1","Le document : 'Encéphalopathie hypoxo-ischémique'.","Difficult"
"Quelle est la conséquence d'un diagnostic tardif d'encéphalopathie traitable ?","Séquelles lourdes","Guérison spontanée","Aggravation transitoire","Aucune conséquence","1","Le document : 'sinon séquelles lourds'.","Difficult"
