"question","answer","explanation","difficulty"
"L'encéphalopathie est un diagnostic précis.","False","Le document : 'Encéphalopathie : c’est un terme descriptif... Ce n’est pas un diagnostic'.","Easy"
"La principale manifestation de l'encéphalopathie est un changement de comportement.","True","Le document le confirme.","Easy"
"Le score de Glasgow est utilisé pour évaluer l'état de conscience.","True","Le document mentionne 'Score de Blantyre ou de Glasgow'.","Easy"
"La ponction lombaire fait partie du bilan de première intention.","True","Le document le cite.","Easy"
"Le monoxyde de carbone est une cause toxique d'encéphalopathie.","True","Le document le mentionne.","Easy}
"L'encéphalopathie d'Hashimoto est une cause métabolique.","False","C'est une cause auto-immune.","Easy}
"L'ictère est un signe d'encéphalopathie hépatique.","True","Le document : 'Signes en rapport : Ictère'.","Medium}
"Le flapping tremor est évocateur d'une encéphalopathie rénale.","False","Évocateur d'encéphalopathie hépatique.","Medium}
"La mortalité de l'encéphalopathie aiguë est négligeable.","False","Le document : 'Mortalité significative'.","Medium}
"Les convulsions sont un symptôme associé à rechercher.","True","Le document : 'Symptômes associés : Convulsions'.","Medium}
"L'encéphalopathie épileptique est une cause possible.","True","Le document la cite.","Medium}
"L'encéphalopathie hypertensive est une cause.","True","Le document la cite.","Medium}
"L'encéphalopathie hypoxo-ischémique survient après un arrêt cardiaque.","True","Le document : 'Encéphalopathie hypoxo-ischémique' et 'secondaire à une réanimation cardio-respiratoire'.","Medium}
"L'hyper-ammoniémie est une cause métabolique.","True","Le document : 'Métabolique : Hyper-ammoniémie'.","Medium}
"Une tumeur cérébrale primitive peut causer une encéphalopathie.","True","Le document : 'Tumeur cérébrale primitive'.","Medium}
"L'encéphalopathie aiguë est toujours d'origine infectieuse.","False","Multiples étiologies : toxique, métabolique, etc.","Difficult}
"Le fond d'œil fait partie de l'examen neurologique.","True","Le document : 'fond d’œil'.","Difficult}
"L'encéphalite aiguë disséminée auto-immune est une cause infectieuse.","False","C'est une cause auto-immune.","Difficult}
"Les métaux lourds sont une cause toxique d'encéphalopathie.","True","Le document : 'Métaux lourds' dans toxique.","Difficult}
"Une encéphalopathie peut être due à une insuffisance cardiaque.","True","Le document : 'Insuffisance Hépatique, Rénale, Cardiaque'.","Difficult}
