"question","answer","explanation","difficulty"
"Définissez la cataracte et indiquez son impact en santé publique.","La cataracte est une opacification partielle ou totale du cristallin. Elle est la première cause de cécité dans les pays en voie de développement, constituant un problème de santé publique majeur.","Le document le précise dans l’introduction.","Easy"
"Quels sont les trois rôles physiologiques du cristallin ?","1) Réfraction pour focaliser les rayons sur la rétine. 2) Accommodation (mise au point de loin à près). 3) Puissance dioptrique d’environ 20 dioptries.","Le document décrit les rôles.","Easy"
"Citez trois signes fonctionnels de la cataracte sénile.","1) Baisse progressive de la vision. 2) Diplopie monoculaire. 3) Photophobie, éblouissement.","Le document liste ces signes.","Easy"
"Qu’est-ce que la cataracte congénitale et pourquoi est-elle grave ?","C’est une opacification du cristallin présente à la naissance. Elle est grave car elle entraîne un retentissement visuel (amblyopie), des complications opératoires et des problèmes d’équipement après chirurgie.","Le document le mentionne.","Easy"
"Quels sont les quatre types de cataracte selon l’évolution ?","1) Cataracte non mature (opaque partiellement). 2) Cataracte mûre (opaque totalement). 3) Cataracte hypermûre (capsule antérieure plissée). 4) Cataracte morgagnienne (noyau abaissé en inférieur).","Le document les classe.","Easy"
"Citez quatre causes de cataracte acquise chez l’adulte.","1) Âge (cataracte sénile). 2) Pathologies oculaires (glaucome aigu, uvéites). 3) Pathologies générales (diabète, hypocalcémie). 4) Traumatisme oculaire. 5) Chirurgie oculaire antérieure. 6) Iatrogène (corticoïdes).","Le document liste ces causes.","Easy"
"Quel est le traitement chirurgical de référence de la cataracte et quel est son seuil d’indication ?","La phacoémulsification. Indication : baisse d’acuité visuelle à partir de 5/10 ou 6/10.","Le document le précise.","Easy"
"Quels sont les trois diagnostics différentiels de la cataracte chez l’adulte ?","1) Trouble de la réfraction non corrigé. 2) Opacification d’autres milieux transparents (taie cornéenne). 3) Glaucome chronique à angle ouvert. 4) DMLA. 5) Rétinopathie diabétique. 6) Décollement de rétine.","Le document liste ces diagnostics.","Easy"
"Expliquez le mécanisme de l’accommodation (vision de loin vs vision de près).","Vision de loin : zonule tendue, cristallin plat (vision au repos). Vision de près : contraction du muscle ciliaire → rétraction de la zonule → convexité du cristallin augmentée → convergence accrue.","Le document explique ce mécanisme.","Easy"
"Qu’est-ce que la myopie d’indice dans la cataracte ?","C’est un signe physique où le patient devient myope en raison de la modification de l’indice de réfraction du cristallin liée à son opacification.","Le document mentionne ce signe.","Medium"
"Pourquoi faut-il dilater la pupille (mydriaticum) avant l’examen à la lampe à fente d’une cataracte ?","Pour mieux visualiser l’ensemble du cristallin, notamment les opacités corticales périphériques et le noyau, qui sont masqués par l’iris si la pupille est non dilatée.","Le document mentionne examen après dilatation.","Medium"
"Quelles sont les trois complications post-opératoires de la chirurgie de la cataracte ?","1) Endophtalmie. 2) Hernie de l’iris. 3) Hypertonie oculaire. 4) Astigmatisme post-opératoire.","Le document liste ces complications.","Medium"
"Expliquez la différence entre une cataracte corticale, nucléaire et sous-capsulaire postérieure.","Corticale : opacités dans le cortex du cristallin. Nucléaire : opacification centrale (noyau). Sous-capsulaire postérieure : opacité juste sous la capsule postérieure, souvent associée à la prise de corticoïdes.","Le document classe ces formes partielles.","Medium"
"Quels sont les trois diagnostics différentiels de la cataracte chez l’enfant ?","1) Rétinoblastome (tumeur rétinienne). 2) Fibroplasie rétrolentale (complication de prématurité). 3) Persistance de vitré primitif.","Le document les cite.","Medium"
"Quelles infections congénitales peuvent donner une cataracte ? Citez-en trois.","Rubéole, Cytomégalovirus, Herpès virus, VIH, oreillon, toxoplasmose (parasitaire), syphilis (bactérienne).","Le document liste ces agents.","Medium"
"Quel est le principe de l’extraction extra-capsulaire (EEC) ?","On extrait le contenu du cristallin (noyau et cortex) en laissant en place la capsule postérieure, ce qui permet la pose d’un implant intra-oculaire dans le sac capsulaire.","Le document le décrit.","Medium"
"Quel est le risque spécifique de l’extraction intra-capsulaire (EIC) ?","L’issue de vitré par rupture capsulaire, car on retire le cristallin avec sa capsule, exposant le vitré.","Le document le mentionne.","Medium"
"Pourquoi une cataracte congénitale doit-elle être opérée précocement ?","Pour prévenir l’amblyopie irréversible. La période sensible du développement visuel se situe dans les premiers mois de vie. Une opération tardive ne permet pas de récupérer une vision normale.","Le document : retentissement visuel (amblyopie).","Medium"
"Quels sont les trois syndromes malformatifs associés à la cataracte congénitale ?","Syndrome d’Alport, syndrome de Sjögren, trisomie 21.","Le document les cite.","Medium"
