"question","answer","explanation","difficulty"
"La cataracte est définie comme une opacification partielle ou totale du cristallin.","True","Le document le définit ainsi.","Easy"
"La cataracte est la première cause de cécité dans les pays développés.","False","Le document indique : « 1ère cause de cécité dans les pays en voie de développement ».","Easy"
"Le cristallin est une structure vascularisée.","False","Le document précise : « avasculaire ».","Easy"
"Le cristallin est situé dans la chambre antérieure.","False","Le document indique : « chambre postérieure, entre l’iris et le vitré ».","Easy"
"La puissance dioptrique du cristallin au repos est d’environ 20 dioptries.","True","Le document l’indique.","Easy"
"La diplopie monoculaire est un signe fonctionnel de la cataracte.","True","Le document le mentionne.","Easy"
"La leucocorie est un signe de cataracte très évoluée.","True","Le document l’indique.","Easy"
"L’échographie oculaire est indispensable avant toute chirurgie de cataracte.","False","Le document précise qu’elle est surtout pour les cataractes totales.","Easy"
"La biométrie oculaire permet de calculer l’implant.","True","Le document l’indique.","Easy"
"La cataracte congénitale est une urgence ophtalmologique non seulement diagnostique mais aussi thérapeutique.","True","Le document mentionne qu’elle est grave avec risque d’amblyopie.","Easy"
"Le signe de Franceschetti est un reflexe digito-oculaire.","True","Le document le cite.","Easy"
"La phacoémulsification est la technique de référence pour la cataracte.","True","Le document l’indique.","Easy"
"L’indication opératoire de la cataracte se fait à partir d’une baisse d’acuité visuelle à 1/10.","False","Le document indique 5/10, 6/10.","Easy"
"L’endophtalmie est une complication post-opératoire rare mais grave de la chirurgie de la cataracte.","True","Le document la cite comme infection endoculaire grave.","Easy"
"La cataracte mûre est une opacification partielle du cristallin.","False","Le document définit : « Cataracte mûre : opaque totalement ».","Easy"
"La cataracte hypermûre présente une capsule antérieure plissée.","True","Le document le définit ainsi.","Easy"
"La rubéole congénitale peut donner une cataracte.","True","Le document liste la rubéole.","Easy"
"Le rétinoblastome est un diagnostic différentiel de la cataracte congénitale.","True","Le document le cite.","Easy"
"La persistance du vitré primitif est un diagnostic différentiel de la cataracte chez l’enfant.","True","Le document le mentionne.","Easy"
"La fibroplasie rétrolentale est une complication de la rétinopathie du prématuré.","True","Le document l’indique.","Medium"
"Le muscle ciliaire se contracte en vision de loin.","False","Le document : contraction en vision de près.","Medium"
"La cataracte morgagnienne correspond à un noyau abaissé en inférieur.","True","Le document le définit.","Medium"
"La cataracte post-traumatique peut être opérée en urgence immédiate.","False","Le document : attendre 15j à 1 mois après suture.","Medium"
"L’extraction intracapsulaire est actuellement la technique de référence.","False","Le document : « actuellement abandonné ».","Medium"
"Le broutage (phakophagie) est indiqué dans la cataracte sénile.","False","Le document : surtout chez l’enfant.","Medium"
"L’astigmatisme post-opératoire est une complication possible.","True","Le document le cite.","Medium"
"La cataracte cortisonique est une forme iatrogène.","True","Le document : iatrogène : corticoïdes.","Medium"
"L’extraction extra-capsulaire laisse la capsule en place.","True","Le document l’indique.","Medium"
"La cataracte nucléaire est une forme de cataracte partielle.","True","Le document le mentionne dans les cataractes partielles.","Medium"
"Le syndrome de Lowe associe cataracte, rachitisme vitamino-résistant.","True","Le document le mentionne.","Medium"
"Le diabète est une cause de cataracte acquise chez l’adulte.","True","Le document le cite.","Medium"
"La cataracte est responsable d’amblyopie chez l’enfant.","True","Le document l’indique.","Medium"
"La toxoplasmose est une cause parasitaire de cataracte congénitale.","True","Le document le mentionne.","Medium"
"Le réflexe photomoteur (RPM) est étudié dans le bilan de la cataracte congénitale.","True","Le document le cite.","Medium"
"La cataracte peut entraîner une baisse de vision progressive sur plusieurs années.","True","Le document le précise.","Medium"
"Le glaucome chronique à angle ouvert est un diagnostic différentiel de la cataracte chez l’adulte.","True","Le document le cite.","Medium"
"Le VIH est une cause de cataracte congénitale.","True","Le document liste le VIH.","Difficult"
"La maladie de Fabry est une anomalie du métabolisme lipidique donnant une cataracte.","True","Le document le mentionne.","Difficult"
"La cataracte iatrogène peut être due aux corticoïdes.","True","Le document le précise.","Difficult"
"La cataracte est responsable d’une baisse d’acuité visuelle avec une douleur intense.","False","La baisse est progressive et indolore (sauf complications).","Difficult"
"La phacoémulsification est contre-indiquée devant une cataracte mûre.","True","Le document l’indique.","Difficult"
