question, option1, option2, option3, option4, answer, explanation, difficulty
"Quelle est la définition d'une présentation de siège ?", "Présentation transversale", "Présentation longitudinale dont l'extrémité pelvienne se présente dans l'axe du détroit supérieur", "Présentation céphalique", "Présentation de l'épaule", "2", "Le document : 'Présentation longitudinale (non transversale) Dont l'extrémité pelvienne se présente la première dans l'axe du détroit supérieur'", "Easy"
"Quel est le pourcentage des présentations de siège ?", "1%", "2%", "4%", "6%", "3", "Le document : '4% des présentations'", "Easy"
"Quelle est la différence entre siège complet et siège décomplété ?", "Siège complet : membres inférieurs relevés ; siège décomplété : fœtus assis en tailleur", "Siège complet : fœtus assis en tailleur ; siège décomplété : membres inférieurs relevés jusqu'à la tête", "Siège complet : tête en bas ; siège décomplété : siège en bas", "Siège complet : jambes croisées ; siège décomplété : jambes décroisées", "2", "Le document : 'Siège complet : foetus assis en tailleur au-dessus du détroit supérieur ; Siège décomplété : membres inférieurs rélevés en attelle jusqu'au niveau de la tête foetale'", "Easy"
"Où sont perçus les bruits du cœur fœtaux dans une présentation de siège ?", "Du côté du dos, plus bas que l'ombilic", "Du côté du dos, plus haut situé au-dessus de l'ombilic", "Du côté ventral", "Au niveau du fond utérin", "2", "Le document : 'Auscultation : bruits du cœur fœtaux du côté du dos plus haut situé au-dessus de l'ombilic'", "Easy"
"Quel est le repère de la présentation de siège lors du toucher vaginal ?", "Le coccyx", "Le sacrum", "Les ischions", "Le pubis", "2", "Le document : 'Le sacrum constitue le repère de la présentation'", "Easy"
"Quelles sont les quatre variétés de positions du siège ?", "Sacro-iliaque antérieur et postérieur, droit et gauche", "Sacro-coccygien, sacro-vertébral", "Iliaque antérieur, iliaque postérieur", "Pubien antérieur, pubien postérieur", "1", "Le document : 'Sacro-iliaque gauche antérieur, Sacro-iliaque droite postérieure, Sacro-iliaque gauche postérieur, Sacro-iliaque droite antérieure'", "Easy"
"Quel examen complémentaire est supérieur à la clinique pour diagnostiquer une présentation de siège ?", "IRM", "Scanner", "Échographie", "Radiographie", "3", "Le document : 'En cas de doute, l'échographie est toujours supérieure à la clinique pour poser le diagnostic d'une présentation de siège'", "Easy"
"Quel est le pourcentage de siège chez les prématurés ?", "20%", "30%", "40%", "50%", "3", "Le document : 'Prématurité (40% de siège sont prématurés)'", "Easy"
"Quel est le pourcentage de siège chez les nullipares ?", "30%", "40%", "50%", "60%", "3", "Le document : 'Hypoplasie utérine avec cavité cylindrique (SD) : 50 % chez les nullipares'", "Easy"
"Quel fibrome peut empêcher la culbute physiologique en fin de grossesse ?", "Fibrome sous-séreux", "Fibrome du fond utérin", "Fibrome intramural", "Fibrome cervical", "2", "Le document : 'Fibrome du fond utérin qui déforme la cavité (empêche la culbute physiologique en fin de grossesse)'", "Easy"
"Quelle anomalie du liquide amniotique peut favoriser une présentation de siège ?", "Hydramnios", "Oligoamnios", "Liquide méconial", "Liquide teinté", "1", "Le document : 'Causes ovulaires : anomalie de l'insertion placentaire, anomalie du liquide amniotique, la gémellité'", "Medium"
"Quelle malformation fœtale est citée comme cause de présentation de siège ?", "Cardiopathie congénitale", "Hydrocéphalie, anencéphalie, spina bifida, trisomie 13 et 18", "Fente palatine", "Pied bot", "2", "Le document : 'Malformations foetales : hydrocéphalies, anencéphalie, spina bifida, trisomie 13 et 18'", "Easy"
"Quel est le principal diagnostic différentiel de la présentation de siège avant rupture des membranes ?", "Présentation de la face", "Présentation du sommet", "Présentation transversale avec un pied qui tombe dans le vagin", "Anencéphalie", "3", "Le document : 'Diagnostics différentiels : Présentation transversale avec un pied qui tombe dans le vagin'", "Easy"
"Quel est le signe à la palpation abdominale d'une présentation de siège au-dessus du détroit supérieur ?", "Pôle céphalique dur et arrondi", "Pôle fœtal volumineux, irrégulier, consistance molle (fesses)", "Membres inférieurs", "Épaule", "2", "Le document : 'Au-dessus du détroit supérieur : un pôle fœtal volumineux, irrégulier, de consistance molle'", "Easy"
"Quel est le signe à la palpation abdominale au niveau du fond utérin dans une présentation de siège ?", "Les fesses", "La tête fœtale, dure, arrondie", "Le dos", "Les membres", "2", "Le document : 'Au niveau du fond utérin : la tête fœtale, dure, arrondie'", "Easy"
"Quel élément ne peut-on pas percevoir lors du toucher vaginal avant rupture des membranes ?", "Fesses", "Sillon inter fessier", "Anus", "Suture ni fontanelle", "4", "Le document : 'Une présentation molle sans suture ni fontanelle'", "Medium"
"Que signifie l'abréviation RASP ?", "Recherche d'une anomalie du placenta", "Recherche d'une déflexion primitive de la tête foetale", "Recherche d'une anomalie du sacrum", "Recherche d'un rétrécissement pelvien", "2", "Le document : 'RASP : à la recherche d'une déflexion primitive de la tête foetale'", "Medium"
"Quelle est la conséquence d'un fibrome du fond utérin sur la présentation fœtale ?", "Favorise la présentation du siège", "Favorise la présentation céphalique", "Aucun effet", "Favorise la présentation transversale", "1", "Le document : 'Fibrome du fond utérin qui déforme la cavité (empêche la culbute physiologique en fin de grossesse)'", "Medium"
"Quelle est l'anomalie utérine citée comme cause de présentation de siège ?", "Utérus rétroversé", "Utérus unicorne, didelphe, cloisonné", "Utérus gravide", "Utérus myomateux diffus", "2", "Le document : 'Utérus unicorne, didelphe, cloisonné 5%'", "Easy"
"Quelle est la cause pelvienne de présentation de siège citée ?", "Syndrome des loges", "Rétrécissement du détroit supérieur", "Défilé", "Bassin asymétrique", "2", "Le document : 'Causes pelviennes : Rétrécissement du détroit supérieur'", "Easy"
"Quelle anomalie placentaire peut favoriser une présentation de siège ?", "Placenta praevia", "Anomalie de l'insertion placentaire", "Décollement prématuré", "Infarctus placentaire", "2", "Le document : 'Causes ovulaires : anomalie de l'insertion placentaire'", "Medium"
"Quelle est la notion d'accouchement antérieur à rechercher à l'interrogatoire ?", "Accouchement par forceps", "Accouchement par le siège (antérieur)", "Césarienne", "Accouchement prématuré", "2", "Le document : 'Notion d'accouchement par le siège (antérieur)'", "Easy"
"Quel est le type d'utérus favorisant la présentation de siège chez la nullipare ?", "Utérus gravide", "Hypoplasie utérine avec cavité cylindrique", "Utérus bicorne", "Utérus myomateux", "2", "Le document : 'Hypoplasie utérine avec cavité cylindrique (SD) : 50 % chez les nullipares'", "Medium"
"Quelle est la sensation rapportée par la patiente en cas de présentation de siège à l'interrogatoire ?", "Douleur lombaire", "Douleur sous-costale ou sensation de gène", "Contractions utérines", "Pertes d'eau", "2", "Le document : 'Douleur sous-costale ou sensation de gène'", "Easy"
"Quelle est la différence entre siège complet et siège décomplété lors du toucher vaginal avant rupture des membranes ?", "Siège complet : petites membres perçus ; siège décomplété : présentation molle", "Siège complet : présentation molle ; siège décomplété : petites membres perçus", "Les deux sont identiques", "On ne peut pas les différencier", "1", "Le document : 'Une présentation molle sans suture ni fontanelle : c'est le siège décomplété ; Une présentation plus irrégulière avec les petits membres : c'est le siège complet'", "Difficult"
"Quel est le rôle de la culbute physiologique ?", "Transformer une présentation du siège en présentation céphalique", "Transformer une présentation céphalique en présentation du siège", "Retourner le fœtus", "Favoriser l'engagement", "1", "Le document : 'Culbute physiologique transformant la PS en PC'", "Medium"
"Quel est le diagnostic différentiel d'une présentation de siège après rupture des membranes ?", "Présentation de la face (nez)", "Présentation du sommet", "Présentation transversale", "Anencéphalie", "1", "Le document : 'Présentation de la face (nez...)'", "Medium"
"Quelle est l'anomalie chromosomique citée comme cause de présentation de siège ?", "Trisomie 21", "Trisomie 13 et 18", "Syndrome de Turner", "Syndrome de Klinefelter", "2", "Le document : 'trisomie 13 et 18'", "Easy"
"Quel est l'organe que l'on peut identifier lors du toucher vaginal après rupture des membranes ?", "L'anus", "Le nombril", "Le coccyx", "Le pubis", "1", "Le document : 'Fesses, séparés par le sillon inter fessier centré par l'anus'", "Easy"
"Quelle est la conséquence d'un utérus hypotonique très vaste chez la multipare ?", "Favorise la présentation céphalique", "Favorise la présentation de siège", "Aucun effet", "Favorise la prématurité", "2", "Le document : 'Utérus hypotonique, très vaste, fibreux de multipares' comme cause de PS", "Medium"
