"question","answer","explanation","difficulty"
"L'asphyxie périnatale est définie par une hypoxémie isolée.","False","Le document définit l'asphyxie comme 'hypoxie + acidose métabolique', non pas hypoxémie seule.","Easy"
"Le cerveau est l'un des organes les plus touchés par l'asphyxie périnatale.","True","Le document indique : 'Cerveau++++ et rein : les plus touchés'.","Easy"
"Le score d'Apgar est un critère objectif et non subjectif.","False","Le document mentionne : 'Très subjective' à propos du score d'Apgar.","Easy"
"L'encéphalopathie de grade I selon Sarnat résout ses signes en moins de 48h sans séquelles.","True","Le document : 'Grade I : mineure, résolution des signes en moins de 48 h, sans séquelles neurologiques'.","Easy"
"Un pH inférieur à 7 est un signe biologique d'asphyxie périnatale.","True","Le document : 'Acidose métabolique : pH < 7 et déficit de Base 12mmol/l'.","Easy"
"L'hyperthermie ralentit le phénomène apoptotique.","False","Le document indique que l'hyperthermie 'accélère le phénomène apoptotique'.","Easy"
"L'hypothermie contrôlée doit être débutée avant la 6ème heure de vie.","True","Le document : 'Hypothermie thérapeutique : avant la 6ème heure de vie' et 'Avant la 6ème heure'.","Easy"
"L'IRM a une bonne précision pour les lésions cérébrales post-asphyxiques.","True","Le document : 'IRM : ++++ bonne précision des lésions cérébrales (bonne VPP et VPN)'.","Easy"
"L'asphyxie périnatale est la première cause de mortalité néonatale.","False","Le document indique que c'est la '3ème cause de mortalité après les infections néonatales et prématurités'.","Easy"
"L'encéphalopathie modérée (grade II) a un risque de séquelles neurologiques de 40-60%.","True","Le document : 'Grade II : 40 à 60% des cas : séquelles neurologiques'.","Easy"
"L'hyperlactacidémie > 6 mmol/l est un signe biologique d'asphyxie.","True","Le document : 'Hyperlactacidémie > 6mmol/l (peut être observé au niveau du cordon)'.","Easy"
"Un cri à la naissance est un signe de mauvais pronostic.","False","Le document : 'Cri à la naissance : signe positif d’un bon pronostic'.","Easy"
"L'hypoxie correspond à une baisse d'O2 dans le sang.","False","L'hypoxie est une baisse d'O2 dans les tissus ; l'hypoxémie est dans le sang.","Medium"
"Le score d'Apgar < 7 prolongé sur au moins 5 minutes est un critère d'asphyxie.","True","Le document : 'Apgar < 7 bas prolongé (au moins 5 minutes)'.","Medium"
"L'encéphalopathie de grade III se caractérise par un coma profond et une perte des réflexes du tronc.","True","Le document : 'Grade III : coma profond et perte reflexe du tronc (décès +++'.","Medium"
"Les convulsions post-asphyxiques apparaissent typiquement avant la 6ème heure.","False","Le document : 'à partir de la 6ème heure de vie'.","Medium"
"L'allopurinol est utilisé comme anticonvulsivant.","False","L'allopurinol est utilisé pour 'Lutte contre les radicaux libres', non comme anticonvulsivant.","Medium"
"L'hyperlactacidémie ≥ 11 mmol/l augmente le risque d'encéphalopathie à 20%.","True","Le document : 'Risque d’encéphalopathie est de 20% pour un acide lactique supérieur ou égal à 11 mmol/l'.","Medium"
"Le diazépam peut être utilisé sans risque chez le nouveau-né asphyxié.","False","Le document précise : 'diazépam (non utilisé faute d’assistance respi)'.","Medium"
"L'hypothermie contrôlée nécessite une analgésie systématique.","True","Le document : 'Analgésie systématique est nécessaire'.","Medium"
"L'EEG n'a pas d'intérêt dans les premières 48h.","False","Le document insiste sur 'EEG+++ dans les premières 48h'.","Medium"
"La restriction hydrique est recommandée en cas d'œdème cérébral.","True","Le document : 'Œdème cérébral : restriction hydrique'.","Medium"
"Les bicarbonates doivent être utilisés systématiquement devant toute acidose.","False","Le document : 'bicarbonates si acidose sévère (à ne pas utiliser sur argument clinique : GDS!!)'.","Medium"
"La bradycardie bien tolérée sans autre signe doit être traitée activement.","False","Le document : 'Bradycardie bien tolérée, sans autre signe associé : le laisser se débrouiller'.","Medium"
"L'asphyxie périnatale est responsable de 20% des paralysies cérébrales.","True","Le document : '20% paralysies cérébrales attribuables à l’asphyxie'.","Medium"
"L'encéphalopathie est toujours présente en cas d'asphyxie.","False","Le document : 'Asphyxie n’est pas synonyme d’encéphalopathie' et 'Encéphalopathie n’est pas égale à asphyxie (50%)'.","Difficult"
"Un état de mal convulsif durant plus de 48h a un bon pronostic.","False","Le document : 'Etat de mal convulsif à plus de 48h : pronostic très réservé'.","Difficult"
"Les lésions des noyaux gris centraux sont une conséquence possible.","True","Le document mentionne 'Lésions des noyaux gris centraux' dans le pronostic.","Difficult"
"La correction systématique de l'acidose métabolique sans altération hémodynamique est recommandée.","False","Le document déconseille : 'Correction artificielle des anomalies présentes pendant la phase de récupération : Acidose métabolique sans altération hémodynamique'.","Difficult"
"Le pronostic est bon si asphyxie avec encéphalopathie modérée.","False","Le document : 'Mauvais si Encéphalopathie modérée ou sévère'.","Difficult"
