ASPHYXIE PERINATALE
Objectifs
1.	Expliquer la physiopathologie
2.	Reconnaitre une asphyxie périnatale
3.	Enumérer les principes du traitement

INTRODUCTION
Définition
1.	Altération sévère des échanges gazeux utéro-placentaires
1.	-> Hypoxie sévère + acidose gazeuse (hypercapnie) immédiates
2.	-> Acidose métabolique + hyperlactacidémie (altération du métabolisme cellulaire)
2.	Arguments cliniques et biologiques +++
3.	-> mise en jeu du pronostic vital

Intérêts
4.	Asphyxie périnatale : cause majeure de mortalité néonatale
5.	Pays développés : 0,2 à 0,4 % des naissances
6.	Afrique : 4,2% des naissances à terme
7.	Cerveau++++ et rein : les plus touchés
8.	Pronostic neurologique : encéphalopathie néonatale post-asphyxique (EEG et IRM +++)

9.	-> Hypothermie contrôlée : efficacité prouvée (évite l’installation d’une encéphalopathie III)

PHYSIOPATHOLOGIE
1.	Définitions :
1.	Hypoxémie : baisse de la quantité d’ O2 dans le sang (possible pendant quelques jours)
2.	Hypoxie : baisse de la quantité d’O2 dans les tissus (en quelques heures)
3.	Asphyxie : hypoxie + acidose métabolique
 

 
Hypothermie thérapeutique : avant la 6ème heure de vie
 
 
 

DIAGNOSTIC
1.	DIAGNOSTIC POSITIF
1.	Signes cliniques
1.	Score d’APGAR
2.	Encéphalopathie néonatale par anoxie cérébrale

1.	Score d’APGAR
1.	Mauvaise adaptation à la naissance
2.	Apgar < 7 bas prolongé (au moins 5 minutes) 
3.	Hypotonique et hyporéactif
4.	Très subjective
1.	(Asphyxie périnatale)

5.	ENCEPHALOPATHIE NEONATALE : (Classification de Sarnat)

	
EHI légère I	
EHI modérée II	
EHI sévère III

Etat de conscience	
Hyper-alerte 	
Léthargique	
Stuporeux 

Tonus musculaire	
Normal	
Hypotonie Légère	
Flaccidité

Réflexes complexes	
	
	


Succion 	
Normal/faible	
Faible/absente	
Absente 

Moro	
Bon 	
Faible/incomplet	
Absent 

Convulsions 	
Absentes 	
Courantes 	
Fréquentes/difficiles à contrôler

Grade I : mineure, résolution des signes en moins de 48 h, sans séquelles neurologiques
Grade II : 40 à 60% des cas : séquelles neurologiques
Grade III : coma profond et perte reflexe du tronc (décès +++)

6.	Signes biologiques
1.	Acidose métabolique : pH < 7 et déficit de Base  12mmol/l
2.	Hyperlactacidémie > 6mmol/l (peut être observé au niveau du cordon)
3.	Créatine kinase (CK-Brain Borne)
4.	Acides aminés excitateurs (aspartate et glutamate) de la Neuro Specific Enolase (NSE)
5.	-> clinique + hyperlactacidémie = premières prise en charge

6.	Explorations complémentaires
1.	EEG+++ dans les premières 48h 
2.	Potentiels évoqués (visuels, auditifs ou somesthésiques) : explorations fonctionnelles des voies nerveuses
3.	Doppler pulsé transcrânien

4.	IMAGERIE
1.	ETF : échographie transfontanellaire (HIV, etc)
2.	Scanner cérébral
3.	IRM : ++++ bonne précision des lésions cérébrales (bonne VPP et VPN)

4.	DIAGNOSTIC DE GRAVITE
1.	Evènement obstétrical à risque : hématome rétro placentaire, rupture utérine
2.	Anomalies du RCF modérées mais prolongées ou sévères
3.	Score d’Apgar M5 < 7
4.	Manœuvres de réanimation à la naissance (déjà en état d’hypoxie sévère in utéro)
5.	Acidose métabolique persistante ; pH < 7,20 au-delà de H2
6.	Hyperlactacidémie  9mmol/l (traduit un état d’hypoxie sévère in utéro)

7.	DIAGNOSTIC DIFFERENTIEL
1.	Pathologies infectieuses : INBP +++
2.	Pathologies métaboliques (dysrégulation glucidique ou calcique)
3.	Pathologies traumatiques (obstétricales ou lors de l’accouchement)
4.	Pathologies génétiques
5.	-> toutes ces pathologies peuvent se compliquer ou être associé à une Asphyxie périnatale

6.	DIAGNOSTIC ETIOLOGIQUE
1.	Interrogatoire :
1.	Idem, classique
2.	Durée du travail
3.	Aspect du liquide amniotique (méconium dans LA = en souffrance = en hypoxie, peut être né asphyxié
4.	Voie d’accouchement : basse ou césarienne
5.	Score d’Apgar +++
6.	Réanimation néonatale
7.	Cri à la naissance : signe positif d’un bon pronostic devant un bébé en état d’hypoxie in utéro

8.	Examen clinique
1.	Conscience
2.	État hémodynamique
3.	Signes de défaillances multi-viscérales
4.	Troubles neurologiques : mouvements anormaux ou convulsions ++++ à partir de la 6ème heure de vie

5.	ETIOLOGIES
Situations obstétricales
1.	Hématome rétro placentaire
2.	Compressions funiculaires
3.	Rupture utérine
4.	Dystocies sévères
5.	Dysfonctions placentaires (post maturité, prééclampsie) (-> altération des échanges fœto-maternelles surtout gazeux -> anoxie ou hypoxie -> né asphyxié)
6.	Hémorragies fœtales (syndrome de Benkiser, transfusion fœto-maternelle)
7.	CONSEQUENCES
1.	Défaillances organiques précoces (60%) : endothéliale, rénale, myocardique, pulmonaire, hépatique, digestive, cutanée
2.	Encéphalopathie néonatale (40%)
3.	Séquelles neurologiques (15-25%) : paralysies cérébrales +++
4.	Encéphalopathie n’est pas égale à asphyxie (50%) et 20% paralysies cérébrales attribuables à l’asphyxie
5.	Risque d’encéphalopathie est de 20% pour un acide lactique supérieur ou égal à 11 mmol/l ou un déficit de base supérieur ou égale à 16 mmol/l
PRISE EN CHARGE
1.	Buts
1.	Restaurer et maintenir les fonctions vitales
2.	Eviter ou traiter les complications

2.	Moyens
1.	Moyens préventifs
1.	Bonne CPN et suivi de la grossesse +++
2.	Mise en place des mesures de réanimation à mettre en place si devant un état d’urgence (souffrance fœtale, anomalies du RCF)
A EVITER :
1.	Tout état d’hyperoxie, hypocapnie (par hyperventilation), hyperthermie (accélère le phénomène apoptotique)
2.	Stimulations nociceptives
3.	Médicaments potentiellement toxiques
4.	Anticonvulsivant sans assistance respiratoire (risque d’hypoventilation) (AR = o2t3 ou VNI ou VI

Déconseillé
5.	Correction artificielle des anomalies présentes pendant la phase de récupération
1.	Acidose métabolique sans altération hémodynamique
2.	Bradycardie bien tolérée, sans autre signe associé : le laisser se débrouiller
3.	Troubles de l’hémostase sans syndrome hémorragique clinique

2.	En phase aiguë :
1.	Ventilation artificielle
2.	Maintien de l’hémodynamique : TA (hypotension : ischémie +++, HTA : hémorragie +++), dysfonction myoca
3.	Eq AB et He : restriction hydrique, bicarbonates si acidose sévère (à ne pas utiliser sur argument clinique : GDS!! 
4.	Maintenir un bon apport énergétique (nutrition parentérale fa tsy polyionique)

3.	Mesures spécifiques
1.	Œdème cérébral : restriction hydrique
