"question","option1","option2","option3","option4","answer","explanation","difficulty"
"L’insuffisance cardiaque (IC) est définie par :","Une augmentation du débit cardiaque","Une incapacité du cœur à assurer un débit sanguin adéquat et une oxygénation suffisante","Une baisse de la fréquence cardiaque","Une hypertension artérielle","2","Le document : ''Incapacité du cœur à assurer un débit sanguin adéquat et une oxygénation suffisante des différents organes''.","Easy"
"L’IC aiguë est souvent :","Décompensée","Révélatrice","Chronique","Asymptomatique","2","Le document : ''IC aiguë : souvent révélatrice''.","Easy"
"Quel paramètre conditionne la fréquence cardiaque ?","Le système nerveux","La précharge","La postcharge","La contractilité","1","Le document : ''La fréquence cardiaque conditionne la contraction ventriculaire. Dépend du système nerveux''.","Easy"
"Le volume d’éjection systolique (VES) dépend de :","La contractilité du myocarde, la précharge et la postcharge","Uniquement de la fréquence cardiaque","Uniquement de la postcharge","Uniquement de la précharge","1","Le document : ''VES = débit sanguin éjecté dans l’aorte dépend de : La contractilité du myocarde et sa compliance, Les conditions circulatoires en amont et en aval (pré et post charge)''.","Easy"
"La précharge correspond :","À la résistance à l’éjection","Au volume ventriculaire en fin de diastole (VTD)","À la fréquence cardiaque","À la contractilité","2","Le document : ''Précharge : c’est le volume ventriculaire en fin de diastole (VTD)''.","Easy"
"La postcharge correspond :","Au volume ventriculaire en fin de diastole","À la résistance à l’écoulement du sang en aval du ventricule (VTS)","À la fréquence cardiaque","À la compliance ventriculaire","2","Le document : ''Postcharge : résistance à l’écoulement du sang en aval du ventricule (volume ventriculaire en fin de systole : VTS)''.","Easy"
"Une tachycardie >200/min entraîne :","Une augmentation de la précharge","Un raccourcissement de la diastole -> diminution de la précharge -> IC","Une augmentation de la contractilité","Une bradycardie","2","Le document : ''Tachycardie (FC>200/mn) -> raccourcissement de la diastole -> diminution de la précharge -> diminution du VES + ischémie myocardique -> IC''.","Easy"
"La bradycardie (<40/min) peut entraîner :","Une augmentation du VES puis ischémie myocardique","Une tachycardie","Une augmentation de la postcharge","Une hypotension","1","Le document : ''Bradycardie -> augmentation du VES (pour maintenir Qc) -> dilatation importante du cœur -> ischémie myocardique -> IC''.","Easy"
"Une augmentation de la précharge peut être due à :","Hypovolémie","Shunt gauche-droit, surcharge hydrosodée","Sténose aortique","Vasodilatation","2","Le document : ''Augmentée : shunt gauche-droit, surcharge hydrosodée''.","Easy"
"Une augmentation de la postcharge peut être due à :","Hypovolémie","Coarctation de l’aorte, sténose aortique ou pulmonaire","Vasodilatation","Anémie","2","Le document : ''Augmentée : HTA, obstacle à l’éjection ventriculaire (coarctation de l’aorte, sténose aortique ou pulmonaire)''.","Easy"
"Chez le nouveau-né et le nourrisson, un symptôme digestif de l’IC est :","Diarrhée","Refus du biberon, vomissements","Constipation","Ictère","2","Le document : ''Difficultés alimentaires : refus du biberon, irritabilité, vomissements''.","Easy"
"Un signe physique de congestion cardiaque droite chez l’enfant est :","Oedème pulmonaire","Hépatomégalie","Tachycardie","Pâleur","2","Le document : ''Signes de congestion cardiaque – Droits : Hépatomégalie : ferme, douloureuse, avec surface lisse et bord inférieur mousse''.","Easy"
"Un signe de congestion cardiaque gauche est :","Turgescence des veines jugulaires","Oedème pulmonaire (polypnée, râles crépitants)","Hépatomégalie","Reflux hépato-jugulaire","2","Le document : ''Gauches – Oedème pulmonaire : Polypnée ou tachypnée, SDLR, Râles crépitants''.","Easy"
"Le premier signe d’intolérance hémodynamique dans l’IC est :","Pâleur","Tachycardie","Oligurie","Marbrures","2","Le document : ''Signes d’intolérance hémodynamique – Tachycardie (1er signe) : signe constant''.","Easy"
"La limite supérieure de la fréquence cardiaque normale à 6 mois est :","150","180","200","220","2","Tableau : ''6 mois – Limite supérieure 180''.","Easy"
"Dans la classification NYHA adaptée (ROSS), un nourrisson en classe III présente :","Tachypnée et diaphorèse marquée aux repas, difficulté alimentaire","Asymptomatique","Tachypnée au repos","Dyspnée modérée à l’effort","1","Le document : ''Nourrisson : tachypnée et diaphorèse marquée aux repas, difficulté de la prise alimentaire, repas prolongés, cassure de la courbe pondérale''.","Easy"
"L’ICT (indice cardiothoracique) normal chez le nouveau-né est :","0,5","0,55","0,60","0,65","3","Tableau : ''Nouveau-né – 0,60''.","Easy"
"L’ICT normal chez l’enfant est :","0,5","0,55","0,60","0,65","1","Tableau : ''Enfant – 0,5''.","Easy"
"Un état de choc cardiogénique se manifeste par :","TRC normal, extrémités chaudes","TRC allongé, extrémités froides, marbrures, TA effondrée","Tachycardie isolée","Hépatomégalie","2","Le document : ''Diagnostic de gravité – Etat de choc cardiogénique : TRC allongé, extrémités froides, marbrures cutanées, TA effondrée, trouble de la conscience''.","Easy"
"Chez le nouveau-né, une cause cardiaque fréquente d’IC est :","Cardiopathie rhumatismale","Cardiopathie congénitale","Myocardiopathie","Péricardite","2","Le document : ''Chez le nouveau-né – Causes cardiaques : Cardiopathies congénitales +++''.","Easy"
"Chez le grand enfant, une cause cardiaque d’IC est :","Cardiopathie congénitale","Cardiopathie rhumatismale","Myocardite","Tachycardie supraventriculaire","2","Le document : ''Chez le grand enfant – Cardiopathies rhumatismales''.","Easy"
"Un traitement diurétique de l’IC en phase congestive est :","Captopril","Furosémide","Enalapril","Spironolactone","2","Le document : ''Diurétiques : en phase congestive – Furosémide* : 1-2mg/kg/j''.","Easy"
"La posologie initiale du furosémide dans l’IC est :","0,5-1 mg/kg/j","1-2 mg/kg/j","3-5 mg/kg/j","8 mg/kg/j","2","Le document : ''Furosémide* : 1-2mg/kg/j (selon l’IC et la réponse thérapeutique : 8mg/kg/j) IV''.","Easy"
"Le captopril est un :","Diurétique","Vasodilatateur (IEC)","Inotrope positif","Bêtabloquant","2","Le document : ''Vasodilatateurs : IEC (réduit la post charge) – Captopril*''.","Easy"
"La posologie de l’enalapril chez l’enfant est :","0,05 - 0,75 mg/kg/j en 1 prise","0,1 - 3 mg/kg/j","1-2 mg/kg/j","5-10 mg/kg/j","1","Le document : ''Enalapril* : 0,05 - 0,75 mg/kg/j en 1 prise''.","Medium"
"Chez le nouveau-né, une cause extracardiaque d’IC est :","Anémie, polyglobulie","Cardiopathie congénitale","Tachycardie","Myocardite","1","Le document : ''Causes extracardiaques – Hématologique : anémie, polyglobulie''.","Medium"
"Chez le nourrisson, une cause extracardiaque rénale d’IC est :","HTA, GNA, SHU","Hyperthyroïdie","Hypocalcémie","HTAP","1","Le document : ''Rénales : HTA, GNA, Insuffisance rénale (SHU)''.","Medium"
"La maladie de Kawasaki est une cause d’IC chez :","Le nouveau-né","Le nourrisson","Le grand enfant","Tous","3","Le document : ''Chez le grand enfant – Maladie de Kawasaki''.","Medium"
"Une tachycardie supraventriculaire (TSV) peut causer une IC chez :","Le nouveau-né uniquement","Le nourrisson et l’enfant","Uniquement le grand enfant","Uniquement l’adulte","2","Le document : ''Chez le nourrisson – Troubles du rythme : TSV'' et ''Chez le grand enfant – Troubles du rythme''.","Medium"
"La radiographie thoracique normale chez l’enfant montre un ICT de :","0,5","0,55","0,6","0,65","1","Tableau.","Medium"
"La spironolactone est surtout utilisée :","En phase aiguë","Quand l’enfant est stabilisé","En première intention","Dans le choc cardiogénique","2","Le document : ''Spironolactone (surtout quand l’enfant est stabilisé)''.","Medium"
"La dose maximale de furosémide peut atteindre :","4 mg/kg/j","6 mg/kg/j","8 mg/kg/j","10 mg/kg/j","3","Le document : ''(selon l’IC et la réponse thérapeutique : 8mg/kg/j)''.","Medium"
"Le reflux hépato-jugulaire est un signe de :","Insuffisance cardiaque droite","Insuffisance cardiaque gauche","Choc cardiogénique","Oedème pulmonaire","1","Document : ''Turgescence des veines jugulaires (TVJ), reflux hépato-jugulaire (RHJ)'' – signes droits.","Medium"
"Les râles crépitants dans l’IC traduisent :","Une hépatomégalie","Un oedème pulmonaire","Une péricardite","Une pleurésie","2","Document : ''Oedème pulmonaire – Râles crépitants ou sous crépitants''.","Medium"
"L’oligurie dans l’IC est un signe :","De congestion droite","D’intolérance hémodynamique","De surcharge volémique","De bonne compensation","2","Document : ''Signes d’intolérance hémodynamique – Oligurie''.","Medium"
"Un TRC allongé > 3 secondes est un signe :","De bonne perfusion","D’intolérance hémodynamique","De congestion","Normal chez le nouveau-né","2","Document : ''TRC allongé > 3sec'' dans signes d’intolérance hémodynamique.","Medium"
"Chez le nouveau-né, une bradycardie peut être un signe d’IC.","Vrai","Faux","","","1","Document : ''parfois bradycardie ou bruit de galop''.","Medium"
"La polypnée aux biberons avec sueurs est un symptôme évocateur d’IC chez le nourrisson.","True","Document.","Medium"
"La tachycardie est un signe constant de l’IC.","True","Document : ''Tachycardie (1er signe) : signe constant''.","Medium"
"L’hépatomégalie de l’IC est molle et indolore.","False","Document : ''ferme, douloureuse''.","Medium"
"L’ICT normal chez le nourrisson est 0,55.","True","Tableau.","Medium"
"Les cardiopathies rhumatismales sont une cause fréquente d’IC chez le nouveau-né.","False","Chez le grand enfant.","Medium"
"L’anémie est une cause extracardiaque d’IC chez le nouveau-né.","True","Document.","Medium"
"La restriction hydrique et le régime hyposodé font partie du traitement non médicamenteux.","True","Document.","Medium"
"Le captopril est un IEC qui réduit la postcharge.","True","Document.","Medium"
"La spironolactone est un diurétique de l’anse.","False","C’est un anti-aldostérone.","Medium"
"Chez le grand enfant, la maladie de Kawasaki peut entraîner une IC.","True","Document.","Medium"
"L’hypocalcémie est une cause extracardiaque d’IC chez le nouveau-né.","True","Document.","Medium"
"Le VES = VTD – VTS.","True","Document.","Medium"
"La précharge dépend du retour veineux et de la compliance du ventricule.","True","Document.","Difficult"
"La postcharge dépend uniquement de la résistance artérielle.","False","Dépend aussi de la contractilité du myocarde.","Difficult"
"Le volume d’éjection systolique (VES) est augmenté dans l’IC.","False","Diminué.","Difficult"
"La classe IV de Ross chez le nourrisson associe tachypnée, tirage et diaphorèse au repos.","True","Document.","Difficult"
"L’ICT (indice cardiothoracique) se calcule par (CD+CG)/T.","True","Document.","Difficult"
"La turgescence des veines jugulaires est facile à apprécier chez le nourrisson.","False","Signes rares et difficiles à apprécier.","Difficult"
"Le choc septique est un diagnostic différentiel du choc cardiogénique.","True","Document.","Difficult"
"La dose de captopril peut aller jusqu’à 3 mg/kg/j.","True","Document : ''Captopril* : 0,1 - 3 mg/kg/j''.","Difficult"
"L’IC aiguë est souvent décompensée.","False","Souvent révélatrice.","Difficult"
"La bradycardie <40/min peut être compensée par une augmentation du VES.","True","Document.","Difficult"
"La cardiomyopathie génétique est une anomalie primitive de la contractilité.","True","Document.","Difficult"
