"question","answer","explanation","difficulty"
"Quels sont les trois paramètres qui conditionnent le fonctionnement du cœur ?","Précharge, postcharge, contractilité ventriculaire.","Physiopathologie.","Easy"
"Donnez la formule du débit cardiaque (Qc).","Qc = FC x VES (fréquence cardiaque x volume d’éjection systolique).","Document.","Easy"
"Expliquez la différence entre précharge et postcharge.","Précharge = volume ventriculaire en fin de diastole (VTD). Postcharge = résistance à l’éjection, correspond au volume ventriculaire en fin de systole (VTS).","Document.","Easy"
"Citez trois signes d’intolérance hémodynamique dans l’IC.","Tachycardie (1er signe), pâleur, marbrures, TRC allongé >3s, oligurie.","Diagnostic positif – Signes physiques.","Easy"
"Quels sont les signes de congestion cardiaque droite chez l’enfant ?","Hépatomégalie ferme douloureuse, turgescence des veines jugulaires, reflux hépato-jugulaire, œdème des membres inférieurs.","Document.","Easy"
"Quels sont les signes de congestion cardiaque gauche ?","Œdème pulmonaire (polypnée, tachypnée, râles crépitants).","Document.","Easy"
"Donnez la classification de Ross pour les nourrissons (classe I à IV).","I : asymptomatique ; II : tachypnée ou diaphorèse légère durant les repas ; III : tachypnée et diaphorèse marquée aux repas, difficulté alimentaire, cassure pondérale ; IV : tachypnée, tirage et diaphorèse au repos.","Document.","Easy"
"Citez deux causes cardiaques d’IC chez le nouveau-né.","Cardiopathies congénitales, arythmies (BAV, TSV), ischémies myocardiques.","Étiologies.","Easy"
"Citez deux causes extracardiaques d’IC chez le nouveau-né.","Anémie, polyglobulie, HTA, IRA, hyperthyroïdie, insuffisance surrénale, hypocalcémie, HTAP.","Document.","Easy"
"Quel est le traitement diurétique de première intention en phase congestive d’IC ?","Furosémide (1-2 mg/kg/j IV, max 8 mg/kg/j).","Prise en charge.","Easy"
"Quelle est la posologie du captopril dans l’IC ?","0,1 à 3 mg/kg/j en 2 à 3 prises.","Document.","Easy"
"Quel est le but du traitement de l’IC ?","Rétablir un débit sanguin suffisant aux besoins de l’organisme.","Prise en charge – Buts.","Easy"
"Expliquez le mécanisme par lequel une tachycardie extrême (>200/min) provoque une IC.","Raccourcissement de la diastole → diminution du remplissage ventriculaire (précharge) → diminution du VES → ischémie myocardique → baisse de contractilité → IC.","Physiopathologie.","Medium"
"Expliquez le mécanisme par lequel une bradycardie (<40/min) provoque une IC.","Augmentation compensatrice du VES → dilatation cardiaque → ischémie myocardique → baisse de contractilité → IC.","Document.","Medium"
"Pourquoi une sténose aortique augmente-t-elle la postcharge ?","Car elle crée un obstacle à l’éjection du ventricule gauche, augmentant la résistance que le cœur doit vaincre.","Document.","Medium"
"Quels sont les deux ordres de signes physiques de l’IC ?","Signes de congestion (droite et gauche) et signes d’intolérance hémodynamique.","Document.","Medium"
"Comment calcule-t-on l’indice cardiothoracique (ICT) sur une radiographie thoracique ?","ICT = (diamètre cardiaque transverse) / (diamètre thoracique transverse) soit (CD+CG)/T.","Document.","Medium"
"Quelles sont les valeurs normales de l’ICT chez le nouveau-né, le nourrisson et l’enfant ?","Nouveau-né : 0,60 ; nourrisson : 0,55 ; enfant : 0,5.","Tableau.","Medium"
"Quels sont les éléments du diagnostic de gravité (choc cardiogénique) ?","TRC allongé, extrémités froides, marbrures, TA effondrée, trouble de la conscience.","Document.","Medium"
"Citez trois diagnostics différentiels de l’IC chez le nourrisson.","Bronchiolite, asthme, corps étranger intra-bronchique, staphylococcie pleuropulmonaire.","Document.","Medium"
"Quels examens paracliniques sont utiles pour le diagnostic étiologique de l’IC ?","Radiographie thoracique, ECG, échocardiographie-doppler, angioscanner, cathétérisme cardiaque, bilans biologiques.","Document.","Medium"
