"term","definition","contextual_explanation"
"insuffisance cardiaque (IC)","Incapacité du cœur à assurer un débit sanguin adéquat et une oxygénation suffisante des organes.","Peut être aiguë (souvent révélatrice) ou chronique (décompensée). Gravité : pronostic vital en jeu sans traitement adéquat."
"précharge","Volume ventriculaire en fin de diastole (VTD).","Dépend du retour veineux et de la compliance du ventricule."
"postcharge","Résistance à l’écoulement du sang en aval du ventricule (volume ventriculaire en fin de systole – VTS).","Dépend de la résistance artérielle et de la contractilité myocardique."
"contractilité","Capacité du myocarde à se contracter.","Dépend de la quantité/qualité des fibres, du calcium intracellulaire, de leur synergie et de l’oxygénation myocardique (circulation coronaire diastolique)."
"Qc","Débit cardiaque.","Qc = FC x VES."
"VES","Volume d’éjection systolique.","VES = VTD – VTS."
"VTD","Volume télédiastolique (volume ventriculaire après remplissage).","Reflet de la précharge."
"VTS","Volume télésystolique (volume ventriculaire après contraction).","Reflet de la postcharge."
"tachycardie","Fréquence cardiaque excessive.",">200/min entraîne un raccourcissement de la diastole → diminution de la précharge → IC."
"bradycardie","Fréquence cardiaque trop lente.","<40/min → augmentation compensatrice du VES → dilatation → ischémie → IC."
"shunt gauche-droit","Communication anormale entre circulation gauche et droite, entraînant un excès de flux pulmonaire.","Cause d’augmentation de la précharge."
"coarctation de l’aorte","Rétrécissement congénital de l’aorte.","Cause d’augmentation de la postcharge (obstacle à l’éjection)."
"sténose aortique","Rétrécissement de la valve aortique.","Cause d’augmentation de la postcharge."
"sténose pulmonaire","Rétrécissement de la valve pulmonaire.","Cause d’augmentation de la postcharge."
"péricardite constrictive","Inflammation du péricarde entraînant une restriction du remplissage cardiaque.","Cause de diminution de la précharge par anomalie de compliance."
"myocardiopathie restrictive","Maladie du myocarde limitant le remplissage diastolique.","Cause de diminution de la précharge."
"cardiomyopathie","Maladie primitive du muscle cardiaque (génétique ou métabolique).","Cause de diminution de la contractilité."
"hépatomégalie","Augmentation de la taille du foie.","Signe de congestion cardiaque droite. Taille normale selon l’âge : 0-28j >5 cm ; 29j-2ans >6 cm ; 2-5ans >7 cm ; 5-15ans >8 cm."
"turgescence des veines jugulaires (TVJ)","Distension des veines jugulaires.","Signe de congestion droite (rare et difficile chez le nourrisson)."
"reflux hépato-jugulaire (RHJ)","Augmentation de la turgescence jugulaire à la compression du foie.","Signe de congestion droite."
"œdème pulmonaire","Accumulation de liquide dans les alvéoles pulmonaires.","Signe de congestion gauche : polypnée, tachypnée, SDLR, râles crépitants."
"tachypnée","Fréquence respiratoire anormalement élevée.","Signe d’IC gauche."
"SDLR","Syndrome de détresse respiratoire.","Signe d’IC gauche."
"bruit de galop","Bruit cardiaque anormal (rythme à trois temps).","Signe d’intolérance hémodynamique."
"TRC","Temps de recoloration cutanée.","Allongé >3 sec signe d’intolérance hémodynamique."
"oligurie","Diminution du débit urinaire.","Signe d’intolérance hémodynamique."
"classification ROSS","Classification clinique de la sévérité de l’IC chez l’enfant.","De la classe I (asymptomatique) à la classe IV (symptômes au repos)."
"ICT","Indice cardiothoracique (rapport entre diamètre cardiaque et diamètre thoracique).","Normal : nouveau-né 0,60 ; nourrisson 0,55 ; enfant 0,5."
"OAP","Œdème aigu du poumon.","Image radiologique de l’IC gauche."
"choc cardiogénique","État de choc d’origine cardiaque.","Signes : TRC allongé, extrémités froides, marbrures, TA effondrée, troubles de conscience."
"TSV","Tachycardie supraventriculaire.","Cause d’IC par trouble du rythme."
"BAV","Bloc auriculo-ventriculaire.","Cause d’IC par bradycardie."
"ischémie myocardique","Diminution de l’apport sanguin au myocarde.","Chez le nouveau-né, peut être due à une souffrance fœtale aiguë."
"HTAP","Hypertension artérielle pulmonaire.","Cause extracardiaque d’IC chez le nouveau-né."
"cardiopathie rhumatismale","Atteinte cardiaque post-streptococcique (maladie de Bouillaud).","Cause d’IC chez le grand enfant."
"maladie de Kawasaki","Vascularite aiguë fébrile de l’enfant.","Cause d’IC chez le grand enfant par atteinte coronaire."
"furosémide","Diurétique de l’anse.","Posologie : 1-2 mg/kg/j IV (jusqu’à 8 mg/kg/j selon réponse)."
"spironolactone","Diurétique anti-aldostérone.","Utilisé surtout en phase stabilisée."
"captopril","Inhibiteur de l’enzyme de conversion (IEC).","Dose : 0,1 – 3 mg/kg/j en 2-3 prises. Réduit la postcharge."
"énalapril","IEC.","Dose : 0,05 – 0,75 mg/kg/j en 1 prise."
"inotropes","Médicaments augmentant la contractilité cardiaque.","Classe de traitement de l’IC."
"digitaliques","Médicaments augmentant la force de contraction et ralentissant la fréquence.","Traitement de l’IC."
"bêtabloquants","Médicaments réduisant la fréquence cardiaque et la consommation d’oxygène.","Utilisés dans l’IC chronique."
