question, option1, option2, option3, option4, answer, explanation, difficulty
"Qu'est-ce qu'une leucorrhée ?", "Écoulement vulvaire sanglant", "Écoulement vulvaire non sanglant en provenance de l'appareil génital féminin", "Pertes urinaires", "Saignements utérins", "2", "Le document : 'Ecoulements vulvaires non sanglants en provenance de l'appareil génital féminin'", "Easy"
"Quel est le pH normal du milieu vaginal ?", "5,5 - 6,5", "4,5 - 5,5", "3,8 - 4,6", "7,0 - 7,5", "3", "Le document : 'Milieu vaginal : milieu acide avec un pH entre 3,8 et 4,6'", "Easy"
"Quel est le rôle des bacilles de Döderlein ?", "Produire du glycogène", "Transformer le glycogène en acide lactique", "Sécréter des œstrogènes", "Détruire les leucocytes", "2", "Le document : 'Glycogène intracellulaire -> acide lactique par les bacilles de Döderlein et autres bactéries'", "Easy"
"Quel aspect a la glaire cervicale normale en période péri-ovulatoire ?", "Translucide, analogue au blanc d'oeuf cru, cristallisant en feuille de fougère", "Jaunâtre et épaisse", "Verte et spumeuse", "Blanchâtre et caillobotée", "1", "Le document : 'Translucide, Analogue au blanc d'oeuf cru, Cristallisant feuille de fougère'", "Easy"
"Quel est l'aspect des leucorrhées dans la vaginose bactérienne ?", "Caillobotées", "Abondantes, fluides, homogènes, nauséabondes, blanc-grisâtres", "Verdâtres spumeuses", "Jaunâtres purulentes", "2", "Le document : 'leucorrhées abondantes, fluides, homogènes, nauséabondes, de couleur blanc-grisâtre'", "Easy"
"Quel est l'aspect des leucorrhées dans la vulvovaginite mycosique ?", "Fluides verdâtres", "Blanchâtres et d'aspect cailloboté", "Jaunâtres inodores", "Franchement purulentes", "2", "Le document : 'Leucorrhées blanchâtres et d'aspect cailloboté'", "Easy"
"Quel est l'aspect des leucorrhées dans la vulvovaginite à Trichomonas ?", "Caillobotées", "Abondantes, fluides, verdâtres, spumeuses et nauséabondes", "Blanc-grisâtres", "Jaunâtres", "2", "Le document : 'Leucorrhées abondantes, fluide, verdâtre, spumeuses et nauséabondes'", "Easy"
"Quel est l'aspect de la vulve dans l'infection à Trichomonas ?", "Vulve sèche", "Vulve framboisée (rouge framboisée)", "Vulve normale", "Vulve atrophique", "2", "Le document : 'Vulve framboisée' et 'Col framboisé'", "Easy"
"Quel est l'aspect de la glaire cervicale dans la cervicite à Chlamydia ?", "Purulente", "Leucorrhée jaune verdâtre non purulente", "Caillobotée", "Spumeuse", "2", "Le document : 'Spéculum : leucorrhée jaune verdâtre non purulente'", "Easy"
"Quel est l'aspect de la vulve dans l'infection mycosique ?", "Vulve framboisée", "Vulve sèche et oedématiée avec lésions de grattage", "Vulve normale", "Vulve atrophique", "2", "Le document : 'Vulve sèche et oedématiée, Lésions de grattage'", "Easy"
"Quel examen direct recherche les mycoses ?", "Coloration de Gram", "Examen direct : présence de lévures bourgeonnantes", "Test à la potasse", "Culture sur milieu spécifique", "2", "Le document : 'Présence de lévures bourgeonnantes caractéristiques du Candida albicans'", "Easy"
