"front","back","cognitive_level"
"Quels sont les trois objectifs de l’OMD 4 (réduire la mortalité infantile) concernant les causes ?","Causes : infection, asphyxie, prématurité.","Recall"
"Quel est le taux de mortalité maternelle à Madagascar et quelles sont ses deux principales causes ?","Taux : 498/100 000. Causes : hémorragie (au cours de l’accouchement) et infections péri-natales.","Recall"
"Citez quatre conséquences de l’anémie pendant la grossesse.","1) Prématurité. 2) Décès in utero. 3) RCIU / faible poids de naissance. 4) Mauvaise tolérance à l’hémorragie du post-partum (HPP).","Recall"
"Quelles sont les trois causes de l’anémie pendant la grossesse ?","1) Carence d’apport alimentaire. 2) Saignement. 3) Parasitose (paludisme, helminthiase).","Recall"
"Quelles sont les quatre complications fœtales du paludisme pendant la grossesse ?","1) Avortement. 2) Prématurité. 3) Petit poids de naissance (PPN). 4) Décès néonatal.","Recall"
"Quelle est la porte d’entrée du tétanos néonatal ?","Le cordon ombilical.","Recall"
"Quel pourcentage de femmes accouchent en dehors des formations sanitaires dans les pays pauvres ?","60-70 % des femmes accouchent en dehors des formations sanitaires.","Recall"
"Quels sont les besoins quotidiens en fer et en folate pendant la grossesse ?","Fer : 60-120 mg de fer élément par jour. Folate : 500 µg/j.","Recall"
"Quelle est la durée de la supplémentation en Fer + Acide Folique (FAF) ?","6 mois.","Recall"
"Quels sont les effets secondaires de la supplémentation en fer ?","Digestifs (+++).","Recall"
"Quel est le médicament utilisé pour le Traitement Préventif Intermittent (TPI) du paludisme pendant la grossesse ?","Sulfadoxine + Pyriméthamine.","Recall"
"Quelle est la posologie du TPI pendant la grossesse ?","3 comprimés en une prise tous les mois, à partir de la 20ème SA (20, 24, 28 SA), à renouveler une ou deux fois.","Recall"
"Citez trois effets secondaires de la Pyriméthamine.","1) Tératogène chez l’animal. 2) Réactions cutanées. 3) Troubles digestifs (rares). 4) Troubles hématologiques.","Recall"
"Quel est le calendrier vaccinal VAT (vaccin antitétanique) et la protection conférée ?","VAT1 : 1er contact – protection nulle. VAT2 : 4 semaines après VAT1 – protection 80 % pendant 3 ans. VAT3 : 6 mois après VAT2 – protection 90 % pendant 5 ans. VAT4 : 1 an après VAT3 (grossesse suivante) – protection 99 % pendant 10 ans.","Recall"
"Quel est le traitement antiparasitaire utilisé pour le déparasitage et sa posologie ?","Mebendazole 400 mg, 1 dose.","Recall"
"Citez trois effets secondaires du Mebendazole.","Troubles digestifs, alopécie en traitement prolongé, effet tératogène non établi.","Recall"
"Quel médicament est actuellement en expérimentation pour la prévention de l’hémorragie du post-partum à domicile et par quelle voie ?","Misoprostol 200 µg × 5 comprimés (réserve). En cas d’hémorragie à domicile, administration intra-rectale (par la matronne) – arrête l’hémorragie en cas d’atonie utérine.","Recall"
"Quelles sont les indications des traitements préventifs par trimestre ?","T1 (10-15 SA) : début calendrier vaccinal VAT. T2 : 2 doses de TPI à 1 mois d’intervalle dès les premiers MAF (3ème dose si VIH+). T3 : supplémentation FAF dès 28 SA (poursuivre pendant allaitement) + déparasitage.","Recall"
"Quels sont les deux objectifs des OMD 4 et 5 en rapport avec la grossesse ?","OMD 4 : réduire la mortalité infantile. OMD 5 : améliorer la santé maternelle.","Recall"
"Pourquoi la prévention du tétanos maternel et néonatal est-elle importante ?","Car il existe encore (2/3 mondial dans les pays pauvres, dont Madagascar). Cause de décès évitable par prévention facile et accessible.","Recall"
"Quelle est l’importance de l’IEC dans les programmes de prévention ?","Importance de l’adhésion des prestataires de soin et de la patiente : IEC (Information, Éducation, Communication) +++","Recall"
"Qui finance les programmes de prévention à Madagascar ?","Financements assurés par des partenaires.","Recall"
"Jusqu’à quand la supplémentation en FAF doit-elle être poursuivie après l’accouchement ?","Pendant l’allaitement.","Recall"
"À partir de quelle semaine de grossesse débute la supplémentation en FAF ?","Dès 28 SA.","Recall"
"Quand commence le TPI pendant la grossesse (première dose à quelle SA) ?","À partir de la 20ème SA.","Recall"
"Quel est le pourcentage de protection après VAT3 et sa durée ?","90 % de protection pendant 5 ans.","Recall"
"Quel est le pourcentage de protection après VAT4 et sa durée ?","99 % de protection pendant 10 ans.","Recall"
"Quel est l’intervalle entre VAT1 et VAT2 ?","4 semaines.","Recall"
"Quel est l’intervalle entre VAT2 et VAT3 ?","6 mois.","Recall"
"Quel est l’intervalle entre VAT3 et VAT4 ?","1 an (grossesse suivante).","Recall"
