"term","definition","contextual_explanation"
"Dermatophytie","Infection fongique superficielle due à un dermatophyte, champignon filamenteux kératinophile.","Peut toucher la couche cornée, les poils et les ongles. Groupe de mycoses comprenant l’épidermomycose, l’onychomycose et les teignes."
"Dermatophyte","Champignon filamenteux kératinophile, toujours pathogène.","Trois genres : Epidermophyton, Trichophyton, Microsporum. Respecte les muqueuses. Transmission par contact (interhumain, animal, sol)."
"Epidermomycose","Dermatophytie de la peau (couche cornée).","Terme général pour les lésions cutanées des dermatophytes."
"Onychomycose","Dermatophytie de l’ongle.","Dans le document, décrite comme un onyxis sans périonyxis : début au bord libre, ongle jaune verdâtre, extension vers la matrice. Touche surtout les pieds."
"Teigne","Dermatophytie du cuir chevelu, de la barbe ou des poils.","Formes : teignes tondantes (microsporique ou trichophytique), teigne suppurative (kérion), teigne favique (favus)."
"Teigne tondante","Forme de teigne avec alopécie réversible chez l’enfant (4-10 ans).","Cuir chevelu squameux, très contagieuse. Deux types : microsporique (plaque alopécique arrondie, fluorescence jaune-verte) et trichophytique (petites lésions éparses squamo-crouteuses)."
"Kérion","Teigne suppurative.","Placard inflammatoire pustuleux, aboutissant à une alopécie cicatricielle."
"Teigne favique (favus)","Forme de teigne avec cupules jaunes (godets faviques).","Entraîne une alopécie cicatricielle."
"Intertrigo à dermatophytes","Dermatophytie des grands plis (inguinaux, axillaires).","Placards érythémateux finement squameux avec guérison centrale, bordures nettes polycycliques micro-vésiculeuses, extension centrifuge."
"Pied d’athlète","Intertrigo inter-orteil dermatophytique.","Atteinte isolée du 4e espace, fissure rouge vif, macération blanchâtre. Peut s’étendre au dos du pied et aux ongles."
"Lumière de Wood","Lampe à ultraviolets pour l’examen des lésions fongiques.","Fluorescence jaune-verte pour les teignes à Microsporum ; pas de fluorescence pour les Trichophyton."
"Examen direct mycologique","Observation microscopique d’un prélèvement (squames).","Met en évidence des filaments mycéliens et des spores pour le diagnostic de dermatophytie."
"Milieu de Sabouraud","Milieu de culture standard pour les champignons.","Culture des dermatophytes en 3 à 4 semaines pour identification du genre."
"Filaments mycéliens","Structure filamenteuse du champignon (mycélium).","Observée à l’examen direct des prélèvements de dermatophyties."
"Spores","Formes de reproduction ou de dissémination des champignons.","Présentes dans les prélèvements de dermatophyties, associées aux filaments."
"Epidermophyton","Genre de dermatophyte.","Un des trois genres responsables des dermatophyties."
"Trichophyton","Genre de dermatophyte.","Responsable notamment des teignes tondantes trichophytiques (sans fluorescence)."
"Microsporum","Genre de dermatophyte.","Responsable des teignes tondantes microsporiques (fluorescence jaune-verte à la lampe de Wood)."
"Kératinophile","Qui a une affinité pour la kératine.","Les dermatophytes sont kératinophiles : ils se développent sur la couche cornée, les poils, cheveux et ongles."
"Antimycosique topique","Médicament antifongique appliqué localement.","Traitement de première intention des formes localisées de dermatophyties, pendant 4 à 8 semaines."
"Clostrimazole","Antimycosique de la famille des azolés.","Exemple d’antimycosique topique mentionné."
"Econazole","Antimycosique de la famille des azolés.","Exemple d’antimycosique topique."
"Terbinafine","Antifongique de la famille des allylamines.","Utilisable par voie générale ou topique."
"Griséofulvine","Antifongique ancien utilisé par voie générale.","Mentionné dans le document pour le traitement des dermatophyties."
"Pityriasis rosé de Gilbert","Dermatose érythémato-squameuse d’origine inconnue.","Diagnostic différentiel des dermatophyties cutanées."
"Lupus érythémateux chronique du cuir chevelu","Lupus discoïde touchant le cuir chevelu, donnant une alopécie cicatricielle.","Diagnostic différentiel des teignes."
"Fausse teigne amiantacée","Affection du cuir chevelu avec squames épaisses et adhérentes, sans alopécie cicatricielle.","Diagnostic différentiel des teignes."
