"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la définition de l'hyalinose segmentaire et focale (HSF) selon le document ?","Glomérulonéphrite proliférative diffuse","Glomérulonéphrite non proliférative avec des lésions localisées","Glomérulonéphrite extra-membraneuse","Glomérulonéphrite membrano-proliférative","2","Le document définit : ''GloméruloNéphrite non proliférative avec des lésions localisées (TDD des syndromes glomérulaires)''.","Easy"
"Quel pourcentage des néphropathies chez l'enfant représente l'HSF ?","8%","15%","4%","7%","1","Le document indique : ''8% des néphropathies chez l'enfant''.","Easy"
"Quel pourcentage des néphropathies chez l'adulte représente l'HSF ?","8%","15%","20%","10%","2","Le document indique : ''15% des néphropathies de l'adulte''.","Easy"
"Quelle population est particulièrement fréquemment touchée par l'HSF selon le document ?","Races asiatiques","Races caucasiennes","Races noires d'Afrique surtout VIH (+)","Population caucasienne VIH (+)","3","Le document précise : ''Fréquente chez les races noires d'Afrique surtout VIH (+)''.","Easy"
"Quel est le syndrome clinique de l'HSF ?","Syndrome néphrotique pur","Syndrome néphrotique impur (HTA, hématurie)","Syndrome néphritique aigu","Syndrome glomérulaire minime","2","Le document indique : ''Syndrome néphrotique impur : HTA, Hématurie''.","Easy"
"Quelle est la caractéristique de la protéinurie dans l'HSF ?","Protéinurie constante","Protéinurie intermittente","Protéinurie exclusivement nocturne","Absence de protéinurie","2","Le document précise : ''Protéinurie intermittente (caractéristique de l'HSF : intermittence)''.","Easy"
"Quelle est la conduite pratique devant une protéinurie intermittente selon le document ?","Un seul contrôle suffit","Contrôle /3 mois. Si 1 positif puis 2ème négatif, refaire un troisième. Si 2 fois négatif = négativité certaine","Contrôle hebdomadaire","Biopsie systématique","2","Le document détaille : ''En pratique : contrôle /3mois. Si 1 positif puis 2ème négatif, refaire un troisième. Si 2 fois négatif = négativité certaine''.","Easy"
"Quel aspect histologique est observé au niveau des parois capillaires dans l'HSF ?","Epaississement régulier","Collapsus avec plissement des parois capillaires","Double contour","Aspect en spikes","2","Le document décrit : ''Collapsus avec plissement des parois capillaires''.","Easy"
"Quel type cellulaire hypertrophié entoure le segment scléreux dans l'HSF ?","Cellules endothéliales","Cellules mésangiales","Podocytes hypertrophiés vacuolisés","Cellules épithéliales pariétales","3","Le document précise : ''Segment scléreux est entouré par une couche continue de podocytes hypertrophiés vacuolisés''.","Easy"
"Quel est le nom de l'adhérence entre le segment hyalin et la capsule de Bowman ?","Synechie floculo-capsulaire","Adhérence glomérulo-capsulaire","Bride fibreuse","Synéchiolyse","1","Le document indique : ''Le segment hyalin adhère directement à la capsule de BOWMAN donnant une synéchie floculo-capsulaire''.","Easy"
"Quelles immunoglobulines sont retrouvées en immunofluorescence dans l'HSF ?","Anti-IgG et anti-C3","Anti-IgA et anti-C1q","Anti-IgM et anti-C3","Anti-IgE et anti-C4","3","Le document précise : ''Immunofluorescence : fixation segmentaire et focale d'anti-IgM, et anti-C3''.","Easy"
"Quel est le pourcentage de cortico-résistance dans l'HSF selon le document ?","20-30%","50-80%","10-15%","80-95%","2","Le document indique : ''Cortico-résistance : 50-80%''.","Easy"
"Quel est le traitement de première intention de l'HSF selon le document ?","Cyclophosphamide oral","Ciclosporine","Prednisolone 1mg/kg/j 3 mois","Tacrolimus","3","Le document précise : ''Prednisolone 1mg/kg/j 3 mois'' comme traitement de première ligne.","Easy"
"Quel est le pourcentage de récidive sur greffon après transplantation dans l'HSF ?","25%","50%","75%","90%","2","Le document indique : ''50% de récidive sur greffon après transplantation''.","Medium"
"Quel traitement est utilisé en cas de rechute ou cortico-dépendance selon le document ?","Augmentation de la prednisolone","Bolus IV de corticoïde + cyclophosphamide injectable","Rituximab seul","Mycophénolate mofétil","2","Le document précise : ''SI RECHUTE OU CORTICO-DEPENDANCE, on fait Bolus IV de corticoïde (15mg/kg/j pendant 3 jours puis J4 : cyclophosphamide injectable (15mg/kg en 1 jour))''.","Medium"
"Quel est le mécanisme d'action des IEC dans l'HSF ?","Diminution de la pression hydrostatique par relâchement de l'artère efférente, inhibition de la production de matrice extra-cellulaire","Vasodilatation de l'artère afférente","Diminution de la protéinurie par effet direct sur le podocyte","Anti-inflammatoire direct","1","Le document explique : ''Inhibiteurs de l'Enzyme de Conversion : relâche le tonus de l'artère efférente => diminution de la pression hydrostatique, inhibition de la production de matrice extra-cellulaire''.","Medium"
"Quelles sont les deux infections virales citées comme causes d'HSF ?","VIH et VHB","VHC et VIH","Herpès et CMV","VHA et VHE","1","Le document liste : ''VIH'' et ''VHB'' comme causes infectieuses.","Medium"
"Quel est le signe d'appel de la sarcoïdose dans l'HSF selon le document ?","Hypercalcémie et ganglions","Toux sèche et dyspnée","Érythème noueux","Uvéite","1","Le document précise : ''Sarcoïdose (signe d'appel : hypercalcémie et ganglions)''.","Medium"
"Quels sont les deux inhibiteurs de l'enzyme de conversion cités en exemple dans le document ?","Ramipril et Enalapril","Captopril et Lisinopril","Périndopril et Trandolapril","Bénazépril et Fosinopril","1","Le document cite : ''RAMIPRIL*, ENALAPRIL*''.","Medium"
"Pourquoi faut-il surveiller le taux sérique de ciclosporine et tacrolimus selon le document ?","Car très néphrotoxiques (marge thérapeutique étroite)","Car ils sont inefficaces en dessous d'un certain seuil","Car ils provoquent des interactions médicamenteuses","Car ils sont hépatotoxiques","1","Le document précise : ''Ciclosporine et tacrolimus : surveiller le taux sérique selon la dose Vidal, car très néphrotoxique (marge thérapeutique)''.","Difficult"
