"question","answer","explanation","difficulty"
"Qu'est-ce que le prurit ?","Sensation cutanée fonctionnelle provoquant le besoin de se gratter, pouvant être localisée ou généralisée.","Document.","Easy"
"Citez trois lésions de grattage observées dans le prurit chronique.","Excoriation, stries linéaires, ulcération, lichénification, prurigo, surinfection (impétigo, pyodermite).","Document.","Easy"
"Quelle est la différence entre prurit aigu et chronique selon le document ?","Aigu : durée < 3 semaines ; chronique : non précisé mais évolution prolongée.","Document.","Easy"
"Quels sont les deux types de prurit diffus avec lésions élémentaires cités ?","Eczéma de contact (placard érythémato-vésiculaire), dermatite atopique, urticaire (papules œdémateuses).","Document.","Easy"
"Citez trois causes inflammatoires de prurit diffus avec lésions.","Psoriasis, lichen plan, dermatose bulleuse auto-immune.","Document.","Easy")
"Quelles sont les caractéristiques de la gale ?","Prurit à recrudescence nocturne, épargnant le visage, topographie caractéristique (interdigitaux, poignets, etc.), sillon scabieux, prurit collectif.","Document.","Easy")
"Quelles sont les deux ectoparasitoses citées ?","Gale et pédiculose corporelle (pédiculosis humanus corporis).","Document.","Easy")
"Citez quatre causes de prurit diffus sans lésion cutanée (prurit nu).","Cholestase, insuffisance rénale chronique, maladies hématologiques (Hodgkin, Vaquez), endocriniennes (hyper/hypothyroïdie), médicamenteuses, infectieuses parasitaires.","Document.","Easy")
"Quelle maladie hématologique est évoquée devant un prurit nu chronique chez un adulte jeune ?","Maladie de Hodgkin.","Document.","Easy")
"Quel est le bilan de première intention devant un prurit sans cause évidente ?","NFS, plaquettes, gamma-GT, phosphatases alcalines, transaminases, créatininémie, TSH, radiographie thorax.","Document.","Easy")
"Quel prurit est aggravé par le contact avec l'eau chaude ?","Prurit de la polyglobulie de Vaquez.","Document.","Easy")
"Quel prurit localisé de la nuque évoque des poux chez l'enfant ?","Prurit du cuir chevelu, région de la nuque.","Document.","Easy")
"Quels sont les éléments évocateurs d'une gale des gens propres ?","Prurit familial, nocturne, localisation interdigitaux, poignets, mamelon, organes génitaux, lésions non spécifiques.","Document.","Easy")
"Quel syndrome cutané est associé à l'ankylostomose ?","Syndrome de larve migrans cutané (éruption serpigineuse prurigineuse).","Document.","Easy")
"Quel est le prurit spécifique de la grossesse ?","Cholestase intrahépatique : prurit généralisé sévère nu, confirmé par augmentation des transaminases/sels biliaires.","Document.","Easy")
"Quel est le mécanisme du prurit sénile ?","Vieillissement physiologique de la peau et des terminaisons nerveuses, avec xérose.","Document.","Easy")
"Quel est le prurit du VIH ?","Fréquent, peut être isolé ou associé à une éruption papuleuse, peut révéler l'infection.","Document.","Easy")
"Citez trois causes de prurit anal.","Causes proctologiques (fissure, hémorroïde, cancer, abcès), infectieuses (oxyurose de l'enfant, mycose anale).","Document.","Easy")
"Citez trois causes de prurit génital.","Infectieux (mycose, pédiculose), cancer (in situ, épidermoïde), lichen plan ou scléreux, psoriasis, toxidermie, psychique.","Document.","Easy")
"Quel est le dermographisme ?","Strie urticarienne induite par le grattage ou le frottement de la peau, mise en évidence par une pointe mousse.","Document.","Easy")
"Expliquez la différence entre prurit et paresthésie.","Prurit provoque le besoin de se gratter ; paresthésie est une sensation anormale (fourmillement, picotement) sans grattage.","Document.","Medium")
"Quel est le pronostic du prurit dans la maladie de Hodgkin ?","Défavorable.","Document.","Medium")
"Pourquoi la radiographie thoracique est-elle demandée dans le bilan d'un prurit ?","Pour rechercher des adénopathies médiastinales d'un lymphome hodgkinien.","Document.","Medium")
"Quelles sont les causes parasitaires internes de prurit avec hyperéosinophilie ?","Cysticercose, hydatidose, échinococcose, anguillulose, distomatose, ascaridiose, toxocarose, bilharziose, onchocercose.","Document.","Medium")
"Quels sont les examens biologiques pour explorer une cholestase ?","Gamma-GT, phosphatases alcalines, transaminases, bilirubine.","Document.","Medium")
"Quel est le rôle de la TSH dans le bilan d'un prurit ?","Dépister une dysthyroïdie (hyper ou hypothyroïdie).","Document.","Medium")
"Quelles sont les causes de prurit du cuir chevelu non parasitaires ?","Intolérance aux produits cosmétiques et capillaires, état pelliculaire, psoriasis, dermatite séborrhéique, neurodermatite, lichénification.","Document.","Medium")
"Quel est le prurit de la cirrhose biliaire primitive ?","Souvent révélateur, intense, généralisé, nu.","Document.","Medium")
"Quelle est la particularité du prurit de l'insuffisance rénale chronique ?","Très fréquent chez les hémodialysés, lié à l'accumulation de déchets.","Document.","Medium")
"Quel est le traitement du prurit de la cholestase gravidique ?","Non détaillé dans le document.","Document.","Medium")
"Quels sont les facteurs environnementaux irritants cités ?","Agents végétaux, laine de verre, produits caustiques (antiseptiques mal rincés, produits de toilette sans rinçage).","Document.","Medium")
"Qu'est-ce que le prurit aquagénique ?","Prurit déclenché immédiatement au contact de l'eau.","Document.","Medium")
"Quel est le retentissement psychologique du prurit sénile ?","Dépression possible.","Document.","Medium")
"Pourquoi la gale est-elle appelée prurit collectif ?","Car elle se transmet facilement dans une famille ou une collectivité.","Document.","Medium")
"Quel est le risque de ne pas traiter une gale ?","Épidémie, surinfection, lichénification, trouble du sommeil.","Document.","Medium")
"Quelle est la topographie du lichen plan ?","Symétrique : poignets, avant-bras, coudes, genoux, région lombaire.","Document.","Medium")
"Quel est le pourcentage de prurit dans le psoriasis ?","Plus de 56%.","Document.","Medium")
"Quelle est la particularité du prurit dans les dermatoses bulleuses auto-immunes ?","Prurit sévère précédant souvent l'apparition des bulles.","Document.","Medium")
