"term","definition","contextual_explanation"
"Prurit","Signe cutané fonctionnel définissant une sensation qui provoque le besoin de se gratter.","Peut être localisé ou généralisé, concerner la peau, les muqueuses et semi-muqueuses. Distinguer prurit physiologique (discret, sans désagrément) et pathologique (lésions de grattage, altération de la vie quotidienne)."
"Excoriation","Lésion de grattage linéaire.","Signe de prurit pathologique."
"Lichénification","Peau épaissie, grisâtre, recouverte de fines squames.","Conséquence du grattage chronique."
"Prurigo","Lésion de grattage papuleuse.","Observée dans le prurit pathologique."
"Dermographisme","Strie urticarienne induite par le grattage ou le frottement de la peau avec une pointe mousse.","Signe d’urticaire."
"Gale","Ectoparasitose due à Sarcoptes scabiei.","Prurit à recrudescence nocturne, épargnant le visage, topographie caractéristique (interdigitaux, poignets, mamelon, OGE), sillon scabieux, prurit collectif."
"Pédiculose corporelle","Infestation par Pediculus humanus corporis.","Prurit du tronc et racine des membres, lésions de grattage, poux sur le corps et les vêtements. Aussi appelée pédiculose des vagabonds."
"Cholestase","Diminution ou arrêt de l’écoulement biliaire.","Cause de prurit diffus sans lésion cutanée (prurit nu). Peut être intrahépatique ou extra-hépatique. Le prurit est intense et insomniant dans les ictères obstructifs par cancer des voies biliaires ou pancréas. Révélateur de la cirrhose biliaire primitive."
"Insuffisance rénale chronique","Diminution durable de la fonction rénale.","Cause fréquente de prurit chez les malades hémodialysés (maladies de surcharge : élimination insuffisante des déchets)."
"Maladie de Hodgkin","Lymphome malin.","Tout prurit nu et chronique chez un adulte jeune doit faire évoquer cette maladie. Le prurit est fréquent et de pronostic défavorable."
"Polyglobulie de Vaquez","Syndrome myéloprolifératif avec augmentation des globules rouges.","Prurit augmenté par le contact de l’eau, surtout en bain chaud."
"Hyperthyroïdie","Hyperfonctionnement thyroïdien.","Cause endocrinienne de prurit (+++ maladie de Basedow)."
"Hypothyroïdie","Hypofonctionnement thyroïdien.","Prurit probablement dû à la sécheresse cutanée."
"Parasitoses internes","Infections parasitaires avec migration tissulaire.","Causes de prurit diffus avec hyperéosinophilie : cysticercose, hydatidose, échinococcose, anguillulose, distomatose. Éruption fugace non spécifique (papules urticariennes, lésions eczématiformes)."
"Syndrome de larva migrans cutané","Éruption cutanée serpigineuse et prurigineuse due à des larves d’ankylostome ou d’anguillule.","Survient après un séjour en zone d’endémie, sur les zones en contact avec le sol (mains, pieds, fesses)."
"Prurit aquagénique","Prurit survenant immédiatement au contact de l’eau.","Facteur environnemental."
"Xérose","Sécheresse de la peau.","Cause de prurit chez les personnes âgées (prurit sénile)."
"Prurit sénile","Prurit du sujet âgé lié aux modifications physiologiques du vieillissement cutané et nerveux.","Intense, insomniant, retentissement psychologique important (dépression)."
"Cholestase intrahépatique de la grossesse","Complication hépatique de la grossesse.","Prurit généralisé sévère et nu. Confirmé par augmentation des transaminases et/ou des sels biliaires."
"Oxyurose","Infection par Enterobius vermicularis.","Cause fréquente de prurit anal chez l’enfant."
"Dysesthésies","Sensations cutanées anormales désagréables.","Diagnostic différentiel du prurit."
"Paresthésies","Sensations cutanées anormales non douloureuses (fourmillements, picotements).","Diagnostic différentiel du prurit."
