"front","back","cognitive_level"
"Quelle est la définition du prurit ?","Un signe cutané fonctionnel, une sensation qui provoque le besoin de se gratter. Il peut être localisé ou généralisé, concerner la peau, les muqueuses ou les semi-muqueuses.","Recall"
"Quelle est la différence entre prurit physiologique et prurit pathologique ?","Prurit physiologique : discret, on se gratte de nombreuses fois dans la journée sans désagrément. Prurit pathologique : induit des lésions de grattage, altère la vie quotidienne et motive une consultation.","Understanding"
"Quels sont les trois paramètres d’évolution à préciser à l’interrogatoire devant un prurit ?","Localisation (localisé ou diffus), évolution (aiguë <3 semaines ou chronique), sévérité (insomnie, trouble du comportement, retentissement professionnel).","Recall"
"Quelles lésions de grattage peut-on observer à l’examen physique d’un prurit ?","Excorations, stries linéaires, ulcérations, prurigo, lichénification (peau épaissie grisâtre squameuse), surinfection (impétigo, pyodermite).","Recall"
"Quel est le diagnostic différentiel d’un prurit diffus avec placard érythémato-vésiculaire d’extension ?","Eczéma de contact avec un allergène ou dermatite atopique (zones convexes, plis).","Application"
"Quel est l’aspect de l’urticaire ?","Papules œdémateuses rosées, fugaces, migratrices et récidivantes. Le grattage peut induire une strie urticarienne (dermographisme).","Recall"
"Quels sont les signes de la gale ?","Prurit à recrudescence nocturne épargnant le visage, topographie caractéristique (interdigitaux, poignets, mamelon, organes génitaux), sillon scabieux, prurit collectif familial.","Recall"
"Quelle est la cause de prurit diffus sans lésion cutanée (prurit « nu ») à rechercher en premier ?","Une affection générale : cholestase, insuffisance rénale chronique, maladies hématologiques, endocriniennes, médicamenteuses, infectieuses (parasitoses internes).","Recall"
"Dans quel contexte le prurit est-il intense et insomniant dans les ictères obstructifs ?","Cancer des voies biliaires ou cancer du pancréas.","Recall"
"Quelle maladie hématologique évoquer devant un prurit nu et chronique chez un adulte jeune ?","Maladie de Hodgkin (lymphome). Le prurit est fréquent et de pronostic défavorable.","Recall"
"Quelle est la caractéristique du prurit de la polyglobulie de Vaquez ?","Prurit augmenté par le contact de l’eau, surtout en bain chaud.","Recall"
"Quelles sont les deux endocrinopathies pouvant causer un prurit ?","Hyperthyroïdie (maladie de Basedow) et hypothyroïdie (prurit probablement dû à la sécheresse cutanée).","Recall"
"Quels examens complémentaires de première intention devant un prurit diffus sans lésion ?","NFS, plaquettes, Gamma-GT, phosphatases alcalines, transaminases, créatininémie, TSH, radiographie du thorax.","Recall"
"Quels sont les diagnostics différentiels d’un prurit localisé de la nuque chez l’enfant ?","Poux (pédiculose).","Recall"
"Qu’évoque un prurit localisé aux interdigitaux, poignets, mamelon, organes génitaux, à prédominance nocturne et familiale ?","Gale des gens propres.","Recall"
"Qu’est-ce que le syndrome de larva migrans cutané ?","Éruption serpigineuse et prurigineuse due à l’ankylostomose ou l’anguillulose, survenant après un séjour en zone d’endémie.","Recall"
"Quelles sont les causes de prurit anal chez l’enfant ?","Oxyurose.","Recall"
"Qu’est-ce que le prurit sénile ?","Prurit du sujet âgé, lié aux modifications physiologiques du vieillissement de la peau et des terminaisons nerveuses. Intense, insomniaque, retentissement psychologique important (dépression).","Recall"
"Quel diagnostic évoquer devant un prurit généralisé sévère et nu chez une femme enceinte ?","Cholestase intrahépatique de la grossesse. Confirmée par augmentation des transaminases et/ou des sels biliaires.","Application"
"Quelles sont les sensations cutanées à différencier du prurit (diagnostic différentiel) ?","Dysesthésies, paresthésies, douleur.","Recall"
