"term","definition","contextual_explanation"
"Vomissement","Rejet actif de tout ou partie du contenu gastrique ou intestinal par la bouche, avec contraction du diaphragme et des muscles abdominaux.","Souvent associé à nausées, pâleur, hyperventilation, sueurs."
"Régurgitation","Remontée passive du contenu gastrique sans effort.","Fréquente chez le nourrisson après la tétée, à différencier du vomissement."
"Mérycisme","Rumination : régurgitation volontaire, remâchée puis à nouveau déglutie.","Diagnostic différentiel des vomissements."
"Hypovolémie","Diminution du volume sanguin circulant.","Signe de retentissement grave des vomissements."
"Déshydratation aiguë","Perte rapide d'eau et d'électrolytes.","Signe de gravité des vomissements."
"HTIC","Hypertension intracrânienne.","Signe neurologique : fontanelle bombée (<19 mois), regard en coucher de soleil."
"Regard en coucher de soleil","Paralysie des paires crâniennes oculomotrices par compression due à l'hyperpression intracrânienne.","Signe d'HTIC."
"Toxisyndrome","État de choc par toxine vasoplégique (ex: toxine staphylococcique).","Signe d'urgence métabolique."
"Remplissage vasculaire","Perfusion de soluté pour corriger l'hypovolémie.","NaCl 0,9% 20 ml/kg sur 20 min, max 500 ml, à répéter 2-3 fois."
"Sonde naso-gastrique (SNG)","Tube introduit par le nez dans l'estomac.","Posée en urgence pour aspiration gastrique."
"Vomissement bilieux","Vomissement contenant de la bile (vert/jaune).","Évoque un syndrome occlusif (urgence chirurgicale)."
"Alcalose hypochlorémique","Trouble acido-basique avec pH élevé et chlore bas.","Typique de la sténose du pylore."
"Acidocétose diabétique","Acidose métabolique avec corps cétoniques.","Complication du diabète, cause de vomissements."
"Ileus méconial","Méconium très épais et collant obstruant l'intestin.","Cause mécanique malformative chez le nouveau-né, évacué par lavement."
"Entérocolite ulcéronécrosante","Nécrose intestinale du prématuré.","Cause de vomissements chez le prématuré (non prêt à digérer le lait)."
"Maladie de Hirschsprung","Aganglionose colique congénitale.","Cause de vomissements chez le nouveau-né."
"Invagination intestinale aiguë (IIA)","Pénétration d'une anse intestinale dans la lumière adjacente.","Cause chirurgicale de vomissements, avec boudin d'invagination."
"Torsion d'annexe","Torsion de l'ovaire ou du testicule.","Cause chirurgicale de vomissements."
"Sténose du pylore","Hypertrophie des fibres musculaires du pylore.","Urgence diagnostique du nourrisson, vomissements en jet, alcalose hypochlorémique."
"Vomissements acétonémiques","Vomissements par accumulation de corps cétoniques.","Favorisés par le jeûne chez le grand enfant, cessent à la prise de sucre."
"Allergie aux protéines du lait de vache (APLV)","Réaction immunologique aux protéines du lait.","Cause de vomissements chroniques, apparaît au sevrage ou diversification."
"Métopimazine (Vogalène*)","Antiémétique.","Posologie : 0,33 mg/kg x3/j."
"Métoclopramide (Primpéran*)","Antiémétique.","CONTRE-INDIQUÉ chez l'enfant (effets secondaires neurologiques)."
"Repos digestif","Privation orale temporaire.","4h puis reprise avec volumes <50 ml."
"Forcing alimentaire","Obligation de manger au-delà de l'appétit.","Erreur diététique à rechercher."
"Polyuro-polydipsie","Émission excessive d'urines et soif excessive.","Signe associé évoquant un diabète."
"Fontanelle bombée","Saillie de la fontanelle antérieure.","Signe d'HTIC chez le nourrisson de moins de 19 mois."
"Rx ASP","Radiographie de l'abdomen sans préparation.","Examen de première intention devant un syndrome occlusif."
"β-HCG","Gonadotrophine chorionique humaine.","Dosage chez l'adolescente pour exclure une grossesse."
