"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Qu'est-ce qu'une toxidermie ?","Une infection cutanée","Les effets secondaires à expression cutanée des médicaments administrés par voie interne","Une réaction allergique alimentaire","Une maladie auto-immune","2","'Les toxidermies : les effets secondaires à expression cutanées des médicaments administrée par voie interne'","Easy"
"Quelle est la fréquence des toxidermies chez les patients hospitalisés ?","5%","10%","15%","20%","2","'Elle est fréquente : 10% du patient hospitalisé'","Easy"
"Quel pourcentage des atteintes de toxidermie sont graves ?","1/4","1/3","1/2","2/3","2","'Dont 1/3 des atteintes sont graves'","Easy"
"Quel est le pourcentage d'utilisateurs de médicaments d'usage courant qui présentent une toxidermie ?","0,5-1%","1-3%","5-10%","10-15%","2","'S’observent chez 1 à 3 % des utilisateurs de médicament d’usage courant'","Easy"
"À quelle obligation légale les toxidermies doivent-elles être soumises ?","Notification aux instances de pharmacovigilance","Déclaration à l'Ordre des médecins","Signalement au ministère de la Santé","Enregistrement auprès de l'ANSM","1","'Ces toxidermies doivent être notifiées aux instances de pharmacovigilance (obligation légale)'","Easy"
"Quel est le délai d'apparition de l'exanthème maculo-papuleux après le début du traitement ?","Quelques heures","4-15 jours","3 semaines","2-6 semaines","2","'Exanthèmes maculo-papuleuse : 4 – 15 jours après le début du traitement'","Easy"
"Quelle est la durée habituelle de l'exanthème maculo-papuleux ?","Moins de 1 semaine","2 semaines","3 semaines","1 mois","1","'Dure moins de 1 semaine'","Easy"
"L'urticaire immédiate médicamenteuse survient dans quel délai ?","Quelques minutes à quelques heures","4-15 jours","7-21 jours","2-6 semaines","1","'Quelques minute à quelque heure après l’administration d’un médicament'","Easy"
"Quel pourcentage des urticaires aiguës sont d'origine médicamenteuse ?","Moins de 10%","Environ 25%","50%","Plus de 75%","1","'Moins de 10% de l’urticaire aiguë'","Easy"
"Quelle est la toxidermie pathognomonique d'une cause médicamenteuse ?","Exanthème maculo-papuleux","Urticaire","Érythème pigmenté fixe","Photo-allergie","3","'Erythème pigmentée fixe (EPF) : Pathognomonique d’une toxidermie. Seule dermatose de cause exclusivement médicamenteuse'","Easy"
"Dans quel délai apparaît l'érythème pigmenté fixe après la prise médicamenteuse ?","<48 heures","4-15 jours","7-21 jours","2-6 semaines","1","'Débuté dans les heures (<48h) suivant la prise du médicament'","Easy")
"Quel est le risque de réintroduire un médicament ayant causé une urticaire immédiate ?","Anaphylaxie","Eczéma","Psoriasis","Syndrome de Lyell","1","'Contre-indique formellement la réintroduction médicament (risque d’anaphylaxie)'","Easy")
"Quelle toxidermie se manifeste par un « super coup de soleil » avec bulles tendues ?","Photo-allergie","Photo-toxicité","Erythème pigmenté fixe","Exanthème maculo-papuleux","2","'Photo-toxicité : « super coup de soleil », bulles tendues (mains, jambes) décollement unguéal (onycholyse)'","Easy")
"Quelle toxidermie grave se manifeste par une tuméfaction ferme, non érythémateuse, des paupières et lèvres ?","Angiœdème","Œdème de Quincke","Pustulose exanthématique aiguë généralisée","DRESS syndrome","1","'Angiœdème : Une tuméfaction ferme, mal limité, ni érythémateuse ni prurigineuse. Touche préférentiellement les paupières et les lèvres'","Easy")
"Quel signe d'alarme d'asphyxie dans l'œdème de Quincke ?","Dysphonie, hypersalivation, dysphagie","Toux","Fièvre","Prurit","1","'Œdème laryngée : Dysphonie, hyper-salivation, dysphagie → un signe d’alarme d’asphyxie'","Easy")
"Dans quel délai survient la pustulose exanthématique aiguë généralisée (PEAG) ?","1-4 jours après la prise médicamenteuse","4-15 jours","7-21 jours","2-6 semaines","1","'Eruption brutale et très fébrile 1 – 4 jours après l’admonition du médicament (souvent antibiotique)'","Easy")
"Quelle est la taille des pustules dans la PEAG ?","<2 mm","2-5 mm","5-10 mm",">10 mm","1","'Pustule microbiennes superficielles de petite taille (<2mm)'","Easy")
"Quel est le syndrome de Stevens-Johnson (SSJ) par rapport au syndrome de Lyell ?","SSJ : nécrose épidermique <10% ; Lyell : >30%","SSJ : >30% ; Lyell : <10%","SSJ : atteinte muqueuse uniquement","Lyell : atteinte cutanée uniquement","1","'SSJ < 10% ; sd de Lyell > 30%'","Easy")
"À partir de quel jour après le début du traitement survient le SSJ/Lyell ?","1-4 jours","4-15 jours","21ème jour","2-6 semaines","3","'Débute à partir du 21ème jour après le début du traitement inducteur'","Easy")
"Quel est le signe de Nikolsky ?","Décollement de l'épiderme à la moindre pression","Blanchissement à la pression","Érythème en carte de géographie","Purpura","1","'Lambeaux d’épiderme se détachent à la moindre pression (signe de Nikolsky positif)'","Easy")
"Quel est le risque de mortalité du syndrome de Lyell ?","5-10%","10-15%","20-25%","30-40%","3","'Le risque de mortalité est élevé (20 – 25%)'","Easy")
"Quel est le délai d'apparition du DRESS syndrome ?","1-4 jours","4-15 jours","7-21 jours","3 semaines à 3 mois","4","'DRESS Syndrom : Délai : 3 semaines à 3 mois'","Easy")
"Quelle est la mortalité du DRESS syndrome ?","5%","10%","15%","20%","2","'Mortalité : 10%'","Easy")
"Quelle est la seule toxidermie avec laquelle on administre des corticoïdes ?","SSJ","Lyell","DRESS syndrome","PEAG","3","'La seule toxidermie avec laquelle on administre le dermocorticoïde'","Easy")
"Quel signe biologique est caractéristique du DRESS syndrome ?","Hyperéosinophilie","Hyperleucocytose","Leucopénie","Thrombopénie","1","'Hyper éosinophilie (> 500)'","Easy")
