"question","answer","explanation","difficulty"
"Les toxidermies sont des effets secondaires cutanés des médicaments administrés par voie interne.","True","'Les toxidermies : les effets secondaires à expression cutanées des médicaments administrée par voie interne'","Easy"
"Les toxidermies surviennent de manière dose-dépendante.","False","'Survenant indépendamment des doses'","Easy"
"La toxidermie est un problème de santé publique.","True","'La toxidermie : est un problème de santé publique'","Easy"
"Un tiers des toxidermies hospitalisées sont graves.","True","'Dont 1/3 des atteintes sont graves'","Easy"
"Les toxidermies doivent être notifiées à la pharmacovigilance.","True","'Ces toxidermies doivent être notifiées aux instances de pharmacovigilance (obligation légale)'","Easy")
"L'exanthème maculo-papuleux apparaît dans les 24 heures suivant la prise médicamenteuse.","False","'4 – 15 jours après le début du traitement'","Easy")
"L'exanthème maculo-papuleux s'accompagne souvent d'atteinte muqueuse sévère.","False","'Absence d’atteint muqueuses (mais possible atteinte du versant semi-muqueux des lèvres ou scrotum)'","Easy")
"L'urticaire immédiate médicamenteuse signe une sensibilisation préalable.","True","'Signe une sensibilisation préalable'","Easy")
"L'érythème pigmenté fixe est pathognomonique d'une toxidermie.","True","'Pathognomonique d’une toxidermie'","Easy")
"La photo-allergie donne des lésions d'eczéma sur les zones exposées au soleil.","True","'Photo-allergie : Lésion d’eczéma des zones exposées solaire minimes'","Easy")
"La photo-toxicité est indépendante de la dose de médicament.","False","'Dépendent des doses de médicament et des doses d’UVA'","Easy")
"L'angiœdème est une toxidermie bénigne.","False","Fait partie des toxidermies graves (met en jeu le pronostic vital)","Easy")
"L'œdème de Quincke peut entraîner une asphyxie par œdème laryngé.","True","'Œdème laryngée → un signe d’alarme d’asphyxie'","Easy")
"La PEAG survient généralement dans les 1 à 4 jours après la prise d'antibiotiques.","True","'Eruption brutale et très fébrile 1 – 4 jours après l’admonition du médicament (souvent antibiotique)'","Easy")
"Les pustules de la PEAG sont de grande taille (>5 mm).","False","'petite taille (<2mm)'","Easy")
"Le syndrome de Stevens-Johnson et le syndrome de Lyell sont deux maladies distinctes.","False","'Le SSJ et le sd de Lyell : une même maladie'","Easy")
"Dans le syndrome de Lyell, la surface d'épiderme nécrosé est supérieure à 30%.","True","'sd de Lyell > 30%'","Easy")
"Le signe de Nikolsky est positif dans le syndrome de Lyell.","True","'Lambeaux d’épiderme se détachent à la moindre pression (signe de Nikolsky positif)'","Easy")
"La mortalité du syndrome de Lyell est inférieure à 10%.","False","'20 – 25%'","Easy")
"Le DRESS syndrome apparaît dans les 7 à 21 jours.","False","'3 semaines à 3 mois'","Easy")
"L'hyperéosinophilie est constante dans le DRESS syndrome.","False","'parfois absente'","Easy")
"Le DRESS syndrome est la seule toxidermie où l'on utilise des corticoïdes.","True","'La seule toxidermie avec laquelle on administre le dermocorticoïde'","Easy")
"L'urticaire médicamenteuse survient dans les minutes ou heures.","True","Tableau","Easy")
"L'EMP survient dans les 4 à 14 jours.","True","Tableau","Easy")
"La PEAG survient en moins de 4 jours.","True","Tableau","Easy")
"Le SSJ survient en 7 à 21 jours.","True","Tableau","Easy")
"L'EPF survient en 1 à 4 jours.","True","Tableau","Easy")
"Le DRESS syndrome survient en 2 à 6 semaines.","True","Tableau","Easy")
"Les sulfamides sont fréquemment responsables de SSJ/Lyell.","True","Tableau","Easy")
"Les AINS sont fréquemment responsables de PEAG.","False","Tableau : PEAG : Aminopénicilline, Diltiazen, Pristinamycine","Easy")
"L'œdème du visage est un critère de gravité.","True","'Œdème du visage' dans critères de gravité","Easy")
"Le signe de Nikolsky est un critère de gravité.","True","'Signe de Nikolsky'","Easy")
"L'infection virale est un diagnostic différentiel de l'EMP chez l'enfant.","True","'EMP : éliminer une infection virale de l’enfant'","Easy")
"Le psoriasis pustuleux se distingue de la PEAG par un début plus brutal.","False","'Un début moins brutal'","Medium")
"Le traitement de première intention d'une toxidermie est l'arrêt du médicament suspect.","True","'Arrêt immédiat du médicament suspect'","Easy")
"Les antihistaminiques sont utilisés dans l'EMP.","True","'EMP ! antihistaminique et dermocorticoïde'","Easy")
"Les corticoïdes sont systématiquement indiqués dans le syndrome de Lyell.","False","Non recommandé (soins locaux)","Easy")
"L'érythème pigmenté fixe laisse des tâches pigmentaires brunes.","True","'en lassant des tâches pigmentes, brunes'","Medium")
"L'EPF peut toucher les organes génitaux.","True","'Les organes génitaux ou les lèvres sont assez fréquente touchées'","Medium")
"La biopsie cutanée de la PEAG montre une nécrose épidermique.","False","'accumulation de polynucléaire neutrophile dans la partie sous-cornéenne'","Medium")
"Dans le syndrome de Lyell, l'atteinte bronchique est de bon pronostic.","False","'pronostic très défavorable'","Medium")
"Les séquelles oculaires sont fréquentes après un syndrome de Lyell.","True","'cicatrice muqueuse (particulier oculaire)'","Medium")
"Le DRESS syndrome peut entraîner un arrêt cardiaque subit.","True","'peut infiltrer dans le cœur et donne arrêt cardiaque subite'","Medium")
"L'atteinte hépatique est possible dans le DRESS syndrome.","True","'Atteinte viscéral : fois +++'","Medium")
"Les critères d'imputabilité sont uniquement chronologiques.","False","'chronologiques et sémiologiques'","Medium")
"Le VIH est un facteur favorisant les toxidermies.","True","'VIH EBV, VZV'","Medium")
"L'épidermolyse staphylococcique est un diagnostic différentiel du syndrome de Lyell chez le nourrisson.","True","'Epidemolyse staphylococcique (nourrisson)'","Medium")
"L'érythème polymorphe majeur donne des lésions en cibles.","True","'Lésion éruptive en « concordes » ou « cibles »'","Medium")
"La photo-toxicité est une réaction immunologique.","False","C'est une réaction non immunologique, dose-dépendante","Medium")
"La voie veineuse est préférable dans les toxidermies graves.","False","'*** éviter le voie veineuse en cas de toxidermie si possible***'","Medium")
"La réépidermisation après syndrome de Lyell est rapide (10-30 jours).","True","'La réépidermisation est rapide (10 – 30 jours)'","Medium")
"L'allopurinol est un médicament impliqué dans le DRESS syndrome.","True","'L’allopurinol'","Medium")
"La minocycline est impliquée dans le DRESS syndrome.","True","'La minocycline et les sels d’or'","Medium")
"Le syndrome de Lyell peut être différencié des brûlures par l'absence de lésions muqueuses.","False","Les brûlures n'ont pas de lésions muqueuses typiques, mais le document dit 'Brûlures (absence de lésion muqueuses)'","Medium")
"La dermatose bulleuse auto-immune se distingue du Lyell par la présence de dépôts d'anticorps en immunofluorescence directe.","True","'Dermatose bulleuse auto immune (pas de nécrose de l’épiderme, dépôts d’Ac en IFD)'","Difficult")
"La réintroduction d'un médicament responsable d'EPF ne provoque pas de récidive.","False","La récidive est un critère d'imputabilité chronologique","Difficult")
"Le délai d'apparition du DRESS syndrome est plus long que celui du SSJ.","True","DRESS : 2-6 semaines ; SSJ : 7-21 jours","Easy")
"Les anticonvulsivants sont principalement impliqués dans le DRESS.","True","'Les anticonvulsivants'","Easy")
"L'EMP peut s'accompagner d'un purpura pétéchial sur les jambes.","True","'Purpura pétéchiale sur la jambe'","Medium")
"L'urticaire médicamenteuse représente plus de 50% des urticaires aiguës.","False","'Moins de 10%'","Easy")
"La photo-allergie est une réaction de type IV (hypersensibilité retardée).","True","Non dit explicitement mais connu","Medium")
"Le traitement du DRESS syndrome repose sur les antihistaminiques seuls.","False","Corticoïdes IV","Easy")
"La PEAG régresse spontanément et rapidement.","True","'La régression spontanée et rapide'","Medium")
"Le syndrome de Lyell nécessite une hospitalisation en milieu de réanimation.","True","Implicite (pronostic vital)","Medium")
"L'EPF est une toxidermie grave.","False","Elle est bénigne","Easy")
