"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la triade de Charcot caractéristique de l’angiocholite simple ?","Douleur, fièvre, ictère","Douleur, nausées, vomissements","Fièvre, frissons, hypotension","Ictère, prurit, hyperleucocytose","1","Le document : 'Tableau clinique = triade de Charcot : 1. DOULEUR puis 2. FIEVRE ELEVEE (39°5-40°) puis 3. ICTERE, le tout se succedant dans les 24 heures'","Easy"
"Selon le document, la lithiase cholédocienne est :","Une lithiase primitive de la voie biliaire principale","Une complication de la lithiase vésiculaire","Une conséquence de l’angiocholite","Une anomalie congénitale","2","Le document : 'Lithiase cholédocienne = complication de lithiase vésiculaire'","Easy"
"Quelle est la définition de l’angiocholite ?","Une inflammation de la vésicule biliaire","Une infection de la bile dans les voies biliaires intra et extra-hépatiques","Une obstruction de la voie biliaire principale sans infection","Une pancréatite aiguë d’origine biliaire","2","Le document : 'L’angiocholite est une infection de la bile dans les voies biliaires intra et extra-hépatiques'","Easy"
"Quelle est la température typique de la fièvre dans l’angiocholite simple ?","38°C","38°5-39°C","39°5-40°C","40°5-41°C","3","Le document : 'FIEVRE ELEVEE (39°5-40°)'","Easy"
"Quel est le pourcentage de sensibilité de l’échographie abdominale pour la détection des calculs de la voie biliaire principale (VBP) ?","25-30%","50-60%","75-80%","90-95%","1","Le document : 'Sensibilité pour lithiase de la VBP = 25-30%'","Easy"
"Quel examen est le plus utilisé dans les pays développés pour visualiser le cholédoque et les calculs, mais encore inexistant à Madagascar selon le document ?","La cholangiographie transhépatique","L’échoendoscopie","La cholangiographie par voie endoscopique","L’IRM biliaire","2","Le document : 'L’échoendoscopie : visualise le cholédoque et les calculs + cônes d’ombre postérieurs ; c’est l’examen le plus utilisé dans les pays developpés, encore inexistant à madagascar'","Easy"
"Quel est l’avantage majeur de la cholangiographie rétrograde par voie endoscopique ?","Elle est non invasive","Elle permet une sphinctérotomie endoscopique","Elle ne nécessite pas de sédation","Elle visualise le foie en totalité","2","Le document : 'Avantage de cette méthode = sphinctérotomie endoscopique'","Easy"
"Quelle antibiothérapie parentérale est recommandée dans le document pour l’angiocholite ?","Amoxicilline + acide clavulanique","Ceftriaxone 1g/j + Métronidazole 1,5g/j","Ciprofloxacine + Flagyl","Gentamycine + pénicilline","2","Le document : 'Antibiothérapie parentérale [...] Ceftriaxone 1g/j + Métronidazole 1,5g/j'","Easy"
"Quel est le but principal du traitement de l’angiocholite selon le document ?","Réduire la fièvre","Désobstruer la VBP et éviter les migrations calculeuses ultérieures","Traiter l’insuffisance rénale","Prévenir les abcès hépatiques","2","Le document : 'But : 1. Désobstruer la VBP 2. Eviter les migrations calculeuses ultérieures'","Easy"
"Dans quel cas la cholangiographie transhépatique à l’aiguille fine est-elle indiquée ?","En première intention pour tout patient","En cas d’impossibilité d’opacification par voie endoscopique","En cas d’angiocholite anictérique","Pour le traitement des abcès hépatiques","2","Le document : 'La cholangiographie transhépatique à l’aiguille fine est indiquée en cas d’impossibilité d’opacification par voie endoscopique'","Easy"
"Quel est le type d’hyperleucocytose observé dans l’angiocholite ?","Hyperleucocytose à lymphocytes","Hyperleucocytose à polynucléaires neutrophiles","Hyperleucocytose à éosinophiles","Leucopénie","2","Le document : 'Hyperleucocytose à PNN' (polynucléaires neutrophiles)","Easy"
"Quelle est la voie de contamination de la bile par voie rétrograde ?","À partir du tube digestif","Par l’artère hépatique","Par le système porte","Par voie lymphatique","1","Le document : 'La contamination de la bile peut se faire par 3 voies : 1. Voie rétrograde à partir du tube digestif'","Easy"
"Comment évolue l’ictère dans la forme typique d’angiocholite simple ?","Persistant et intense","Fugace dans les premières 24 heures, récidivant lors de nouveaux accès fébriles","Absent","Progressif sur plusieurs jours","2","Le document : 'Ictère : Dans les premières 24 heures, fugace et récidive lors de nouveaux accès fébriles'","Medium"
"Quelles sont les deux circonstances où la sphinctérotomie endoscopique est particulièrement indiquée ?","Pour toute angiocholite et en première intention","Chez les patients en bon état général et les jeunes","Chez les patients cholécystectomisés ou âgés ne supportant pas la chirurgie","En cas d’abcès hépatiques multiples","3","Le document : 'Également indiquée pour un cholécystectomisé ou chez les patients âgés, ne supportant plus l’intervention chirurgicale' ; et 'Si le malade est très fatigué : sphinctérotomie endoscopique'","Medium"
"Quels sont les trois retentissements possibles d’un obstacle dans la voie biliaire principale (VBP) selon l’introduction ?","Infection biliaire, retentissement hépatique, retentissement pancréatique","Cirrhose, hypertension portale, ascite","Cholangiocarcinome, pancréatite chronique, diabète","Ictère, prurit, douleur","1","Le document : '1. Une infection biliaire (angiocholite) 2. Un retentissement hépatique (hépatite septique, cirrhose biliaire secondaire) 3. Un retentissement pancréatique (pancréatite aiguë)'","Medium"
"Dans l’angiocholite aiguë compliquée, quel est le chiffre d’hyperleucocytose observé ?","> 10.000","> 15.000","> 20.000","> 30.000","3","Le document : 'hyperleucocytose > 20.000'","Medium"
"Quelle est la particularité de l’angiocholite anictérique ?","L’ictère est intense","L’ictère manque, remplacé par des coliques hépatiques ou accès fébriles","Il n’y a pas de fièvre","La douleur est absente","2","Le document : 'Angiocholite anictérique : l’ictère manque et l’angiocholite se traduit par des coliques hépatiques ou des accès fébriles plus évocateurs (fièvre bilio-septique)'","Medium"
"Quels signes associe le tableau de l’angiocholite aiguë compliquée (ictère grave) ?","Syndrome infectieux sévère, AEG avec chute tensionnelle et troubles psychiques, ictère intense, insuffisance rénale aiguë","Douleur, fièvre, ictère fugace","Hyperleucocytose modérée, cytolyse discrète","Prurit, vomissements, diarrhée","1","Le document liste ces quatre éléments.","Medium"
"Que montre la cholangiographie rétrograde endoscopique au niveau de la papille ?","Une papille normale","Un aspect inflammatoire de la papille ou issue de pus","Une sténose irrégulière","Un diverticule péri-ampullaire","2","Le document : 'Elle montre : 1. Un aspect inflammatoire de la papille ou issue de pus'","Medium"
"Quel est le traitement chirurgical décrit pour l’angiocholite ?","Cholécystectomie + ablation des calculs du cholédoque","Drainage biliaire externe","Anastomose bilio-digestive","Sphinctérotomie chirurgicale","1","Le document : 'Moyens chirurgicaux : [...] Consiste à enlever la vésicule source de calcul (cholecystectomie) ; Rechercher et enlever le ou les calculs dans le choledoque'","Medium"
"Selon le document, quelle est la voie descendante de contamination de la bile ?","Par voie artérielle","Par voie portale (bactéries du système porte qui descendent dans la voie biliaire)","Par voie lymphatique","Par contiguïté depuis le pancréas","2","Le document : 'Voie descendante par voie portale (bactéries and système porte qui vont descendre dans la voie biliaire)'","Difficult"
"Quelle est la conduite à tenir immédiate devant une angiocholite selon les moyens médicaux ?","Hospitalisation en urgence en milieu chirurgical, repos au lit, à jeun, sonde gastrique, réhydratation IV, antibiothérapie parentérale","Antibiothérapie orale à domicile","Chirurgie d’emblée sans bilan","Sphinctérotomie endoscopique systématique","1","Le document énumère ces mesures comme moyens médicaux.","Difficult"
"Un patient cholécystectomisé présente une angiocholite. Selon les indications du document, quel traitement est préférentiel ?","Chirurgie de révision","Sphinctérotomie endoscopique","Antibiothérapie seule","Cholangiographie transhépatique","2","Le document : 'Également indiquée pour un cholécystectomisé ou chez les patients âgés, ne supportant plus l’intervention chirurgicale'","Difficult"
"Quel est le mécanisme favorisant la pullulation microbienne dans les voies biliaires ?","L’acidification de la bile","La stase en amont d’un obstacle","La présence de lithiases vésiculaires","L’hypercholestérolémie","2","Le document : 'Il y a une pullulation microbienne dans les voies biliaires, favorisée par la stase en amont d’un obstacle'","Difficult"
"Quelle est la valeur de la cytolyse (transaminases) dans l’angiocholite simple ?","Normale","Modérée (entre 100 et 300 UI)","Élevée (> 1000 UI)","Indétectable","2","Le document : 'Cytolyse modérée (Tr 100 et 300 UI)' (comprendre transaminases entre 100 et 300 UI)","Medium"
