"term","definition","contextual_explanation"
"VBP","Voie biliaire principale.","Son obstacle entraîne angiocholite, retentissement hépatique ou pancréatique."
"angiocholite","Infection de la bile dans les voies biliaires intra et extra‑hépatiques.","Favorisée par la stase en amont d’un obstacle, avec pullulation microbienne."
"lithiase cholédocienne","Présence de calculs dans le cholédoque.","Complication de la lithiase vésiculaire."
"lithiase vésiculaire","Calculs dans la vésicule biliaire.","Source des calculs migrant dans la VBP."
"cholédoque","Canal biliaire principal, partie extra‑hépatique.","Visualisé par échoendoscopie ou cholangiographie."
"voie rétrograde","Voie de contamination remontant du tube digestif vers les voies biliaires.","Une des trois voies de contamination de la bile."
"cathétérisme de la papille","Introduction d’une sonde dans la papille duodénale.","Voie de contamination spontanée ou iatrogène."
"voie portale","Circulation veineuse porte.","Permet une contamination descendante des voies biliaires."
"triade de Charcot","Association douleur, fièvre, ictère se succédant dans les 24 heures.","Tableau typique de l’angiocholite simple."
"colique hépatique","Douleur de l’hypochondre droit due à un obstacle biliaire.","Peut être typique ou non dans l’angiocholite."
"grand clocher","Élévation thermique brutale et élevée.","Fièvre dépassant 38°5 avec frissons pseudo‑palustres."
"ictère fugace","Jaunisse transitoire apparaissant dans les premières 24 heures.","Récidive lors des nouveaux accès fébriles, prurit rare."
"hyperleucocytose à PNN","Augmentation du nombre de globules blancs polynucléaires neutrophiles.","Signe biologique de l’angiocholite simple."
"cholestase","Rétention des constituants biliaires.","Biologiquement : augmentation de BT, BC, PA, GGT."
"cytolyse modérée","Libération modérée d’enzymes hépatiques.","Transaminases entre 100 et 300 UI."
"hémocultures","Prélèvements sanguins pour culture microbienne.","À répéter lors des pics thermiques."
"angiocholite anictérique","Forme sans ictère.","Se traduit par coliques hépatiques ou accès fébriles (fièvre bilio‑septique)."
"angiocholite aiguë compliquée","Forme grave avec abcès hépatiques multiples.","Survient surtout chez les personnes âgées avec AEG."
"AEG","Altération de l’état général.","Associée à chute tensionnelle, troubles psychiques, ictère intense, IRA."
"IRA","Insuffisance rénale aiguë.","Complication de l’angiocholite grave."
"échographie abdominale","Imagerie ultrasonore de l’abdomen.","Montre lithiase vésiculaire et dilatation des voies biliaires ; sensibilité pour lithiase VBP = 25‑30%."
"échoendoscopie","Endoscopie couplée à l’échographie.","Visualise cholédoque et calculs avec cônes d’ombre ; inexistante à Madagascar."
"cholangiographie rétrograde endoscopique","Opacification des voies biliaires par cathétérisme de la papille sous duodénoscopie.","Montre inflammation papillaire, issue de pus, calculs, cholédoque festonné. Permet sphinctérotomie."
"duodénoscopie","Endoscopie du duodénum.","Utilisée pour cathétériser la papille."
"sphinctérotomie endoscopique","Incision du sphincter d’Oddi par voie endoscopique.","Avantage de la cholangiographie rétrograde ; désobstrue la VBP."
"cholangiographie transhépatique à l’aiguille fine","Opacification percutanée des voies biliaires.","Indiquée si impossibilité d’opacification par voie endoscopique."
"désobstruction de la VBP","Objectif thérapeutique : lever l’obstacle.","Un des deux buts du traitement."
"migrations calculeuses ultérieures","Descentes de nouveaux calculs de la vésicule dans la VBP.","Deuxième but du traitement : les éviter."
"sonde gastrique en aspiration","Sonde nasogastrique pour évacuer le contenu gastrique.","Mesure médicale : repos au lit, à jeun, aspiration."
"antibiothérapie parentérale","Antibiotiques administrés par voie intraveineuse.","Doit avoir bonne diffusion biliaire et hépatique, efficace sur BGN et anaérobies. Schéma : Ceftriaxone 1g/j + Métronidazole 1,5g/j."
"BGN","Bactéries à Gram négatif.","Cible de l’antibiothérapie."
"Ceftriaxone","Céphalosporine de troisième génération.","Utilisée à 1g/j dans l’angiocholite."
"Métronidazole","Antibiotique antiparasitaire et anti‑anaérobie.","Utilisé à 1,5g/j."
"cholécystectomie","Ablation chirurgicale de la vésicule biliaire.","Moyen chirurgical : enlève la source des calculs."
"cholangiographie per‑opératoire","Opacification des voies biliaires pendant l’intervention.","Réalisée lors de la chirurgie pour visualiser et enlever le calcul."
"BEG","Bon état général.","Critère pour indiquer la chirurgie d’emblée."
"sphinctérotomie endoscopique","Voir ci‑dessus.","Indiquée si patient très fatigué, cholécystectomisé, ou âgé ne supportant pas la chirurgie."
